County,Tabulator ID,Batch,# of Ballot Cards,Location
Logan,2,1,18,1
Logan,2,2,19,1
Logan,2,3,24,1
Logan,2,4,22,1
Logan,2,5,15,1
Logan,2,6,25,1
Logan,2,7,22,1
Logan,2,8,23,1
Logan,2,9,25,1
Logan,2,10,25,1
Logan,2,11,25,1
Logan,2,12,25,1
Logan,2,13,25,1
Logan,2,14,25,1
Logan,2,15,25,1
Logan,2,16,25,1
Logan,2,17,22,1
Logan,2,18,25,1
Logan,2,19,25,2
Logan,2,20,25,2
Logan,2,21,25,2
Logan,2,22,25,2
Logan,2,23,25,2
Logan,2,24,24,2
Logan,2,25,25,2
Logan,2,26,16,2
Logan,2,27,25,2
Logan,2,28,25,2
Logan,2,29,25,2
Logan,2,30,25,2
Logan,2,31,25,2
Logan,2,32,25,2
Logan,2,33,25,2
Logan,2,34,25,2
Logan,2,35,25,2
Logan,2,36,25,2
Logan,2,37,25,2
Logan,2,38,25,3
Logan,2,39,29,3
Logan,2,40,28,3
Logan,2,41,12,3
Logan,2,42,25,3
Logan,2,43,29,3
Logan,2,44,25,3
Logan,2,45,18,3
Logan,2,46,25,3
Logan,2,47,27,3
Logan,2,48,21,4
Logan,2,49,25,4
Logan,2,50,25,4
Logan,2,51,27,4
Logan,2,52,27,4
Logan,2,53,16,4
Logan,2,54,27,4
Logan,2,55,25,4
Logan,2,56,18,4
Logan,2,57,16,4
Logan,2,58,17,4
Logan,2,59,13,4
Logan,2,60,23,5
Logan,2,61,26,5
Logan,2,62,20,5
Logan,2,63,21,5
Logan,2,64,19,5
Logan,2,65,26,5
Logan,2,66,23,5
Logan,2,67,20,5
Logan,2,68,17,5
Logan,2,69,16,5
Logan,2,70,17,5
Logan,2,71,16,5
Logan,2,72,16,5
Logan,2,73,10,5
Logan,2,74,24,6
Logan,2,75,31,6
Logan,2,76,29,6
Logan,2,77,28,6
Logan,2,78,30,6
Logan,2,79,28,6
Logan,2,80,31,6
Logan,2,81,19,6
Logan,2,82,17,6
Logan,2,83,16,6
Logan,2,84,18,6
Logan,2,85,23,6
Logan,2,86,18,7
Logan,2,87,29,7
Logan,2,88,29,7
Logan,2,89,25,7
Logan,2,90,25,7
Logan,2,91,28,7
Logan,2,92,17,7
Logan,2,93,17,7
Logan,2,94,29,7
Logan,2,95,17,7
Logan,2,96,17,7
Logan,2,97,27,7
Logan,2,98,22,7
Logan,2,99,14,7
Logan,2,100,10,7
Logan,2,101,28,8
Logan,2,102,28,8
Logan,2,103,22,8
Logan,2,104,24,8
Logan,2,105,26,8
Logan,2,106,19,8
Logan,2,107,25,8
Logan,2,108,23,8
Logan,2,109,22,8
Logan,2,110,27,8
Logan,2,111,28,9
Logan,2,112,30,9
Logan,2,113,28,9
Logan,2,114,23,9
Logan,2,115,18,9
Logan,2,116,25,9
Logan,2,117,25,9
Logan,2,118,26,9
Logan,2,119,19,9
Logan,2,120,20,9
Logan,2,121,32,9
Logan,2,122,21,10
Logan,2,123,24,10
Logan,2,124,14,10
Logan,2,125,28,10
Logan,2,126,17,10
Logan,2,127,13,10
Logan,2,128,20,10
Logan,2,129,30,10
Logan,2,130,30,10
Logan,2,131,22,10
Logan,2,132,28,10
Logan,2,133,19,10
Logan,2,134,19,10
Logan,2,135,12,10
Logan,2,136,24,10
Logan,2,137,17,10
Logan,2,138,21,10
Logan,2,139,22,10
Logan,2,140,19,10
Logan,2,141,27,10
Logan,2,142,19,11
Logan,2,143,22,11
Logan,2,144,21,11
Logan,2,145,23,11
Logan,2,146,15,11
Logan,2,147,13,11
Logan,2,148,21,11
Logan,2,149,27,11
Logan,2,150,25,11
Logan,2,151,11,11
Logan,2,152,17,11
Logan,2,153,10,11
Logan,2,154,21,11
Logan,2,155,17,11
Logan,2,156,10,11
Logan,2,157,19,11
Logan,2,158,14,11
Logan,2,159,14,11
Logan,2,160,28,11
Logan,2,161,16,11
Logan,2,162,18,11
Logan,2,163,16,11
Logan,2,164,25,11
Logan,2,165,15,11
Logan,2,166,13,11
Logan,2,167,16,11
Logan,2,168,17,12
Logan,2,169,23,12
Logan,2,170,24,12
Logan,2,171,24,12
Logan,2,172,22,12
Logan,2,173,26,12
Logan,2,174,16,12
Logan,2,175,14,12
Logan,2,176,20,12
Logan,2,177,16,12
Logan,2,178,17,12
Logan,2,179,18,12
Logan,2,180,18,12
Logan,2,181,23,12
Logan,2,182,27,12
Logan,2,183,17,12
Logan,2,184,17,12
Logan,2,185,22,12
Logan,2,186,24,12
Logan,2,187,27,12
Logan,2,188,21,13
Logan,2,189,23,13
Logan,2,190,20,13
Logan,2,191,28,13
Logan,2,192,18,13
Logan,2,193,16,13
Logan,2,194,19,13
Logan,2,195,14,13
Logan,2,196,10,13
Logan,2,197,12,13
Logan,2,198,10,13
Logan,2,199,11,13
Logan,2,200,14,13
Logan,2,201,11,13
Logan,2,202,11,13
Logan,2,203,18,13
Logan,2,204,20,13
Logan,2,205,22,13
Logan,2,206,27,13
Logan,2,207,18,13
Logan,2,208,17,13
Logan,2,209,21,13
Logan,2,210,16,13
Logan,2,211,12,13
Logan,2,212,15,13
Logan,2,213,13,13
Logan,2,214,20,14
Logan,2,215,28,14
Logan,2,216,21,14
Logan,2,217,27,14
Logan,2,218,17,14
Logan,2,219,29,14
Logan,2,220,19,14
Logan,2,221,14,14
Logan,2,222,21,14
Logan,2,223,21,14
Logan,2,224,22,14
Logan,2,225,22,14
Logan,2,226,18,14
Logan,2,227,19,14
Logan,2,228,23,14
Logan,2,229,20,14
Logan,2,230,15,14
Logan,2,231,13,14
Logan,2,232,18,14
Logan,2,233,14,15
Logan,2,234,25,15
Logan,2,235,16,15
Logan,2,236,18,15
Logan,2,237,24,15
Logan,2,238,14,15
Logan,2,239,25,15
Logan,2,240,16,15
Logan,2,241,22,15
Logan,2,242,20,15
Logan,2,243,13,15
Logan,2,244,15,15
Logan,2,245,15,15
Logan,2,246,19,15
Logan,2,247,14,15
Logan,2,248,23,15
Logan,2,249,25,15
Logan,2,250,10,15
Logan,2,251,11,15
Logan,2,252,18,16
Logan,2,253,18,16
Logan,2,254,20,16
Logan,2,255,15,16
Logan,2,256,18,16
Logan,2,257,29,16
Logan,2,258,26,16
Logan,2,259,28,16
Logan,2,260,29,16
Logan,2,261,26,16
Logan,2,262,27,16
Logan,2,263,20,16
Logan,2,264,21,16
Logan,2,265,18,16
Logan,2,266,21,16
Logan,2,267,18,16
Logan,2,268,14,16
Logan,2,269,10,16
Logan,2,270,14,16
Logan,2,271,17,17
Logan,2,272,29,17
Logan,2,273,11,17
Logan,2,274,22,17
Logan,2,275,16,17
Logan,2,276,18,17
Logan,2,277,18,17
Logan,2,278,19,17
Logan,2,279,16,17
Logan,2,280,16,17
Logan,2,281,23,17
Logan,2,282,23,17
Logan,2,283,22,17
Logan,2,284,30,17
Logan,2,285,29,17
Logan,2,286,23,17
Logan,2,287,20,17
Logan,2,288,14,17
Logan,2,289,23,17
Logan,2,290,25,17
Logan,2,291,15,18
Logan,2,292,30,18
Logan,2,293,11,18
Logan,2,294,21,18
Logan,2,295,13,18
Logan,2,296,15,18
Logan,2,297,19,18
Logan,2,298,15,18
Logan,2,299,25,18
Logan,2,300,24,18
Logan,2,301,23,18
Logan,2,302,25,18
Logan,2,303,26,18
Logan,2,304,25,18
Logan,2,305,25,19
Logan,2,306,25,19
Logan,2,307,25,19
Logan,2,308,24,19
Logan,2,309,25,19
Logan,2,310,25,19
Logan,2,311,19,19
Logan,2,312,25,19
Logan,2,313,20,19
Logan,2,314,24,19
Logan,2,315,14,19
Logan,2,316,25,19
Logan,2,317,25,19
Logan,2,318,25,19
Logan,2,319,24,19
Logan,2,320,25,19
Logan,2,321,24,19
Logan,2,322,23,19
Logan,2,323,20,19
Logan,2,324,15,20
Logan,2,325,25,20
Logan,2,326,24,20
Logan,2,327,25,20
Logan,2,328,25,20
Logan,2,329,29,20
Logan,2,330,24,20
Logan,2,331,25,20
Logan,2,332,25,20
Logan,2,333,25,20
Logan,2,334,17,20
Logan,2,335,25,20
Logan,2,336,25,21
Logan,2,337,28,21
Logan,2,338,25,21
Logan,2,339,25,21
Logan,2,340,20,21
Logan,2,341,25,21
Logan,2,342,25,21
Logan,2,343,13,21
Logan,2,344,19,21
Logan,2,345,25,21
Logan,2,346,24,21
Logan,2,347,25,22
Logan,2,348,25,22
Logan,2,349,11,22
Logan,2,350,23,22
Logan,2,351,25,22
Logan,2,352,18,22
Logan,2,353,25,22
Logan,2,354,23,22
Logan,2,355,12,22
Logan,2,356,20,22
Logan,2,357,24,22
Logan,2,358,20,22
Logan,2,359,17,22
Logan,2,360,16,22
Logan,2,361,20,22
Logan,2,362,25,22
Logan,2,363,27,22
Logan,2,364,26,22
Logan,2,365,25,22
Logan,2,366,29,23
Logan,2,367,25,23
Logan,2,368,16,23
Logan,2,369,21,23
Logan,2,370,10,23
Logan,2,371,25,23
Logan,2,372,20,23
Logan,2,373,23,23
Logan,2,374,25,23
Logan,2,375,25,23
Logan,2,376,30,23
Logan,2,377,11,23
Logan,2,378,25,23
Logan,2,379,23,23
Logan,2,380,24,23
Logan,2,381,24,23
Logan,2,382,25,23
Logan,2,383,25,23
Logan,2,384,25,23
Logan,2,385,29,24
Logan,2,386,29,24
Logan,2,387,29,24
Logan,2,388,25,24
Logan,2,389,25,24
Logan,2,390,29,24
Logan,2,391,25,24
Logan,2,392,14,24
Logan,2,393,25,24
Logan,2,394,25,24
Logan,2,395,25,24
Logan,2,396,24,24
Logan,2,397,24,24
Logan,2,398,25,24
Logan,2,399,24,24
Logan,2,400,25,24
Logan,2,401,25,24
Logan,2,402,15,24
Logan,2,403,25,24
Logan,2,404,23,25
Logan,2,405,27,25
Logan,2,406,25,25
Logan,2,407,25,25
Logan,2,408,25,25
Logan,2,409,15,25
Logan,2,410,17,25
Logan,2,411,25,25
Logan,2,412,24,25
Logan,2,413,24,25
Logan,2,414,16,25
Logan,2,415,25,25
Logan,2,416,20,25
Logan,2,417,25,25
Logan,2,418,25,25
Logan,2,419,27,25
Logan,2,420,29,25
Logan,2,421,23,25
Logan,2,422,27,26
Logan,2,423,24,26
Logan,2,424,24,26
Logan,2,425,22,26
Logan,2,426,25,26
Logan,2,427,24,26
Logan,2,428,24,26
Logan,2,429,25,26
Logan,2,430,29,26
Logan,2,431,27,26
Logan,2,432,25,26
Logan,2,433,25,26
Logan,2,434,25,26
Logan,2,435,14,26
Logan,2,436,24,26
Logan,2,437,25,26
Logan,2,438,18,26
Logan,2,439,24,26
Logan,2,440,23,27
Logan,2,441,25,27
Logan,2,442,18,27
Logan,2,443,25,27
Logan,2,444,12,27
Logan,2,445,25,27
Logan,2,446,27,27
Logan,2,447,13,27
Logan,2,448,25,27
Logan,2,449,23,27
Logan,2,450,11,27
Logan,2,451,21,27
Logan,2,452,14,27
Logan,2,453,20,27
Logan,2,454,20,27
Logan,2,455,15,27
Logan,2,456,28,27
Logan,2,457,23,27
Logan,2,458,12,28
Logan,2,459,25,28
Logan,2,460,25,28
Logan,2,461,25,28
Logan,2,462,25,28
Logan,2,463,23,28
Logan,2,464,26,28
Logan,2,465,24,28
Logan,2,466,16,28
Logan,2,467,25,28
Logan,2,468,16,28
Logan,2,469,25,28
Logan,2,470,20,28
Logan,2,471,20,28
Logan,2,472,25,28
Logan,2,473,15,28
Logan,2,474,24,28
Logan,2,475,15,28
Logan,2,476,20,28
Logan,2,477,22,28
Logan,2,478,18,28
Logan,2,479,17,29
Logan,2,480,20,29
Logan,2,481,17,29
Logan,2,482,25,29
Logan,2,483,25,29
Logan,2,484,25,29
Logan,2,485,25,29
Logan,2,486,26,29
Logan,2,487,21,29
Logan,2,488,25,29
Logan,2,489,24,29
Logan,2,490,15,29
Logan,2,491,27,30
Logan,2,492,25,30
Logan,2,493,22,30
Logan,2,494,25,30
Logan,2,495,26,30
