County,Tabulator ID,Batch,# of Ballot Cards,Location
Mesa,2,1001,75,100
Mesa,2,1002,21,100
Mesa,2,1003,75,100
Mesa,2,1004,80,100
Mesa,2,1005,68,100
Mesa,2,1006,37,100
Mesa,2,1007,76,100
Mesa,2,1008,14,100
Mesa,2,1009,26,100
Mesa,2,1010,66,100
Mesa,2,1011,100,100
Mesa,2,1012,31,100
Mesa,2,1013,66,100
Mesa,2,1014,59,100
Mesa,2,1015,57,100
Mesa,2,1016,87,100
Mesa,2,1017,95,100
Mesa,2,1018,97,100
Mesa,2,1019,43,100
Mesa,2,1020,84,100
Mesa,2,1021,34,100
Mesa,2,1022,74,100
Mesa,2,1023,71,100
Mesa,2,1024,57,100
Mesa,2,1025,72,100
Mesa,2,1026,61,100
Mesa,2,1027,83,100
Mesa,2,1028,82,100
Mesa,2,1029,59,100
Mesa,2,1030,82,100
Mesa,2,1031,81,100
Mesa,2,1032,76,100
Mesa,2,1033,73,100
Mesa,2,1034,52,100
Mesa,2,1035,96,100
Mesa,2,1036,79,100
Mesa,2,1037,82,100
Mesa,2,1038,69,100
Mesa,2,1039,34,100
Mesa,2,1040,94,100
Mesa,2,1041,91,100
Mesa,2,1042,77,100
Mesa,2,1043,75,100
Mesa,2,1044,83,100
Mesa,2,1045,80,100
Mesa,2,1046,72,101
Mesa,2,1047,75,101
Mesa,2,1048,36,101
Mesa,2,1049,51,101
Mesa,2,1050,55,101
Mesa,2,1051,35,101
Mesa,2,1052,61,101
Mesa,2,1053,64,101
Mesa,2,1054,53,101
Mesa,2,1055,55,101
Mesa,2,1056,98,101
Mesa,2,1057,97,101
Mesa,2,1058,97,101
Mesa,2,1059,32,101
Mesa,2,1060,61,101
Mesa,2,1061,62,101
Mesa,2,1062,30,101
Mesa,2,1063,100,101
Mesa,2,1064,100,101
Mesa,2,1065,63,101
Mesa,2,1067,62,101
Mesa,2,1068,69,101
Mesa,2,1069,62,101
Mesa,2,1070,73,101
Mesa,2,1071,74,101
Mesa,2,1072,78,101
Mesa,2,1073,79,101
Mesa,2,1074,40,101
Mesa,2,1075,45,101
Mesa,2,1076,86,101
Mesa,2,1077,76,101
Mesa,2,1078,61,101
Mesa,2,1079,72,101
Mesa,2,1080,81,101
Mesa,2,1081,59,101
Mesa,2,1082,100,101
Mesa,2,1083,81,101
Mesa,2,1084,81,101
Mesa,2,1085,71,101
Mesa,2,1086,78,101
Mesa,2,1087,52,102
Mesa,2,1088,57,102
Mesa,2,1089,35,102
Mesa,2,1090,85,102
Mesa,2,1091,84,102
Mesa,2,1092,82,102
Mesa,2,1093,82,102
Mesa,2,1094,74,102
Mesa,2,1095,83,102
Mesa,2,1096,89,102
Mesa,2,1097,99,102
Mesa,2,1098,94,102
Mesa,2,1099,68,102
Mesa,2,1100,77,102
Mesa,2,1101,88,102
Mesa,2,1102,99,102
Mesa,2,1103,65,102
Mesa,2,1104,37,102
Mesa,2,1105,95,102
Mesa,2,1106,95,102
Mesa,2,1107,87,102
Mesa,2,1108,81,102
Mesa,2,1109,69,102
Mesa,2,1110,98,102
Mesa,2,1111,97,102
Mesa,2,1112,95,102
Mesa,2,1113,68,102
Mesa,2,1114,81,102
Mesa,2,1115,85,103
Mesa,2,1116,81,103
Mesa,2,1117,95,103
Mesa,2,1118,94,103
Mesa,2,1119,98,103
Mesa,2,1120,87,103
Mesa,2,1121,83,103
Mesa,2,1122,85,103
Mesa,2,1123,68,103
Mesa,2,1124,59,103
Mesa,4,2001,98,200
Mesa,4,2002,100,200
Mesa,4,2003,100,200
Mesa,4,2004,100,200
Mesa,4,2005,100,200
Mesa,4,2006,100,200
Mesa,4,2007,100,200
Mesa,4,2008,100,200
Mesa,4,2009,100,200
Mesa,4,2010,100,200
Mesa,4,2011,99,200
Mesa,4,2012,100,200
Mesa,4,2013,100,200
Mesa,4,2014,100,200
Mesa,4,2015,100,201
Mesa,4,2016,100,201
Mesa,4,2017,100,201
Mesa,4,2018,33,201
Mesa,4,2019,100,201
Mesa,4,2020,100,201
Mesa,4,2021,99,201
Mesa,4,2022,100,201
Mesa,4,2023,99,201
Mesa,4,2024,100,201
Mesa,4,2025,100,201
Mesa,4,2026,99,201
Mesa,4,2027,100,201
Mesa,4,2028,100,201
Mesa,4,2029,25,201
Mesa,4,2030,100,202
Mesa,4,2031,100,202
Mesa,4,2032,99,202
Mesa,4,2033,100,202
Mesa,4,2034,100,202
Mesa,4,2035,100,202
Mesa,4,2036,100,202
Mesa,4,2037,99,202
Mesa,4,2038,100,202
Mesa,4,2039,100,202
Mesa,4,2040,100,202
Mesa,4,2041,100,202
Mesa,4,2042,99,202
Mesa,4,2043,100,202
Mesa,4,2044,100,203
Mesa,4,2045,99,203
Mesa,4,2046,99,203
Mesa,4,2047,100,203
Mesa,4,2048,99,203
Mesa,4,2049,100,203
Mesa,4,2050,100,203
Mesa,4,2051,99,203
Mesa,4,2052,100,203
Mesa,4,2053,100,203
Mesa,4,2054,100,203
Mesa,4,2055,100,203
Mesa,4,2056,100,203
Mesa,4,2057,100,204
Mesa,4,2058,99,204
Mesa,4,2059,100,204
Mesa,4,2060,100,204
Mesa,4,2061,100,204
Mesa,4,2062,98,204
Mesa,4,2063,100,204
Mesa,4,2064,100,204
Mesa,4,2065,100,204
Mesa,4,2066,100,204
Mesa,4,2067,100,204
Mesa,4,2068,100,204
Mesa,4,2069,99,204
Mesa,4,2070,94,205
Mesa,4,2071,100,205
Mesa,4,2072,100,205
Mesa,4,2073,100,205
Mesa,4,2074,99,205
Mesa,4,2075,99,205
Mesa,4,2076,100,205
Mesa,4,2077,100,205
Mesa,4,2078,99,205
Mesa,4,2079,99,205
Mesa,4,2080,99,205
Mesa,4,2081,100,205
Mesa,4,2082,100,205
Mesa,4,2083,100,206
Mesa,4,2084,100,206
Mesa,4,2085,100,206
Mesa,4,2086,100,206
Mesa,4,2087,98,206
Mesa,4,2088,100,206
Mesa,4,2089,100,206
Mesa,4,2090,99,206
Mesa,4,2091,100,206
Mesa,4,2092,100,206
Mesa,4,2093,100,206
Mesa,4,2094,100,206
Mesa,4,2095,97,206
Mesa,4,2096,99,206
Mesa,4,2097,100,207
Mesa,4,2098,100,207
Mesa,4,2099,99,207
Mesa,4,2100,100,207
Mesa,4,2101,100,207
Mesa,4,2102,97,207
Mesa,4,2103,99,207
Mesa,4,2104,99,207
Mesa,4,2105,100,207
Mesa,4,2106,95,207
Mesa,4,2107,95,207
Mesa,4,2108,100,207
Mesa,4,2109,94,207
Mesa,4,2110,98,208
Mesa,4,2111,100,208
Mesa,4,2112,99,208
Mesa,4,2113,95,208
Mesa,4,2114,98,208
Mesa,4,2115,96,208
Mesa,4,2116,99,208
Mesa,4,2117,100,208
Mesa,4,2118,100,208
Mesa,4,2119,100,208
Mesa,4,2120,100,208
Mesa,4,2121,100,208
Mesa,4,2122,100,208
Mesa,4,2123,100,208
Mesa,4,2124,100,209
Mesa,4,2125,100,209
