County,Tabulator ID,Batch,# of Ballot Cards,Location
Mineral,1,1,25,Bin 1
Mineral,1,2,25,Bin 1
Mineral,1,3,25,Bin 1
Mineral,1,4,25,Bin 1
Mineral,1,5,25,Bin 1
Mineral,1,6,25,Bin 1
Mineral,1,7,25,Bin 1
Mineral,1,8,25,Bin 1
Mineral,1,9,25,Bin 1
Mineral,1,10,25,Bin 1
Mineral,1,11,25,Bin 1
Mineral,1,12,25,Bin 1
Mineral,1,13,25,Bin 1
Mineral,1,14,25,Bin 1
Mineral,1,15,25,Bin 1
Mineral,1,16,25,Bin 1
Mineral,1,17,25,Bin 1
Mineral,1,18,25,Bin 1
Mineral,1,19,25,Bin 1
Mineral,1,20,25,Bin 1
Mineral,1,21,25,Bin 1
Mineral,1,22,25,Bin 1
Mineral,1,23,25,Bin 1
Mineral,1,24,25,Bin 1
Mineral,1,25,25,Bin 1
Mineral,1,26,25,Bin 1
Mineral,1,27,25,Bin 1
Mineral,1,28,25,Bin 1
Mineral,1,29,25,Bin 1
Mineral,1,30,25,Bin 1
Mineral,1,31,15,Bin 1
Mineral,1,32,2,Bin 1
