County,Tabulator ID,Batch,# of Ballots,Location
Otero,1,1,25,23
Otero,1,2,25,23
Otero,1,3,25,23
Otero,1,4,25,23
Otero,1,5,25,23
Otero,1,6,25,23
Otero,1,7,25,23
Otero,1,8,25,23
Otero,1,9,25,23
Otero,1,10,25,23
Otero,1,11,25,23
Otero,1,12,25,23
Otero,1,13,25,23
Otero,1,14,24,23
Otero,1,15,25,23
Otero,1,16,25,23
Otero,1,17,25,23
Otero,1,18,25,23
Otero,1,19,25,23
Otero,1,20,25,23
Otero,1,21,25,23
Otero,1,22,25,23
Otero,1,23,25,23
Otero,1,24,25,23
Otero,1,25,25,23
Otero,1,26,25,23
Otero,1,27,25,23
Otero,1,28,25,23
Otero,1,29,25,23
Otero,1,30,25,23
Otero,1,31,25,23
Otero,1,32,25,23
Otero,1,33,25,19
Otero,1,34,25,19
Otero,1,35,25,19
Otero,1,36,25,19
Otero,1,37,25,19
Otero,1,38,25,19
Otero,1,39,25,19
Otero,1,40,25,19
Otero,1,41,25,19
Otero,1,42,25,19
Otero,1,43,25,19
Otero,1,44,25,19
Otero,1,45,25,19
Otero,1,46,25,19
Otero,1,47,25,19
Otero,1,48,25,19
Otero,1,49,25,19
Otero,1,50,25,19
Otero,1,51,25,19
Otero,1,52,25,19
Otero,1,53,25,19
Otero,1,54,25,19
Otero,1,55,25,19
Otero,1,56,25,19
Otero,1,57,25,19
Otero,1,58,25,19
Otero,1,59,25,19
Otero,1,60,25,19
Otero,1,61,25,19
Otero,1,62,25,19
Otero,1,63,25,19
Otero,1,64,25,19
Otero,1,65,25,7
Otero,1,66,25,7
Otero,1,67,25,7
Otero,1,68,25,7
Otero,1,69,25,7
Otero,1,70,25,7
Otero,1,71,25,7
Otero,1,72,25,7
Otero,1,73,25,7
Otero,1,74,25,7
Otero,1,75,25,7
Otero,1,76,25,7
Otero,1,77,25,7
Otero,1,78,25,7
Otero,1,79,25,7
Otero,1,80,25,7
Otero,1,81,25,7
Otero,1,82,25,7
Otero,1,83,25,7
Otero,1,84,25,7
Otero,1,85,25,7
Otero,1,86,25,7
Otero,1,87,25,7
Otero,1,88,25,7
Otero,1,89,25,7
Otero,1,90,25,7
Otero,1,91,25,7
Otero,1,92,25,7
Otero,1,93,25,7
Otero,1,94,23,7
Otero,1,95,25,7
Otero,1,96,25,7
Otero,1,97,25,7
Otero,1,98,25,20
Otero,1,99,25,20
Otero,1,100,25,20
Otero,1,101,25,20
Otero,1,102,25,20
Otero,1,103,25,20
Otero,1,104,25,20
Otero,1,105,25,20
Otero,1,106,25,20
Otero,1,107,25,20
Otero,1,108,25,20
Otero,1,109,25,20
Otero,1,110,25,20
Otero,1,111,25,20
Otero,1,112,25,20
Otero,1,113,25,20
Otero,1,114,25,20
Otero,1,115,25,20
Otero,1,116,25,20
Otero,1,117,25,20
Otero,1,118,25,20
Otero,1,119,25,20
Otero,1,120,25,20
Otero,1,121,25,20
Otero,1,122,25,20
Otero,1,123,25,20
Otero,1,124,25,20
Otero,1,125,25,20
Otero,1,126,25,20
Otero,1,127,25,20
Otero,1,128,25,20
Otero,1,129,25,20
Otero,1,130,25,20
Otero,1,131,25,2
Otero,1,132,25,2
Otero,1,133,25,2
Otero,1,134,25,2
Otero,1,135,25,2
Otero,1,136,25,2
Otero,1,137,25,2
Otero,1,138,25,2
Otero,1,139,25,2
Otero,1,140,25,2
Otero,1,141,25,2
Otero,1,142,25,2
Otero,1,143,25,2
Otero,1,144,25,2
Otero,1,145,25,2
Otero,1,146,25,2
Otero,1,147,25,2
Otero,1,148,25,2
Otero,1,149,25,2
Otero,1,150,25,2
Otero,1,151,25,2
Otero,1,152,25,2
Otero,1,153,25,2
Otero,1,154,25,2
Otero,1,155,25,2
Otero,1,156,25,2
Otero,1,157,25,2
Otero,1,158,25,2
Otero,1,159,25,2
Otero,1,160,25,2
Otero,1,161,25,2
Otero,1,162,25,2
Otero,1,163,25,2
Otero,1,164,25,2
Otero,1,165,25,2
Otero,1,166,25,2
Otero,1,167,25,2
Otero,1,168,25,2
Otero,1,169,25,2
Otero,1,170,25,9
Otero,1,171,25,9
Otero,1,172,25,9
Otero,1,173,25,9
Otero,1,174,25,9
Otero,1,175,25,9
Otero,1,176,25,9
Otero,1,177,25,9
Otero,1,178,25,9
Otero,1,179,25,9
Otero,1,180,25,9
Otero,1,181,25,9
Otero,1,182,25,9
Otero,1,183,25,9
Otero,1,184,25,9
Otero,1,185,25,9
Otero,1,186,25,9
Otero,1,187,25,9
Otero,1,188,25,9
Otero,1,189,24,9
Otero,1,190,25,9
Otero,1,191,25,9
Otero,1,192,25,20
Otero,1,193,25,20
Otero,1,194,25,20
Otero,1,195,24,20
Otero,1,196,25,20
Otero,1,197,25,20
Otero,1,198,25,20
Otero,1,199,25,20
Otero,1,200,25,20
Otero,1,201,25,20
Otero,1,202,25,20
Otero,1,203,25,20
Otero,1,204,25,20
Otero,1,205,25,20
Otero,1,206,25,20
Otero,1,207,25,20
Otero,1,208,25,20
