County,Tabulator ID,Batch,# of Ballot Cards,Location
Phillips,1,1,25,vault
Phillips,1,2,25,vault
Phillips,1,3,25,vault
Phillips,1,4,25,vault
Phillips,1,5,25,vault
Phillips,1,6,25,vault
Phillips,1,7,25,vault
Phillips,1,8,25,vault
Phillips,1,9,25,vault
Phillips,1,10,25,vault
Phillips,1,11,25,vault
Phillips,1,12,25,vault
Phillips,1,13,25,vault
Phillips,1,14,25,vault
Phillips,1,15,25,vault
Phillips,1,16,25,vault
Phillips,1,17,25,vault
Phillips,1,18,25,vault
Phillips,1,19,25,vault
Phillips,1,20,25,vault
Phillips,1,21,25,vault
Phillips,1,22,25,vault
Phillips,1,23,25,vault
Phillips,1,24,25,vault
Phillips,1,25,25,vault
Phillips,1,26,25,vault
Phillips,1,27,25,vault
Phillips,1,28,25,vault
Phillips,1,29,25,vault
Phillips,1,30,25,vault
Phillips,1,31,25,vault
Phillips,1,32,25,vault
Phillips,1,33,25,vault
Phillips,1,34,25,vault
Phillips,1,35,25,vault
Phillips,1,36,25,vault
Phillips,1,37,25,vault
Phillips,1,38,25,vault
Phillips,1,39,25,vault
Phillips,1,40,25,vault
Phillips,1,41,25,vault
Phillips,1,42,25,vault
Phillips,1,43,25,vault
Phillips,1,44,25,vault
Phillips,1,45,25,vault
Phillips,1,46,25,vault
Phillips,1,47,25,vault
Phillips,1,48,25,vault
Phillips,1,49,25,vault
Phillips,1,50,25,vault
Phillips,1,51,25,vault
Phillips,1,52,25,vault
Phillips,1,53,25,vault
Phillips,1,54,25,vault
Phillips,1,55,25,vault
Phillips,1,56,25,vault
Phillips,1,57,25,vault
Phillips,1,58,25,vault
Phillips,1,59,25,vault
Phillips,1,60,25,vault
Phillips,1,61,25,vault
Phillips,1,62,25,vault
Phillips,1,63,25,vault
Phillips,1,64,25,vault
Phillips,1,65,25,vault
Phillips,1,66,25,vault
Phillips,1,67,25,vault
Phillips,1,68,25,vault
Phillips,1,69,25,vault
Phillips,1,70,25,vault
Phillips,1,71,25,vault
Phillips,1,72,25,vault
Phillips,1,73,25,vault
Phillips,1,74,25,vault
Phillips,1,75,25,vault
Phillips,1,76,25,vault
Phillips,1,77,25,vault
Phillips,1,78,25,vault
Phillips,1,79,25,vault
Phillips,1,80,25,vault
Phillips,1,81,25,vault
Phillips,1,82,25,vault
Phillips,1,83,25,vault
Phillips,1,84,25,vault
Phillips,1,85,25,vault
Phillips,1,86,25,vault
Phillips,1,87,25,vault
Phillips,1,88,25,vault
Phillips,1,89,25,vault
Phillips,1,90,25,vault
Phillips,1,91,25,vault
Phillips,1,92,25,vault
Phillips,1,93,51,vault
Phillips,1,94,25,vault
Phillips,1,95,25,vault
Phillips,1,96,25,vault
Phillips,1,97,25,vault
Phillips,1,98,25,vault
Phillips,1,99,25,vault
Phillips,1,100,25,vault
Phillips,1,101,10,vault
Phillips,1,102,25,vault
