County,Tabulator ID,Batch,# of Ballot Cards,Location
Pitkin,102,1,66,Box 20
Pitkin,102,2,71,Box 20
Pitkin,102,3,100,Box 20
Pitkin,102,4,100,Box 20
Pitkin,102,5,1,Box 20
Pitkin,102,6,40,Box 20
Pitkin,102,7,100,Box 20
Pitkin,102,8,99,Box 20
Pitkin,102,9,101,Box 20
Pitkin,102,10,100,Box 20
Pitkin,102,11,100,Box 20
Pitkin,102,12,99,Box 20
Pitkin,201,1,13,Box 1
Pitkin,201,2,25,Box 1
Pitkin,201,3,25,Box 1
Pitkin,201,4,25,Box 1
Pitkin,201,5,25,Box 1
Pitkin,201,6,25,Box 1
Pitkin,201,7,25,Box 1
Pitkin,201,8,25,Box 1
Pitkin,201,9,25,Box 1
Pitkin,201,10,25,Box 1
Pitkin,201,11,25,Box 1
Pitkin,201,12,25,Box 1
Pitkin,201,13,17,Box 1
Pitkin,201,14,25,Box 1
Pitkin,201,15,25,Box 1
Pitkin,201,16,25,Box 1
Pitkin,201,17,25,Box 1
Pitkin,201,18,25,Box 1
Pitkin,201,19,25,Box 1
Pitkin,201,20,25,Box 1
Pitkin,201,21,25,Box 1
Pitkin,201,22,25,Box 1
Pitkin,201,23,25,Box 1
Pitkin,201,24,25,Box 1
Pitkin,201,25,13,Box 2
Pitkin,201,26,25,Box 2
Pitkin,201,27,25,Box 2
Pitkin,201,28,25,Box 2
Pitkin,201,29,25,Box 2
Pitkin,201,30,25,Box 2
Pitkin,201,31,25,Box 2
Pitkin,201,32,25,Box 2
Pitkin,201,33,25,Box 2
Pitkin,201,34,7,Box 2
Pitkin,201,35,25,Box 2
Pitkin,201,36,25,Box 2
Pitkin,201,37,25,Box 2
Pitkin,201,38,25,Box 2
Pitkin,201,39,25,Box 2
Pitkin,201,40,25,Box 2
Pitkin,201,41,25,Box 2
Pitkin,201,42,25,Box 2
Pitkin,201,43,25,Box 2
Pitkin,201,44,25,Box 2
Pitkin,201,45,25,Box 2
Pitkin,201,46,25,Box 2
Pitkin,201,47,6,Box 2
Pitkin,201,48,25,Box 2
Pitkin,201,49,25,Box 2
Pitkin,201,50,25,Box 2
Pitkin,201,51,24,Box 3
Pitkin,201,52,25,Box 3
Pitkin,201,53,25,Box 3
Pitkin,201,54,25,Box 3
Pitkin,201,55,25,Box 3
Pitkin,201,56,25,Box 3
Pitkin,201,57,25,Box 3
Pitkin,201,58,25,Box 3
Pitkin,201,59,25,Box 3
Pitkin,201,60,25,Box 3
Pitkin,201,61,25,Box 3
Pitkin,201,62,25,Box 3
