County,Tabulator ID,Batch,# of Ballot Cards,Location
Sedgwick,1,1,25,1
Sedgwick,1,2,25,1
Sedgwick,1,3,25,1
Sedgwick,1,4,25,1
Sedgwick,1,5,25,1
Sedgwick,1,6,25,1
Sedgwick,1,7,25,1
Sedgwick,1,8,25,1
Sedgwick,1,9,25,1
Sedgwick,1,10,25,1
Sedgwick,1,11,25,1
Sedgwick,1,12,25,1
Sedgwick,1,13,25,1
Sedgwick,1,14,25,1
Sedgwick,1,15,25,1
Sedgwick,1,16,25,1
Sedgwick,1,17,25,1
Sedgwick,1,18,25,1
Sedgwick,1,19,25,1
Sedgwick,1,20,25,1
Sedgwick,1,21,25,1
Sedgwick,1,22,25,1
Sedgwick,1,23,25,1
Sedgwick,1,24,25,1
Sedgwick,1,25,25,1
Sedgwick,1,26,25,1
Sedgwick,1,27,25,1
Sedgwick,1,28,25,1
Sedgwick,1,29,25,1
Sedgwick,1,30,25,1
Sedgwick,1,31,25,1
Sedgwick,1,32,25,1
Sedgwick,1,33,25,1
Sedgwick,1,34,25,1
Sedgwick,1,35,25,1
Sedgwick,1,36,25,1
Sedgwick,1,37,25,1
Sedgwick,1,38,25,1
Sedgwick,1,39,25,1
Sedgwick,1,40,25,1
Sedgwick,1,41,25,1
Sedgwick,1,42,25,1
Sedgwick,1,43,25,1
Sedgwick,1,44,25,1
Sedgwick,1,45,25,1
Sedgwick,1,46,25,1
Sedgwick,1,47,25,1
Sedgwick,1,48,25,1
Sedgwick,1,49,25,1
Sedgwick,1,50,25,1
Sedgwick,1,51,15,1
Sedgwick,1,52,6,1
Sedgwick,4,1,25,2
Sedgwick,4,2,25,2
Sedgwick,4,3,25,2
Sedgwick,4,4,25,2
Sedgwick,4,5,25,2
Sedgwick,4,6,25,2
Sedgwick,4,7,25,2
Sedgwick,4,8,25,2
Sedgwick,4,9,25,2
