,Device ID,Batch,# of Ballot Cards,Location
Yuma,1,1,20,1
Yuma,1,2,20,1
Yuma,1,3,20,1
Yuma,1,4,20,1
Yuma,1,5,20,1
Yuma,1,6,20,1
Yuma,1,7,20,1
Yuma,1,8,20,1
Yuma,1,9,20,1
Yuma,1,10,20,1
Yuma,1,11,20,1
Yuma,1,12,20,1
Yuma,1,13,20,1
Yuma,1,14,20,1
Yuma,1,15,20,1
Yuma,1,16,20,1
Yuma,1,17,20,1
Yuma,1,18,20,1
Yuma,1,19,20,1
Yuma,1,20,20,1
Yuma,1,21,20,1
Yuma,1,22,20,1
Yuma,1,23,20,1
Yuma,1,24,20,1
Yuma,1,25,20,1
Yuma,1,26,20,1
Yuma,1,27,20,1
Yuma,1,28,20,1
Yuma,1,29,20,1
Yuma,1,30,20,1
Yuma,1,31,20,1
Yuma,1,32,20,1
Yuma,1,33,20,1
Yuma,1,34,20,1
Yuma,1,35,20,1
Yuma,1,36,20,1
Yuma,1,37,20,1
Yuma,1,38,20,1
Yuma,1,39,20,1
Yuma,1,40,20,1
Yuma,1,41,20,1
Yuma,1,42,20,1
Yuma,1,43,20,1
Yuma,1,44,8,1
Yuma,1,45,12,1
Yuma,1,46,20,1
Yuma,1,47,20,1
Yuma,1,48,20,1
Yuma,1,49,20,1
Yuma,1,50,20,1
Yuma,1,51,20,1
Yuma,1,52,20,1
Yuma,1,53,20,1
Yuma,1,54,20,1
Yuma,1,55,20,1
Yuma,1,56,20,1
Yuma,1,57,20,1
Yuma,1,58,20,1
Yuma,1,59,20,1
Yuma,1,60,20,1
Yuma,1,61,20,1
Yuma,1,62,20,1
Yuma,1,63,20,1
Yuma,1,64,20,1
Yuma,1,65,20,1
Yuma,1,66,20,1
Yuma,1,67,20,1
Yuma,1,68,20,1
Yuma,1,69,20,1
Yuma,1,70,20,1
Yuma,1,71,20,1
Yuma,1,72,20,1
Yuma,1,73,20,1
Yuma,1,74,20,1
Yuma,1,75,20,1
Yuma,1,76,20,1
Yuma,1,77,20,1
Yuma,1,78,20,1
Yuma,1,79,20,1
Yuma,1,80,20,1
Yuma,1,81,20,2
Yuma,1,82,20,2
Yuma,1,83,20,2
Yuma,1,84,20,2
Yuma,1,85,20,2
Yuma,1,86,20,2
Yuma,1,87,20,2
Yuma,1,88,20,2
Yuma,1,89,20,2
Yuma,1,90,20,2
Yuma,1,91,20,2
Yuma,1,92,20,2
Yuma,1,93,20,2
Yuma,1,94,20,2
Yuma,1,95,20,2
Yuma,1,96,20,2
Yuma,1,97,20,2
Yuma,1,98,20,2
Yuma,1,99,20,2
Yuma,1,100,20,2
Yuma,1,101,20,2
Yuma,1,102,20,2
Yuma,1,103,20,2
Yuma,1,104,20,2
Yuma,1,105,20,2
Yuma,1,106,20,2
Yuma,1,107,20,2
Yuma,1,108,20,2
Yuma,1,109,20,2
Yuma,1,110,20,2
Yuma,1,111,20,2
Yuma,1,112,20,2
Yuma,1,113,20,2
