min_margin,contest_name,contest_cvr_ids
0,District Attorney - 6th Judicial District,[]
0,Costilla County Commissioner - District 1,[]
0,Montezuma County Commissioner - District 2,[]
0,District Attorney - 12th Judicial District,[]
0,Kiowa Mayor,[]
0,Pueblo County Commissioner - District 2,[]
0,State Representative - District 31,[]
0,Montrose County Surveyor,[]
0,Bent County Commissioner - District 3,[]
0,District Attorney - 3rd Judicial District,[]
0,Directors of Redlands 360 Metropolitan District No. 1 (2 Year),[]
0,Sedgwick County Commissioner - District 2,[]
0,Sedgwick County Commissioner - District 3,[]
0,District Attorney - 22nd Judicial District,[]
0,State Representative - District 42,[]
0,Jefferson County Surveyor,[]
233,Mineral County Commissioner - District 3,"[741468,741467,741670,741999,741474,741770,741702,742163,741763,742155,741455,742092,741593,741435,741622,741429,741866,742153,741968,742057,742112,741705,741829,741701]"
0,District Attorney - 5th Judicial District,[]
0,State Representative - District 26,[]
0,District Attorney - 13th Judicial District,[]
4277,Logan County Court Judge - Brammer,"[1371261,1366167,1367962,1360341,1372201,1362040,1375742,1366137,1360094,1361414,1363728,1374378,1365544,1374110,1364413,1369896,1363971,1365346]"
0,Directors of Redlands 360 Metropolitan District No. 9 (2 Year),[]
0,Rio Grande County Commissioner - District 1,[]
0,Rio Grande County Commissioner - District 3,[]
0,Moffat County Commissioner - District 2,[]
0,Archuleta County Surveyor,[]
0,Rio Blanco County Commissioner - District 3,[]
0,Moffat County Commissioner - District 1,[]
0,Rio Blanco County Commissioner - District 2,[]
0,Teller County Commissioner - District 3,[]
0,Town of Gilcrest Mayor,[]
0,Teller County Commissioner - District 1,[]
0,Phillips County Commissioner - District 3,[]
0,Phillips County Commissioner - District 2,[]
0,Baca County Commissioner - District 1,[]
0,State Representative - District 65,[]
0,Baca County Commissioner - District 3,[]
0,Washington County Commissioner - District 3,[]
0,Washington County Commissioner - District 2,[]
0,Saguache County Commissioner - District 2,[]
0,City of Louisville City Council Ward 3,[]
0,Park County Commissioner - District 1,[]
0,District Attorney - 21st Judicial District,[]
0,Cheyenne County Commissioner - District 1,[]
0,Town of Severance Charter Commissioner,[]
0,Prowers County Commissioner - District 1,[]
0,Prowers County Commissioner - District 3,[]
0,Directors of Redlands 360 Metropolitan District No. 9 (3 Year),[]
0,District Attorney - 15th Judicial District,[]
0,Kit Carson County Commissioner - District 1,[]
0,Town of Hayden Mayor,[]
0,San Miguel County Commissioner - District 1,[]
0,Clear Creek County Commissioner - District 2,[]
0,Montrose County Commissioner - District 1,[]
0,Montrose County Commissioner - District 3,[]
0,Town of Lochbuie Trustee,[]
0,District Attorney - 10th Judicial District,[]
0,District Attorney - 19th Judicial District,[]
0,Fremont County Commissioners - District 1,[]
0,Pitkin County Commissioner - District 3,[]
0,Fremont County Commissioners - District 3,[]
0,Lincoln County Commissioner - District 2,[]
0,Lincoln County Commissioner - District 3,[]
0,District Attorney - 20th Judicial District,[]
0,Directors of Redlands 360 Metropolitan District No. 1 (3 Year),[]
0,District Attorney - 4th Judicial District,[]
0,Regional Transportation District Director - District F,[]
0,Regional Transportation District Director - District E,[]
0,Regional Transportation District Director - District D,[]
0,Town of Granby Mayor,[]
0,Otero County Commissioner - District 3,[]
0,Jackson County Commissioner - District 3,[]
0,Jackson County Commissioner - District 2,[]
0,Logan County Commissioner - District 1,[]
0,Logan County Commissioner - District 2,[]
0,Regional Transportation District Director - District M,[]
0,Las Animas County Commissioner - District 2,[]
0,Delta County Commissioner - District 2,[]
0,District Attorney - 7th Judicial District,[]
0,District Attorney - 9th Judicial District,[]
0,Las Animas County Commissioner - District 1,[]
0,Morgan County Commissioner - District 3,[]
0,Regent of the University of Colorado - Congressional District 7,[]
0,Larimer County Glenn Ridge Estates Public Improvement District No. 72 Ballot Issue 6D,[]
0,Kiowa County Commissioner - District 1,[]
0,Kiowa County Commissioner - District 3,[]
0,Town of Palmer Lake Trustee,[]
0,Dolores County Commissioner - District 2,[]
0,Routt County Commissioner - District 1,[]
0,District Attorney - 14th Judicial District,[]
0,Crowley County Commissioner - District 3,[]
0,Crowley County Commissioner - District 2,[]
0,State Representative - District 8,[]
0,State Representative - District 7,[]
0,Chaffee County Commissioner - District 2,[]
1364,RE3 South Routt School District Ballot Issue 5A,[]
917,Huerfano County Commissioner - District 2,"[15572,13276,16183,14094,15756,13525,13190,12380,14816,13525,13693,16318,15941,13665,15266,13678,14541,12342,13968,16660,14175,14985,14137,16482,12414,14508,12909,15463,15804,15726,14922,15000,14562,14660]"
350,Hinsdale County Sheriff,"[700,753,815,680,906,1125,1230,1096,674,1231,901,917,1130,826]"
192,Rio Blanco County Ballot Issue 1B,[]
1096562,Colorado Court of Appeals Judge - Tow,[]
482027,Proposition 118 (STATUTORY),[]
494432,Proposition 116 (STATUTORY),[]
1056343,Colorado Court of Appeals Judge - Welling,[]
36,Town of Eads Ballot Question 2A,[]
20031,State Representative - District 64,[]
812987,Amendment 76 (CONSTITUTIONAL),[]
300,Rio Blanco County Ballot Issue 1A,[]
143721,Proposition 113 (STATUTORY),[]
1250355,Justice of the Colorado Supreme Court - Samour,[]
141778,Amendment C (CONSTITUTIONAL),[]
14803,State Senator - District 35,[]
641153,Amendment 77 (CONSTITUTIONAL),[]
111654,Representative to the 117th United States Congress - District 4,[]
1325775,Justice of the Colorado Supreme Court - Hart,[]
452510,Amendment B (CONSTITUTIONAL),[]
1104749,Proposition EE (STATUTORY),[]
561980,Proposition 115 (STATUTORY),[]
153409,Proposition 117 (STATUTORY),[]
1768,Lake County Court Judge - Shamis,[]
25669,District Court Judge - 5th Judicial District - Granger,[]
28299,District Court Judge - 5th Judicial District - Thompson,[]
8565,State Representative - District 61,[]
43951,State Board of Education Member - Congressional District 3,[]
971,Lake County Commissioner - District 2,[]
29684,Representative to the 117th United States Congress - District 3,[]
6203,State Representative - District 62,[]
10317,District Court Judge - 12th Judicial District - Gonzales,[]
9165,District Court Judge - 12th Judicial District - Hopkins,[]
26,Mineral County Commissioner - District 2,[]
447,Mineral County Court Judge - Acheson,[]
111181,Colorado River Water Conservation District Ballot Issue 7A,[]
10741,State Representative - District 57,[]
96,Rio Blanco County Ballot Issue 1F,[]
468,Rio Blanco County Ballot Issue 1D,[]
1339,Rio Blanco County Ballot Issue 1C,[]
20857,District Court Judge - 9th Judicial District - Lynch,[]
990,State Senator - District 8,[]
150,Rico Fire Protection District Ballot Issue 6A,[]
13527,State Representative - District 58,[]
236,West Dolores County Cemetery District Ballot Issue 6C,[]
57,Rico Fire Protection District Ballot Question 6B,[]
1012,Bent County Court Judge - Vigil,[]
2797,District Attorney - 16th Judicial District,[]
621,City of La Junta Ballot Question 2A,[]
3525,State Representative - District 47,[]
213,La Junta Ward 1,[]
547,Rocky Ford School District R-2 Ballot Question 4A,[]
2355,Ouray County Court Judge - Martin,[]
222,Ouray County Regional Service Authority Ballot Issue 6A,[]
4827,State Representative - District 59,[]
17677,District Court Judge - 7th Judicial District - Jackson,[]
354,Ouray County Commissioner - District 3,[]
422,City of Ouray Ballot Issue 2A,[]
15521,District Court Judge - 7th Judicial District - Deganhart,[]
18636,District Court Judge - 7th Judicial District - Patrick,[]
3498,San Miguel County Commissioner - District 3,[]
20235,State Representative - District 13,[]
99135,District Court Judge - 8th Judicial District - Field,[]
13667,District Attorney - 8th Judicial District,[]
97399,District Court Judge - 8th Judicial District - Jouard,[]
94523,District Court Judge - 8th Judicial District - Blanco,[]
29586,District Court Judge - 8th Judicial District - Villasenor,[]
352,Hinsdale County Commissioner District 1,[]
405,Hinsdale County Commissioner District 3,[]
181952,District Court Judge - 18th Judicial District - Mares,[]
247645,District Court Judge - 18th Judicial District - Amico,[]
628,Miami Yoder School District JT 60 Ballot Question 5A,[]
236565,District Court Judge - 18th Judicial District - Scipione,[]
253783,District Court Judge - 18th Judicial District - Vahle,[]
157448,District Court Judge - 18th Judicial District - Baum,[]
257899,District Court Judge - 18th Judicial District - Volz,[]
1418,District Attorney - 18th Judicial District,[]
280949,District Court Judge - 18th Judicial District - Slade,[]
293,Town of Haxtun Ballot Question 1A,[]
1690,Phillips County Court Judge - Killin,[]
40,Holyoke School District RE-1J Ballot Issue 5A,[]
17189,District Court Judge - 13th Judicial District - Hoyer,[]
29,City of Holyoke Mayor,[]
109,City of Holyoke Council Member,[]
248,Frenchman Groundwater Management District Ballot Issue 7A,[]
245,Sedgwick County Court Judge - Dolezal,[]
3,Marks Butte Groundwater Management District Ballot Issue 6A,[]
900,Conejos County Commissioner - District 3,[]
1997,Conejos County Court Judge - Cortez,[]
2,Town of Romeo Ballot Question 2A,[]
147,Brush RE-2J School District Ballot Issue 3D,[]
994,Archuleta County Commissioner - District 1,[]
15,Town of Cokedale Referred Measure 2A,[]
22,Town of Dinosaur Ballot Issue 2A,[]
2195,City of Craig Ballot Question 2B,[]
2381,City of Craig Ballot Question 2C,[]
2354,City of Craig Ballot Question 2D,[]
2137,City of Craig Ballot Question 2E,[]
2664,City of Craig Ballot Question 2F,[]
354,Town of Paonia Ballot Issue 2D,[]
310,Town of Paonia Ballot Issue 2C,[]
22395,State Representative - District 54,[]
185,Town of Cedaredge Ballot Issue 2A,[]
386,Town of Cedaredge Ballot Issue 2B,[]
7916,Delta County Commissioner - District 3,[]
925,Glenwood Springs Rural Fire Protection District Ballot Issue 6A,[]
10811,Eagle County School District Re50J Ballot Issue 5B,[]
3630,Carbondale and Rural Fire Protection District Ballot Issue 7B,[]
861,City of Glenwood Springs Ballot Issue 2A,[]
501,Garfield County Commissioner - District 2,[]
251,City of Idaho Springs Ballot Question 2A,[]
824,Clear Creek County Commissioner - District 3,[]
134377,Representative to the 117th United States Congress - District 2,[]
116033,Regent of the University of Colorado - Congressional District 2,[]
3265,Clear Creek County Court Judge - Jones,[]
14496,District Court Judge - 6th Judicial District - Carlson,[]
254,Aspen Springs Metropolitan District Ballot Issue 6A,[]
19369,District Court Judge - 6th Judicial District - Norvell,[]
849,Los Pinos Fire Protection District Ballot Issue 7A,[]
