name,filename,type,approx_count,size,status,timestamp,computed_hash,submitted_hash
Kiowa,Modified_CVR_Export_20201113110444.csv,manifest,913,347233,FAILED,2020-11-13 11:57:36.135,5C2E7DE04F87B024B6B5858E6B18F81718F65CAB7087CFB5DD68761D87ECD735,5C2E7DE04F87B024B6B5858E6B18F81718F65CAB7087CFB5DD68761D87ECD735
Kiowa,Modified_CVR_Export_20201113110444.csv,manifest,913,397772,FAILED,2020-11-13 12:04:41.469,1BC58F0F55E3B5B02679441F8E2A8B0EEE1E81F69128F292B71BFF529543B988,1BC58F0F55E3B5B02679441F8E2A8B0EEE1E81F69128F292B71BFF529543B988
Kiowa,Modified_CVR_Export_20201113110444.csv,manifest,913,393238,FAILED,2020-11-13 12:08:37.06,BA20D9F36816730DD5044D4E76EB40A494EE5B4BAE6817F7166D1E1643244022,BA20D9F36816730DD5044D4E76EB40A494EE5B4BAE6817F7166D1E1643244022
La Plata,Modified_CVR_Export_20201113133454.csv,manifest,36005,8167693,FAILED,2020-11-13 14:06:31.854,9F67DDE867C9CECEE4E2D5EDE43BD21FE8D415853B974BF10996486FD75C4888,9F67DDE867C9CECEE4E2D5EDE43BD21FE8D415853B974BF10996486FD75C4888
La Plata,Modified_CVR_Export_20201113133454.csv,manifest,36005,8167693,FAILED,2020-11-13 14:07:28.458,9F67DDE867C9CECEE4E2D5EDE43BD21FE8D415853B974BF10996486FD75C4888,9F67DDE867C9CECEE4E2D5EDE43BD21FE8D415853B974BF10996486FD75C4888
La Plata,Modified_CVR_Export_20201113133454.csv,manifest,36005,8167693,FAILED,2020-11-13 14:09:10.055,9F67DDE867C9CECEE4E2D5EDE43BD21FE8D415853B974BF10996486FD75C4888,9F67DDE867C9CECEE4E2D5EDE43BD21FE8D415853B974BF10996486FD75C4888
La Plata,Modified_CVR_Export_20201113133454.csv,manifest,35999,7914966,FAILED,2020-11-13 14:18:00.479,AF314C632DA42AF3C280013898A4A38C9E855A71D9F5399D307CB4FB2249F0D5,AF314C632DA42AF3C280013898A4A38C9E855A71D9F5399D307CB4FB2249F0D5
Mesa,Mesa 2020 General CVR Modified.xlsx,manifest,229220,33396228,FAILED,2020-11-13 15:14:30.193,18CEC79BA51146C30DE931EA0E212A78426AEF74608B29D33277636DE71D6B5F,18CEC79BA51146C30DE931EA0E212A78426AEF74608B29D33277636DE71D6B5F
Mesa,Mesa 2020 General CVR Modified.csv.xlsx,manifest,229540,33393035,FAILED,2020-11-13 15:20:28.37,6F12829A8119BA52FE11F152E77BE0F3D1691B5C4FC7BBE9681B71DAD40C42A8,6F12829A8119BA52FE11F152E77BE0F3D1691B5C4FC7BBE9681B71DAD40C42A8
Yuma,2020 General Election Manifest.csv,manifest,258,4299,FAILED,2020-11-13 16:35:36.968,E900C68932E9DCCD2A2FC540D92ECCC3F1629E6E822DA87389D3CC158BD99676,E900C68932E9DCCD2A2FC540D92ECCC3F1629E6E822DA87389D3CC158BD99676
Adams,CVR_Export_20201113162323.csv,manifest,239429,154920623,FAILED,2020-11-13 16:58:01.542,A959AEF74F9C42D341E432A77EFEACC1D4B4C5F8009F55F94B6B10CE0087D029,A959AEF74F9C42D341E432A77EFEACC1D4B4C5F8009F55F94B6B10CE0087D029
Baca,2020 General Ballot Manifest 2.xlsx,manifest,96,17914,HASH_MISMATCH,2020-11-13 11:11:03.568,C45F7AF52A8B4B75CBB850CF3182B5D3036659400F4482ABF2946A7BEC7F1B6B,""
Phillips,QuickHash-Windows-v2.8.0-32Bit.exe,manifest,7444,2755072,HASH_MISMATCH,2020-11-13 11:22:48.493,282507EE347B52A18C6C1CD33BB17CC10856E69B74002DBE58602DAA32CE33DB,E20D82F98F67F90B04642024F870A2B75BC1814B3B0B8D2B10B06197CD8356D2
Baca,2020 General Ballot Manifest 2.csv,manifest,288,4759,HASH_MISMATCH,2020-11-13 11:26:27.494,39CA39065F36D0F05FEBC8ED803520408A090A54DC508F750CC321067D8F8DD0,C45F7AF52A8B4B75CBB850CF3182B5D3036659400F4482ABF2946A7BEC7F1B6B
Baca,2020 General Ballot Manifest 2.csv,manifest,288,4759,HASH_MISMATCH,2020-11-13 11:27:43.445,39CA39065F36D0F05FEBC8ED803520408A090A54DC508F750CC321067D8F8DD0,C45F7AF52A8B4B75CBB850CF3182B5D3036659400F4482ABF2946A7BEC7F1B6B
Phillips,CVR_Export_20201113111052.csv,manifest,2565,1159214,HASH_MISMATCH,2020-11-13 11:32:20.37,1CC4CF81F38130584367CEE16165268FE3E47A78007576DA5CC03E0ADCE83185,E20D82F98F67F90B04642024F870A2B75BC1814B3B0B8D2B10B06197CD8356D2
Kiowa,County.docx,manifest,77,12412,HASH_MISMATCH,2020-11-13 11:42:56.38,C52924E729AA370A4F72AE1CF289FCEEF6E38E02E36FE640F9FCF8A238C5A45D,6A432023E5099EF55A344884929B2FA7192A22B4
Kiowa,County.docx,manifest,77,12412,HASH_MISMATCH,2020-11-13 11:44:24.533,C52924E729AA370A4F72AE1CF289FCEEF6E38E02E36FE640F9FCF8A238C5A45D,6A432023E5099EF55A344884929B2FA7192A22B4
Kiowa,County.docx,manifest,77,12412,HASH_MISMATCH,2020-11-13 11:46:27.645,C52924E729AA370A4F72AE1CF289FCEEF6E38E02E36FE640F9FCF8A238C5A45D,7E621D1D954A501F78327DDAD80DBD0FE4CF46EB
Kiowa,Manifest.xlsx,manifest,56,9766,HASH_MISMATCH,2020-11-13 11:52:43.184,2E1E7303003F13337C2977A6A2E30264EC5079DEB9B417E4DD0C325F09BE2DAD,6A432023E5099EF55A344884929B2FA7192A22B4
Kiowa,Modified_CVR_Export_20201113110444.csv,manifest,913,397772,HASH_MISMATCH,2020-11-13 12:15:24.122,1BC58F0F55E3B5B02679441F8E2A8B0EEE1E81F69128F292B71BFF529543B988,274D6809C7DD9348DA687099BB31447175CD2E34
Kiowa,Modified_CVR_Export_20201113110444.csv,manifest,913,397772,HASH_MISMATCH,2020-11-13 12:19:26.682,1BC58F0F55E3B5B02679441F8E2A8B0EEE1E81F69128F292B71BFF529543B988,274D6809C7DD9348DA687099BB31447175CD2E34
Kiowa,Modified_CVR_Export_20201113110444.csv,manifest,913,397772,HASH_MISMATCH,2020-11-13 12:20:15.608,1BC58F0F55E3B5B02679441F8E2A8B0EEE1E81F69128F292B71BFF529543B988,274D6809C7DD9348DA687099BB31447175CD2E34
Ouray,Ballot Manifest Ouray for General.csv,manifest,166,4240,HASH_MISMATCH,2020-11-13 13:24:57.691,A378CAB51C55A43B31FE3613878194E688DB01E7D29C906E9A674B2FF1462B7F,40BDDE747C94B99830E0F179F52106FDFDED221AB3B089C10D59D29FC6B0AE5A
Ouray,Modified_CVR_Export_20201113122025.csv,manifest,4054,995002,HASH_MISMATCH,2020-11-13 13:32:58.262,2D31F230C2BB3CFC9398690D6490D1AE6B36FF6022040A4DEA9BFA1B356F87C8,F02B28CA8C85C02A9AC49439E381856C1EA5AA97
Alamosa,Alamosa Ballot Manifest.csv,manifest,318,7550,HASH_MISMATCH,2020-11-13 14:04:06.905,CD20D66D84EC796EEBE0FCD681D8252D2682C1FC6B256BBCA52AAE536134EF09,""
La Plata,Modified_CVR_Export_20201113133454.csv,manifest,36005,8167693,HASH_MISMATCH,2020-11-13 14:04:35.308,9F67DDE867C9CECEE4E2D5EDE43BD21FE8D415853B974BF10996486FD75C4888,6F0CCF11AACEBE25423BDF3759DA18B95B39B748F881D981544A0B7F4F1F338E
Baca,2020 General Ballot Manifest 2.csv,manifest,288,4759,HASH_MISMATCH,2020-11-13 14:23:05.681,39CA39065F36D0F05FEBC8ED803520408A090A54DC508F750CC321067D8F8DD0,729B83461AD17D08B64C775583377CCCBA0C03786F07EC29D3627117F87DF53F
Bent,Hash Values.doc,manifest,57,22528,HASH_MISMATCH,2020-11-13 15:14:20.621,A0C8C1CD2012ED5C651B0A2CBB25747ED43AAF5044B79644DD9E344CEDDCCF51,D3E6AD0C38C4DED2A1235730D4FDF5753A2B222D33AF645FB7E6325F35D63FA8
Bent,Hash Values.doc,manifest,57,22528,HASH_MISMATCH,2020-11-13 15:14:55.97,A0C8C1CD2012ED5C651B0A2CBB25747ED43AAF5044B79644DD9E344CEDDCCF51,D3E6AD0C38C4DED2A1235730D4FDF5753A2B222D33AF645FB7E6325F35D63FA8
Grand,Ballot Manifest Grand 2020 General.csv,manifest,215,4641,HASH_MISMATCH,2020-11-13 15:54:50.563,7A188C16DB235B4CEFE04AAF247341E46D11F009348811A5564D9A6A97B24ADA,""
Yuma,Modified_CVR_Export.csv,manifest,5033,1152235,HASH_MISMATCH,2020-11-13 16:36:49.009,AC2FC844776C16C77ACC79EA09A55BADE9682E0E17C0EB299615FB4810E93B2E,AC2FC844776C16C77ACC79EA09A55BADE9682E0E17C0EB299615FB4810E93B2
Yuma,Modified_CVR_Export.csv,manifest,5033,1152235,HASH_MISMATCH,2020-11-13 16:38:29.533,AC2FC844776C16C77ACC79EA09A55BADE9682E0E17C0EB299615FB4810E93B2E,AC2FC844776C16C77ACC79EA09A55BADE9682E0E17C0EB299615FB4810E93B22
