contest_name,choice,votes
President of the United States - DEM,Bernie Sanders,326327
President of the United States - DEM,Joseph R. Biden,221252
President of the United States - DEM,Michael R. Bloomberg,165075
President of the United States - DEM,Elizabeth Warren,159709
President of the United States - DEM,Pete Buttigieg,WITHDRAWN
President of the United States - DEM,Amy Klobuchar,WITHDRAWN
President of the United States - DEM,Tulsi Gabbard,9330
President of the United States - DEM,Michael Bennet,WITHDRAWN
President of the United States - DEM,Andrew Yang,3657
President of the United States - DEM,Tom Steyer,3115
President of the United States - DEM,Cory Booker,1182
President of the United States - DEM,Roque Rocky De La Fuente III,1038
President of the United States - DEM,Marianne Williamson,1004
President of the United States - DEM,John K. Delaney,WITHDRAWN
President of the United States - DEM,Rita Krichevsky,404
President of the United States - DEM,Robby Wells,299
President of the United States - DEM,Deval Patrick,201
President of the United States - REP,Donald J. Trump,589299
President of the United States - REP,Bill Weld,24432
President of the United States - REP,Joe Walsh,12247
President of the United States - REP,Matthew John Matern,6746
President of the United States - REP,Robert Ardini,3174
President of the United States - REP,Zoltan G. Istvan,3166
