min_margin,contest_name,contest_cvr_ids
0,State Senator - District 4 - REP,[]
0,Representative to the 117th United States Congress-District 1 - DEM,[]
0,Lake County Commissioner District 2 - REP,[]
0,State Representative - District 23 - REP,[]
0,District Attorney--1st Judicial District - REP,[]
0,State Representative - District 36 - REP,[]
0,Regent of the University of Colorado - Congressional District 2 - REP,[]
0,State Senator - District 35 - DEM,[]
0,State Senator - District 19 - REP,[]
0,Elbert County Commissioner District 1 - REP,[]
0,Douglas County Commissioner - District 2 - DEM,[]
0,Elbert County Commissioner District 3 - DEM,[]
0,Eagle County Commissioner - District 1 - REP,[]
0,State Representative - District 8 - DEM,[]
0,State Representative - District 1 - REP,[]
0,District Attorney - 17th Judicial District - DEM,[]
0,Mineral County Commissioner - District 2 - DEM,[]
0,State Representative - District 52 - DEM,[]
0,State Representative - District 31 - REP,[]
0,Adams County Commissioner - District 5 - DEM,[]
0,State Representative - District 44 - DEM,[]
0,Hinsdale County Commissioner District 1 - DEM,[]
0,District Attorney--18th Judicial District - REP,[]
0,State Representative - District 6 - REP,[]
0,Garfield County Commissioner District 3 - DEM,[]
0,Representative to the 117th United States Congress-District 6 - REP,[]
0,District Attorney--10th Judicial District - DEM,[]
0,State Representative - District 3 - DEM,[]
0,El Paso County Commissioner - District 4 - DEM,[]
0,State Senator - District 27 - DEM,[]
0,Kiowa County Commissioner - District 3 - REP,[]
0,State Senator - District 12 - REP,[]
0,Clear Creek County Commissioner - District 2 - REP,[]
0,State Representative - District 57 - DEM,[]
0,District Attorney--7th Judicial District - REP,[]
0,State Representative - District 17 - DEM,[]
0,State Senator - District 29 - DEM,[]
0,State Representative - District 49 - DEM,[]
0,Yuma County Commissioner - District 2 - DEM,[]
0,State Representative - District 19 - DEM,[]
0,State Representative - District 46 - DEM,[]
0,Eagle County Commissioner - District 1 - DEM,[]
0,Representative to the 117th United States Congress-District 1 - REP,[]
0,State Senator - District 4 - DEM,[]
0,State Representative - District 23 - DEM,[]
0,State Representative - District 33 - DEM,[]
0,Mesa County Commissioner - District 3 - DEM,[]
0,Gunnison County Commissioner District 1 - DEM,[]
0,State Senator - District 25 - REP,[]
0,State Representative - District 52 - REP,[]
0,District Attorney - 17th Judicial District - REP,[]
0,Weld County Commissioner District 3 - LBR,[]
0,State Representative - District 15 - REP,[]
0,Elbert County Commissioner District 3 - REP,[]
0,Lake County Commissioner District 2 - DEM,[]
0,State Senator - District 14 - DEM,[]
0,Jackson County Commissioner Dist 3 - REP,[]
0,Weld County Commissioner At-Large - DEM,[]
0,Prowers County Commissioner District 3 - REP,[]
0,State Representative - District 54 - DEM,[]
0,State Representative - District 21 - REP,[]
0,Kiowa County Commissioner - District 1 - REP,[]
0,Gilpin County Commissioner District 1 - DEM,[]
0,Saguache County Commissioner District 1 - REP,[]
0,Representative to the 117th United States Congress-District 6 - DEM,[]
0,State Representative - District 60 - DEM,[]
0,State Representative - District 31 - DEM,[]
0,State Representative - District 44 - REP,[]
0,Routt County Commissioner - District 2 - DEM,[]
0,State Senator - District 31 - REP,[]
0,District Attorney--6th Judicial District - DEM,[]
0,State Representative - District 1 - DEM,[]
0,Lincoln County Commissioner District 2 - REP,[]
0,Logan County Commissioner District 2 - REP,[]
0,State Senator - District 27 - REP,[]
0,Summit County Commissioner - District 2 - DEM,[]
0,Representative to the 117th United States Congress-District 4 - REP,[]
0,State Representative - District 25 - DEM,[]
0,State Representative - District 17 - REP,[]
0,Adams County Commissioner - District 5 - REP,[]
0,Phillips County Commissioner - District 3 - REP,[]
0,State Senator - District 12 - DEM,[]
0,Prowers County Commissioner District 1 - REP,[]
0,State Representative - District 13 - REP,[]
0,Montrose County Commissioner - District 3 - REP,[]
0,La Plata County Commissioner District 3 - DEM,[]
0,District Attorney - 7th Judicial District - REP,[]
0,District Attorney - 3rd Judicial District - DEM,[]
0,State Representative - District 59 - REP,[]
0,Dolores County Commissioner District 2 - REP,[]
0,Otero County Commissioner District 1 - REP,[]
0,State Representative - District 15 - DEM,[]
0,State Representative - District 55 - DEM,[]
0,District Attorney - 11th Judicial District - DEM,[]
0,Chaffee County Commissioner - District 1 - REP,[]
0,District Attorney--16th Judicial District - DEM,[]
0,Regent of the University of Colorado - Congressional District 6 - DEM,[]
0,State Representative - District 20 - REP,[]
0,El Paso County Commissioner - District 2 - DEM,[]
0,State Representative - District 60 - REP,[]
0,United States Senator - REP,[]
0,Weld County Commissioner District 1 - DEM,[]
0,State Representative - District 21 - DEM,[]
0,Custer County Commissioner - District 2 - REP,[]
0,El Paso County Commissioner - District 3 - DEM,[]
0,Dolores County Commissioner District 3 - REP,[]
0,State Representative - District 14 - REP,[]
