County,Tabulator ID,Batch,# of Ballot Cards,Location
Bent,2,1,25,box 1
Bent,2,2,25,box 1
Bent,2,3,25,box 1
Bent,2,4,25,box 1
Bent,2,5,25,box 1
Bent,2,6,25,box 1
Bent,2,7,25,box 1
Bent,2,8,25,box 1
Bent,2,9,25,box 1
Bent,2,10,25,box 1
Bent,2,11,25,box 1
Bent,2,12,25,box 1
Bent,2,13,25,box 1
Bent,2,14,25,box 1
Bent,2,15,25,box 1
Bent,2,16,25,box 1
Bent,2,17,25,box 1
Bent,2,18,25,box 1
Bent,2,19,25,box 1
Bent,2,20,25,box 1
Bent,2,21,25,box 1
Bent,2,22,25,box 1
Bent,2,23,25,box 1
Bent,2,24,25,box 1
Bent,2,25,25,box 1
Bent,2,26,25,box 1
Bent,2,27,25,box 1
Bent,2,28,25,box 1
Bent,2,29,25,box 1
Bent,2,30,25,box 1
Bent,2,31,25,box 1
Bent,2,32,25,box 1
Bent,2,33,25,box 1
Bent,2,34,25,box 1
Bent,2,35,25,box 1
Bent,2,36,25,box 1
Bent,2,37,25,box 1
Bent,2,38,25,box 1
Bent,2,39,25,box 1
Bent,2,40,25,box 1
Bent,2,41,25,box 1
Bent,2,42,25,box 1
Bent,2,43,25,box 1
Bent,2,44,25,box 1
Bent,2,45,25,box 1
Bent,2,46,25,box 1
Bent,2,47,18,box 1
