County,Tabulator ID,Batch,# of Ballot Cards,Location
Eagle,1,1,25,1
Eagle,1,2,24,1
Eagle,1,3,23,1
Eagle,1,4,25,1
Eagle,1,5,25,1
Eagle,1,6,21,1
Eagle,1,7,23,1
Eagle,1,8,25,1
Eagle,1,9,23,1
Eagle,1,10,25,1
Eagle,1,11,23,1
Eagle,1,12,25,1
Eagle,1,13,22,1
Eagle,1,14,25,1
Eagle,1,15,23,1
Eagle,1,16,25,1
Eagle,1,17,25,1
Eagle,1,18,25,1
Eagle,1,19,25,1
Eagle,1,20,25,1
Eagle,1,21,25,1
Eagle,1,22,21,2
Eagle,1,23,25,2
Eagle,1,24,25,2
Eagle,1,25,20,2
Eagle,1,26,24,2
Eagle,1,27,25,2
Eagle,1,28,25,2
Eagle,1,29,22,2
Eagle,1,30,9,2
Eagle,1,31,25,2
Eagle,1,32,19,2
Eagle,1,33,25,2
Eagle,1,34,24,2
Eagle,1,35,25,2
Eagle,1,36,24,2
Eagle,1,37,25,2
Eagle,1,38,23,2
Eagle,1,39,25,2
Eagle,1,40,19,2
Eagle,1,41,24,2
Eagle,1,42,25,2
Eagle,1,43,22,3
Eagle,1,44,25,3
Eagle,1,45,20,3
Eagle,1,46,25,3
Eagle,1,47,22,3
Eagle,1,48,25,3
Eagle,1,49,22,3
Eagle,1,50,21,3
Eagle,1,51,25,3
Eagle,1,52,22,3
Eagle,1,53,25,3
Eagle,1,54,23,3
Eagle,1,55,25,3
Eagle,1,56,24,3
Eagle,1,57,25,3
Eagle,1,58,21,3
Eagle,1,59,25,3
Eagle,1,60,25,3
Eagle,1,61,25,3
Eagle,1,62,23,3
Eagle,1,63,25,3
Eagle,1,64,25,4
Eagle,1,65,25,4
Eagle,1,66,13,4
Eagle,1,67,25,4
Eagle,1,68,24,4
Eagle,1,69,25,4
Eagle,1,70,22,4
Eagle,1,71,25,4
Eagle,1,72,22,4
Eagle,1,73,25,4
Eagle,1,74,25,4
Eagle,1,75,25,4
Eagle,1,76,25,4
Eagle,1,77,25,4
Eagle,1,78,24,4
Eagle,1,79,25,4
Eagle,1,80,22,4
Eagle,1,81,25,4
Eagle,1,82,19,4
Eagle,1,83,22,4
Eagle,1,84,25,4
Eagle,1,85,25,4
Eagle,1,86,25,4
Eagle,1,87,25,5
Eagle,1,88,25,5
Eagle,1,89,24,5
Eagle,1,90,25,5
Eagle,1,91,24,5
Eagle,1,92,25,5
Eagle,1,93,22,5
Eagle,1,94,25,5
Eagle,1,95,25,5
Eagle,1,96,24,5
Eagle,1,97,24,5
Eagle,1,98,25,5
Eagle,1,99,25,5
Eagle,1,100,25,5
Eagle,1,101,24,5
Eagle,1,102,25,5
Eagle,1,103,11,5
Eagle,1,104,25,5
Eagle,1,105,25,5
Eagle,1,106,24,5
Eagle,1,107,25,5
Eagle,1,108,24,6
Eagle,1,109,25,6
Eagle,1,110,23,6
Eagle,1,111,25,6
Eagle,1,112,21,6
Eagle,1,113,25,6
Eagle,1,114,21,6
Eagle,1,115,25,6
Eagle,1,116,20,6
Eagle,1,117,25,6
Eagle,1,118,23,6
Eagle,1,119,25,6
Eagle,1,120,21,6
Eagle,1,121,25,6
Eagle,1,122,25,6
Eagle,1,123,25,6
Eagle,1,124,24,6
Eagle,1,125,25,6
Eagle,1,126,21,6
Eagle,1,127,25,6
Eagle,1,128,24,6
Eagle,1,129,25,6
Eagle,1,130,25,6
Eagle,1,131,22,6
Eagle,1,132,23,7
Eagle,1,133,24,7
Eagle,1,134,25,7
Eagle,1,135,23,7
Eagle,1,136,25,7
Eagle,1,137,25,7
Eagle,1,138,25,7
Eagle,1,139,23,7
Eagle,1,140,25,7
Eagle,1,141,25,7
Eagle,1,142,25,7
Eagle,1,143,25,7
Eagle,1,144,25,7
Eagle,1,145,25,7
Eagle,1,146,25,7
Eagle,1,147,25,7
Eagle,1,148,25,7
Eagle,1,149,23,7
Eagle,1,150,25,7
Eagle,1,151,25,7
Eagle,1,152,25,7
Eagle,1,153,22,7
Eagle,1,154,25,7
Eagle,1,155,8,8
Eagle,1,156,25,8
Eagle,1,157,25,8
Eagle,1,158,21,8
Eagle,1,159,24,8
Eagle,1,160,25,8
Eagle,1,161,22,8
Eagle,1,162,25,8
Eagle,1,163,23,8
Eagle,1,164,25,8
Eagle,1,165,23,8
Eagle,1,166,22,8
Eagle,1,167,25,8
Eagle,1,168,12,8
Eagle,1,169,25,8
Eagle,1,170,22,8
Eagle,1,171,25,8
Eagle,1,172,22,8
Eagle,1,173,25,8
Eagle,1,174,25,8
Eagle,1,175,25,8
Eagle,1,176,25,8
Eagle,1,177,25,8
Eagle,1,178,21,9
Eagle,1,179,25,9
Eagle,1,180,23,9
Eagle,1,181,25,9
Eagle,1,182,25,9
Eagle,1,183,25,9
Eagle,1,184,25,9
Eagle,1,185,21,9
Eagle,1,186,24,9
Eagle,1,187,25,9
Eagle,1,188,22,9
Eagle,1,189,25,9
Eagle,1,190,20,9
Eagle,1,191,25,9
Eagle,1,192,25,9
Eagle,1,193,23,9
Eagle,1,194,23,9
Eagle,1,195,25,9
Eagle,1,196,24,9
Eagle,1,197,25,9
Eagle,1,198,21,9
Eagle,1,199,25,9
Eagle,1,200,25,10
Eagle,1,201,23,10
Eagle,1,202,20,10
Eagle,1,203,25,10
Eagle,1,204,21,10
Eagle,1,205,25,10
Eagle,1,206,24,10
Eagle,1,207,24,10
Eagle,1,208,25,10
Eagle,1,209,25,10
Eagle,1,210,25,10
Eagle,1,211,2,10
Eagle,1,212,12,10
Eagle,1,213,17,10
Eagle,1,214,13,10
Eagle,1,215,25,10
Eagle,1,216,23,10
Eagle,1,217,25,10
Eagle,1,218,25,10
Eagle,1,219,17,10
Eagle,1,220,20,10
Eagle,1,221,25,10
Eagle,1,222,20,10
Eagle,1,223,25,10
Eagle,1,224,12,10
Eagle,1,225,25,10
Eagle,1,226,23,11
Eagle,1,227,25,11
Eagle,1,228,24,11
Eagle,1,229,24,11
Eagle,1,230,22,11
Eagle,1,231,25,11
Eagle,1,232,25,11
Eagle,1,233,21,11
Eagle,1,234,18,11
Eagle,1,235,25,11
Eagle,1,236,24,11
Eagle,1,237,25,11
Eagle,1,238,21,11
Eagle,1,239,25,11
Eagle,1,240,20,11
Eagle,1,241,25,11
Eagle,1,242,17,11
Eagle,1,243,25,11
Eagle,1,244,25,11
Eagle,1,245,20,11
Eagle,1,246,21,11
Eagle,1,247,25,11
Eagle,1,248,25,12
Eagle,1,249,25,12
Eagle,1,250,24,12
Eagle,1,251,25,12
Eagle,1,252,22,12
Eagle,1,253,25,12
Eagle,1,254,23,12
Eagle,1,255,25,12
Eagle,1,256,20,12
Eagle,1,257,25,12
Eagle,1,258,19,12
Eagle,1,259,24,12
Eagle,1,260,25,12
Eagle,1,261,23,12
Eagle,1,262,25,12
Eagle,1,263,21,12
Eagle,1,264,25,12
Eagle,1,265,23,12
Eagle,1,266,25,12
Eagle,1,267,25,12
Eagle,1,268,18,12
Eagle,1,269,25,12
Eagle,1,270,25,12
Eagle,1,271,6,12
Eagle,1,272,24,13
Eagle,1,273,25,13
Eagle,1,274,20,13
Eagle,1,275,25,13
Eagle,1,276,17,13
Eagle,1,277,25,13
Eagle,1,278,20,13
Eagle,1,279,25,13
Eagle,1,280,23,13
Eagle,1,281,25,13
Eagle,1,282,21,13
Eagle,1,283,22,13
Eagle,1,284,23,13
Eagle,1,285,25,13
Eagle,1,286,21,13
Eagle,1,287,23,13
Eagle,1,288,25,13
Eagle,1,289,25,13
Eagle,1,290,25,13
Eagle,1,291,18,13
Eagle,1,292,25,13
Eagle,1,293,24,13
Eagle,1,294,25,13
Eagle,1,295,23,14
Eagle,1,296,25,14
Eagle,1,297,25,14
Eagle,1,298,24,14
Eagle,1,299,25,14
Eagle,1,300,25,14
Eagle,1,301,21,14
Eagle,1,302,25,14
Eagle,1,303,24,14
Eagle,1,304,14,14
Eagle,1,305,25,14
Eagle,1,306,23,14
Eagle,1,307,25,14
Eagle,1,308,25,14
Eagle,1,309,25,14
Eagle,1,310,25,14
Eagle,1,311,19,14
Eagle,1,312,25,14
Eagle,1,313,21,14
Eagle,1,314,25,14
Eagle,1,315,22,14
Eagle,1,316,25,14
Eagle,1,317,24,15
Eagle,1,318,25,15
Eagle,1,319,22,15
Eagle,1,320,25,15
Eagle,1,321,23,15
Eagle,1,322,25,15
Eagle,1,323,25,15
Eagle,1,324,25,15
