County,Tabulator ID,Batch,# of Ballot Cards,Location
Elbert,3,1,50,Bin 1
Elbert,3,2,50,Bin 1
Elbert,3,3,50,Bin 1
Elbert,3,4,50,Bin 1
Elbert,3,5,50,Bin 1
Elbert,3,6,50,Bin 1
Elbert,3,7,50,Bin 1
Elbert,3,8,50,Bin 1
Elbert,3,9,50,Bin 1
Elbert,3,10,50,Bin 1
Elbert,3,11,50,Bin 1
Elbert,3,12,50,Bin 1
Elbert,3,13,50,Bin 1
Elbert,3,14,50,Bin 1
Elbert,3,15,50,Bin 1
Elbert,3,16,50,Bin 1
Elbert,3,17,50,Bin 1
Elbert,3,18,50,Bin 1
Elbert,3,19,50,Bin 1
Elbert,3,20,50,Bin 1
Elbert,3,21,50,Bin 1
Elbert,3,22,50,Bin 1
Elbert,3,23,50,Bin 1
Elbert,3,24,50,Bin 1
Elbert,3,25,50,Bin 1
Elbert,3,26,50,Bin 1
Elbert,3,27,50,Bin 1
Elbert,3,28,50,Bin 1
Elbert,3,29,50,Bin 1
Elbert,3,30,50,Bin 1
Elbert,3,31,50,Bin 1
Elbert,3,32,50,Bin 1
Elbert,3,33,50,Bin 1
Elbert,3,34,50,Bin 1
Elbert,3,35,50,Bin 1
Elbert,3,36,50,Bin 1
Elbert,3,37,50,Bin 1
Elbert,3,38,50,Bin 1
Elbert,3,39,50,Bin 1
Elbert,3,40,50,Bin 1
Elbert,3,41,50,Bin 1
Elbert,3,42,50,Bin 1
Elbert,3,43,50,Bin 1
Elbert,3,44,50,Bin 1
Elbert,3,45,50,Bin 1
Elbert,3,46,50,Bin 1
Elbert,3,47,50,Bin 1
Elbert,3,48,50,Bin 1
Elbert,3,49,50,Bin 1
Elbert,3,50,50,Bin 1
Elbert,3,51,50,Bin 2
Elbert,3,52,50,Bin 2
Elbert,3,53,50,Bin 2
Elbert,3,54,50,Bin 2
Elbert,3,55,50,Bin 2
Elbert,3,56,50,Bin 2
Elbert,3,57,50,Bin 2
Elbert,3,58,50,Bin 2
Elbert,3,59,50,Bin 2
Elbert,3,60,50,Bin 2
Elbert,3,61,50,Bin 2
Elbert,3,62,50,Bin 2
Elbert,3,63,50,Bin 2
Elbert,3,64,50,Bin 2
Elbert,3,65,50,Bin 2
Elbert,3,66,50,Bin 2
Elbert,3,67,50,Bin 2
Elbert,3,68,50,Bin 2
Elbert,3,69,50,Bin 2
Elbert,3,70,50,Bin 2
Elbert,3,71,50,Bin 2
Elbert,3,72,50,Bin 2
Elbert,3,73,50,Bin 2
Elbert,3,74,50,Bin 2
Elbert,3,75,50,Bin 2
Elbert,3,76,50,Bin 2
Elbert,3,77,50,Bin 2
Elbert,3,78,50,Bin 2
Elbert,3,79,50,Bin 2
Elbert,3,80,50,Bin 2
Elbert,3,81,50,Bin 2
Elbert,3,82,50,Bin 2
Elbert,3,83,50,Bin 2
Elbert,3,84,50,Bin 2
Elbert,3,85,50,Bin 2
Elbert,3,86,50,Bin 2
Elbert,3,87,50,Bin 2
Elbert,3,88,50,Bin 2
Elbert,3,89,50,Bin 2
Elbert,3,90,50,Bin 2
Elbert,3,91,50,Bin 2
Elbert,3,92,50,Bin 2
Elbert,3,93,50,Bin 2
Elbert,3,94,50,Bin 2
Elbert,3,95,50,Bin 2
Elbert,3,96,50,Bin 2
Elbert,3,97,50,Bin 2
Elbert,3,98,50,Bin 2
Elbert,3,99,50,Bin 2
Elbert,3,100,50,Bin 2
Elbert,3,101,50,Bin 3
Elbert,3,102,50,Bin 3
Elbert,3,103,50,Bin 3
Elbert,3,104,50,Bin 3
Elbert,3,105,50,Bin 3
Elbert,3,106,50,Bin 3
Elbert,3,107,50,Bin 3
Elbert,3,108,50,Bin 3
Elbert,3,109,50,Bin 3
Elbert,3,110,50,Bin 3
Elbert,3,111,50,Bin 3
Elbert,3,112,50,Bin 3
Elbert,3,113,50,Bin 3
Elbert,3,114,50,Bin 3
Elbert,3,115,50,Bin 3
Elbert,3,116,50,Bin 3
Elbert,3,117,50,Bin 3
Elbert,3,118,50,Bin 3
Elbert,3,119,50,Bin 3
Elbert,3,120,50,Bin 3
Elbert,3,121,50,Bin 3
Elbert,3,122,50,Bin 3
Elbert,3,123,50,Bin 3
Elbert,3,124,50,Bin 3
Elbert,3,125,50,Bin 3
Elbert,3,126,50,Bin 3
Elbert,3,127,50,Bin 3
Elbert,3,128,50,Bin 3
Elbert,3,129,50,Bin 3
Elbert,3,130,50,Bin 3
Elbert,3,131,50,Bin 3
Elbert,3,132,50,Bin 3
Elbert,3,133,50,Bin 3
Elbert,3,134,50,Bin 3
Elbert,3,135,50,Bin 3
Elbert,3,136,50,Bin 3
Elbert,3,137,50,Bin 3
Elbert,3,138,50,Bin 3
Elbert,3,139,50,Bin 3
Elbert,3,140,50,Bin 3
Elbert,3,141,50,Bin 3
Elbert,3,142,50,Bin 3
Elbert,3,143,50,Bin 3
Elbert,3,144,50,Bin 3
Elbert,3,145,50,Bin 3
Elbert,3,146,50,Bin 3
Elbert,3,147,50,Bin 3
Elbert,3,148,50,Bin 3
Elbert,3,149,50,Bin 3
Elbert,3,150,50,Bin 3
Elbert,3,151,50,Bin 4
Elbert,3,152,50,Bin 4
Elbert,3,153,50,Bin 4
Elbert,3,154,50,Bin 4
Elbert,3,155,50,Bin 4
Elbert,3,156,50,Bin 4
Elbert,3,157,50,Bin 4
