County,Tabulator ID,Batch,# of Ballot Cards,Location
Jefferson,3,1,100,1
Jefferson,3,2,200,1
Jefferson,3,3,199,1
Jefferson,3,4,186,1
Jefferson,3,5,200,1
Jefferson,3,6,200,1
Jefferson,3,7,202,1
Jefferson,7,1,200,2
Jefferson,7,2,192,2
Jefferson,7,3,150,2
Jefferson,7,4,200,2
Jefferson,7,5,198,2
Jefferson,7,6,194,2
Jefferson,7,7,200,2
Jefferson,3,8,200,3
Jefferson,3,9,199,3
Jefferson,3,10,200,3
Jefferson,3,11,200,3
Jefferson,3,12,200,3
Jefferson,3,13,201,3
Jefferson,3,14,199,3
Jefferson,7,8,200,4
Jefferson,7,9,196,4
Jefferson,7,10,200,4
Jefferson,7,11,199,4
Jefferson,7,12,200,4
Jefferson,7,13,200,4
Jefferson,7,14,199,4
Jefferson,7,15,199,5
Jefferson,7,16,198,5
Jefferson,7,17,199,5
Jefferson,7,18,198,5
Jefferson,7,19,200,5
Jefferson,7,20,200,5
Jefferson,7,21,200,5
Jefferson,3,15,160,6
Jefferson,3,16,145,6
Jefferson,3,17,199,6
Jefferson,3,18,199,6
Jefferson,3,19,197,6
Jefferson,3,20,200,6
Jefferson,3,21,145,6
Jefferson,3,22,198,7
Jefferson,3,23,198,7
Jefferson,3,24,200,7
Jefferson,3,25,200,7
Jefferson,3,26,198,7
Jefferson,3,27,200,7
Jefferson,3,28,199,7
Jefferson,7,22,200,8
Jefferson,7,23,199,8
Jefferson,7,24,199,8
Jefferson,7,25,200,8
Jefferson,7,26,149,8
Jefferson,7,27,200,8
Jefferson,7,28,199,8
Jefferson,3,29,199,9
Jefferson,3,30,198,9
Jefferson,3,31,193,9
Jefferson,3,32,200,9
Jefferson,3,33,199,9
Jefferson,3,34,199,9
Jefferson,3,35,199,9
Jefferson,3,36,196,10
Jefferson,3,37,198,10
Jefferson,3,38,199,10
Jefferson,3,39,198,10
Jefferson,3,40,181,10
Jefferson,3,41,199,10
Jefferson,3,42,199,10
Jefferson,7,29,199,11
Jefferson,7,30,200,11
Jefferson,7,31,200,11
Jefferson,7,32,200,11
Jefferson,7,33,200,11
Jefferson,7,34,199,11
Jefferson,7,35,195,11
Jefferson,3,43,199,12
Jefferson,3,44,199,12
Jefferson,3,45,200,12
Jefferson,3,46,196,12
Jefferson,3,47,200,12
Jefferson,3,48,200,12
Jefferson,3,49,200,12
Jefferson,7,36,184,13
Jefferson,7,37,200,13
Jefferson,7,38,199,13
Jefferson,7,39,200,13
Jefferson,7,40,199,13
Jefferson,7,41,200,13
Jefferson,7,42,199,13
Jefferson,3,50,199,14
Jefferson,3,51,199,14
Jefferson,3,52,197,14
Jefferson,3,53,198,14
Jefferson,3,54,200,14
Jefferson,3,55,198,14
