County,Tabulator ID,Batch,# of Ballot Cards,Location
Mesa,3,1,93,1
Mesa,3,2,96,1
Mesa,3,3,86,1
Mesa,3,4,98,1
Mesa,3,5,100,1
Mesa,3,6,100,1
Mesa,3,7,100,2
Mesa,3,8,97,2
Mesa,3,9,99,2
Mesa,3,10,100,2
Mesa,3,11,99,2
Mesa,3,12,100,2
Mesa,3,13,100,3
Mesa,3,14,100,3
Mesa,3,15,100,3
Mesa,3,16,100,3
Mesa,3,17,100,3
Mesa,3,18,100,3
Mesa,3,19,82,4
Mesa,3,20,100,4
Mesa,3,21,31,4
Mesa,3,22,13,4
Mesa,3,23,79,4
Mesa,3,24,100,4
Mesa,3,25,100,4
Mesa,3,26,99,4
Mesa,3,27,52,4
Mesa,3,28,100,5
Mesa,3,29,100,5
Mesa,3,30,99,5
Mesa,3,31,100,5
Mesa,3,32,100,5
Mesa,3,33,100,5
Mesa,3,34,99,5
Mesa,3,35,99,6
Mesa,3,36,100,6
Mesa,3,37,100,6
Mesa,3,38,100,6
Mesa,3,39,100,6
Mesa,3,40,100,7
Mesa,3,41,100,7
Mesa,3,42,100,7
Mesa,3,43,99,7
Mesa,3,44,99,7
Mesa,3,45,100,7
Mesa,3,46,100,7
Mesa,3,47,100,8
Mesa,3,48,99,8
Mesa,3,49,100,8
Mesa,3,50,100,8
Mesa,3,51,42,8
Mesa,3,52,100,8
Mesa,3,53,100,8
Mesa,3,54,100,9
Mesa,3,55,100,9
Mesa,3,56,98,9
Mesa,3,57,99,9
Mesa,3,58,100,9
Mesa,3,59,99,9
Mesa,3,60,100,9
Mesa,3,61,100,10
Mesa,3,62,100,10
Mesa,3,63,100,10
Mesa,3,64,100,10
Mesa,3,65,100,10
Mesa,3,66,100,10
Mesa,3,67,100,10
Mesa,3,68,99,11
Mesa,3,69,100,11
Mesa,3,70,100,11
Mesa,3,71,100,11
Mesa,3,72,100,11
Mesa,3,73,100,11
Mesa,3,74,99,11
Mesa,3,75,100,12
Mesa,3,76,100,12
Mesa,3,77,100,12
Mesa,3,78,100,12
Mesa,3,79,100,12
Mesa,3,80,100,12
Mesa,3,81,99,12
Mesa,3,82,98,13
Mesa,3,83,99,13
Mesa,3,84,100,13
Mesa,3,85,97,13
Mesa,3,86,100,13
Mesa,3,87,100,13
Mesa,3,88,78,13
Mesa,3,89,100,14
Mesa,3,90,83,14
Mesa,3,91,100,14
Mesa,3,92,100,14
Mesa,3,93,100,14
Mesa,3,94,92,14
Mesa,3,95,74,14
Mesa,3,96,99,15
Mesa,3,97,100,15
Mesa,3,98,100,15
Mesa,3,99,54,15
Mesa,3,100,100,15
Mesa,3,101,100,15
Mesa,3,102,78,15
Mesa,3,103,35,15
Mesa,4,1,98,1
Mesa,4,2,100,1
Mesa,4,3,99,1
Mesa,4,4,97,1
Mesa,4,5,99,1
Mesa,4,6,96,1
Mesa,4,7,100,1
Mesa,4,8,100,2
Mesa,4,9,100,2
Mesa,4,10,100,2
Mesa,4,11,100,2
Mesa,4,12,100,2
Mesa,4,13,100,3
Mesa,4,14,99,3
Mesa,4,15,97,3
Mesa,4,16,52,3
Mesa,4,17,99,3
Mesa,4,18,100,3
Mesa,4,19,100,4
Mesa,4,20,100,4
Mesa,4,21,100,4
Mesa,4,22,99,4
Mesa,4,23,100,4
Mesa,4,24,100,4
Mesa,4,25,100,5
Mesa,4,26,100,5
Mesa,4,27,100,5
Mesa,4,28,100,5
Mesa,4,29,100,5
Mesa,4,30,99,5
Mesa,4,31,100,6
Mesa,4,32,100,6
Mesa,4,33,100,6
Mesa,4,34,100,6
Mesa,4,35,100,6
Mesa,4,36,100,6
Mesa,4,37,100,7
Mesa,4,38,100,7
Mesa,4,39,100,7
Mesa,4,40,100,7
Mesa,4,41,100,7
Mesa,4,42,100,7
Mesa,4,43,100,8
Mesa,4,44,100,8
Mesa,4,45,100,8
Mesa,4,46,100,8
Mesa,4,47,100,8
Mesa,4,48,98,8
Mesa,4,49,100,9
Mesa,4,50,100,9
Mesa,4,51,100,9
Mesa,4,52,99,9
Mesa,4,53,38,9
Mesa,4,54,100,9
Mesa,4,55,100,10
Mesa,4,56,100,10
Mesa,4,57,99,10
Mesa,4,58,100,10
Mesa,4,59,47,10
Mesa,4,60,52,11
Mesa,4,61,100,11
Mesa,4,62,100,11
Mesa,4,63,100,11
Mesa,4,64,99,11
Mesa,4,65,100,11
Mesa,4,66,100,11
Mesa,4,67,100,12
Mesa,4,68,100,12
Mesa,4,69,100,12
Mesa,4,70,98,12
Mesa,4,71,98,12
Mesa,4,72,99,13
Mesa,4,73,100,13
Mesa,4,74,100,13
Mesa,4,75,95,13
Mesa,4,76,98,13
Mesa,4,77,30,13
Mesa,4,78,100,13
Mesa,4,79,99,14
Mesa,4,80,72,14
Mesa,4,81,79,14
Mesa,4,82,100,14
Mesa,4,83,99,14
Mesa,4,84,100,14
Mesa,4,85,99,14
Mesa,4,86,99,15
Mesa,4,87,72,15
Mesa,4,88,95,15
Mesa,4,89,98,15
Mesa,4,90,99,15
Mesa,4,91,100,15
Mesa,4,92,98,15
Mesa,4,93,100,16
Mesa,4,94,99,16
Mesa,4,95,99,16
Mesa,4,96,100,16
Mesa,4,97,100,16
Mesa,4,98,100,16
Mesa,4,99,100,17
Mesa,4,100,100,17
Mesa,4,101,98,17
Mesa,4,102,100,17
Mesa,4,103,100,17
Mesa,4,104,100,17
Mesa,4,105,100,18
Mesa,4,106,93,18
Mesa,4,107,100,18
Mesa,4,108,100,18
Mesa,4,109,100,18
Mesa,4,110,100,18
Mesa,4,111,98,19
Mesa,4,112,99,19
Mesa,4,113,100,19
Mesa,4,114,99,19
Mesa,4,115,88,19
Mesa,4,116,43,19
Mesa,4,117,15,19
Mesa,4,118,100,19
Mesa,4,119,99,19
Mesa,4,120,100,19
Mesa,4,121,100,19
Mesa,4,122,100,19
Mesa,4,123,100,19
Mesa,4,124,100,19
Mesa,4,125,99,20
Mesa,4,126,100,20
Mesa,4,127,100,20
Mesa,4,128,100,20
Mesa,4,129,100,20
Mesa,4,130,100,20
Mesa,4,131,99,21
Mesa,4,132,100,21
Mesa,4,133,100,21
Mesa,4,134,100,21
Mesa,4,135,100,21
Mesa,4,136,100,21
Mesa,4,137,100,21
Mesa,4,138,98,22
Mesa,4,139,100,22
Mesa,4,140,100,22
Mesa,4,141,99,22
Mesa,4,142,100,22
Mesa,4,143,100,22
Mesa,4,144,100,22
Mesa,4,145,100,23
Mesa,4,146,99,23
Mesa,4,147,100,23
Mesa,4,148,100,23
Mesa,4,149,100,23
Mesa,4,150,100,23
Mesa,4,151,100,23
Mesa,4,152,54,24
Mesa,4,153,70,24
Mesa,4,154,100,24
Mesa,4,155,97,24
Mesa,4,156,100,24
Mesa,4,157,100,24
Mesa,4,158,99,24
Mesa,4,159,91,24
Mesa,4,160,100,25
Mesa,4,161,100,25
Mesa,4,162,77,25
Mesa,4,163,100,25
Mesa,4,164,80,25
Mesa,4,165,100,25
Mesa,4,166,100,25
Mesa,4,167,99,26
Mesa,4,168,100,26
Mesa,4,169,100,26
Mesa,4,170,100,26
Mesa,4,171,75,26
Mesa,4,172,96,26
Mesa,4,173,98,26
Mesa,4,174,98,27
Mesa,4,175,88,27
Mesa,4,176,100,27
Mesa,4,177,100,27
Mesa,4,178,99,27
Mesa,4,179,100,27
Mesa,4,180,3,28
