name,filename,type,approx_count,size,status,timestamp,computed_hash,submitted_hash
Phillips,cvr.csv,manifest,1295,81539,FAILED,2020-07-09 10:43:37.5,552841C672662F38AEDC2979A2751EDC86644672CB7DF09204C155F0492B73C3,552841C672662F38AEDC2979A2751EDC86644672CB7DF09204C155F0492B73C3
Las Animas,CVR_Export_20200709105340.csv,manifest,4072,248919,FAILED,2020-07-09 12:08:35.067,57AD9A0BD7B912DB0779A8AEE78DB6C57A94F3D66C5E067D68E8F605041B8681,57AD9A0BD7B912DB0779A8AEE78DB6C57A94F3D66C5E067D68E8F605041B8681
Las Animas,Modified CVR.csv,manifest,4072,248919,FAILED,2020-07-09 12:10:20.636,57AD9A0BD7B912DB0779A8AEE78DB6C57A94F3D66C5E067D68E8F605041B8681,57AD9A0BD7B912DB0779A8AEE78DB6C57A94F3D66C5E067D68E8F605041B8681
Las Animas,Modified CVR.csv,manifest,4072,248919,FAILED,2020-07-09 12:13:45.932,57AD9A0BD7B912DB0779A8AEE78DB6C57A94F3D66C5E067D68E8F605041B8681,57AD9A0BD7B912DB0779A8AEE78DB6C57A94F3D66C5E067D68E8F605041B8681
Hinsdale,Modified_CVR_Export_20200630202455.xlsx,manifest,211,40995,FAILED,2020-07-09 12:30:34.189,30D38DDA92A72E64CC68CF7A7A93144CEAF95A85D59B7A15B3611911C82F4D51,30D38DDA92A72E64CC68CF7A7A93144CEAF95A85D59B7A15B3611911C82F4D51
Hinsdale,Modified_CVR_Export_20200630202455.xlsx,manifest,211,40995,FAILED,2020-07-09 12:32:00.016,30D38DDA92A72E64CC68CF7A7A93144CEAF95A85D59B7A15B3611911C82F4D51,30D38DDA92A72E64CC68CF7A7A93144CEAF95A85D59B7A15B3611911C82F4D51
Moffat,Colorado Export by Portion.csv,manifest,25,3903,FAILED,2020-07-09 13:52:34.999,83A1EADA4A0B918837D86B9EDBDD29E9D710335011402EB291E5EB2DE11F6F28,83A1EADA4A0B918837D86B9EDBDD29E9D710335011402EB291E5EB2DE11F6F28
Moffat,Colorado Export by Portion.csv,manifest,25,3903,FAILED,2020-07-09 13:55:48.534,83A1EADA4A0B918837D86B9EDBDD29E9D710335011402EB291E5EB2DE11F6F28,83A1EADA4A0B918837D86B9EDBDD29E9D710335011402EB291E5EB2DE11F6F28
Moffat,Colorado Export by Portion.csv,manifest,25,3903,FAILED,2020-07-09 13:57:49.404,83A1EADA4A0B918837D86B9EDBDD29E9D710335011402EB291E5EB2DE11F6F28,83A1EADA4A0B918837D86B9EDBDD29E9D710335011402EB291E5EB2DE11F6F28
Moffat,Colorado Export by Portion.csv,manifest,25,3903,FAILED,2020-07-09 14:00:34.674,83A1EADA4A0B918837D86B9EDBDD29E9D710335011402EB291E5EB2DE11F6F28,83A1EADA4A0B918837D86B9EDBDD29E9D710335011402EB291E5EB2DE11F6F28
Moffat,CVR_Export_20200709140053.csv,manifest,3716,262269,FAILED,2020-07-09 14:10:15.905,A1087B7349BE19DB8865416BE3CEE0B7B210F6323448F994C5697570D609CD33,A1087B7349BE19DB8865416BE3CEE0B7B210F6323448F994C5697570D609CD33
Adams,Adams_CVR_Export_20200709150034.csv,manifest,100676,20097061,FAILED,2020-07-09 15:15:01.249,8873C1488D174884208430AC893B8F54C5CC31CEB1AAAA9E6BA9A9B5A1C82BFF,8873C1488D174884208430AC893B8F54C5CC31CEB1AAAA9E6BA9A9B5A1C82BFF
Hinsdale,2020 Primary Hinsdale Ballot Manifest.csv,manifest,17,390,HASH_MISMATCH,2020-07-09 08:18:09.461,CC5A86419A170BC037F0789EBB07E7A8252F1A436124B8826E730BFF30885FEF,EEA6904621E7469DCC0A331E885FB8D78F464AF6AB3118760AD99AFA360F2B0F
Hinsdale,2020 Primary Hinsdale Ballot Manifest.csv,manifest,17,390,HASH_MISMATCH,2020-07-09 08:18:52.655,CC5A86419A170BC037F0789EBB07E7A8252F1A436124B8826E730BFF30885FEF,EEA6904621E7469DCC0A331E885FB8D78F464AF6AB3118760AD99AFA360F2B0F
Hinsdale,CVR_Export_20200630202455.csv,manifest,376,46925,HASH_MISMATCH,2020-07-09 08:20:09.218,91BA3B7D3B9EBC95AF40419942069CB87DB49DD7F7362CF5CA0B7C46299FA859,DABB3AF54E712F9145A945DFE2356DEF69099D9FE1B9BDA92C4DF831576B56A3
Hinsdale,2020 Primary Hinsdale Ballot Manifest.csv,manifest,17,390,HASH_MISMATCH,2020-07-09 08:31:01.983,CC5A86419A170BC037F0789EBB07E7A8252F1A436124B8826E730BFF30885FEF,EEA6904621E7469DCC0A331E885FB8D78F464AF6AB3118760AD99AFA360F2B0F
Hinsdale,CVR_Export_20200630202455.csv,manifest,376,46925,HASH_MISMATCH,2020-07-09 08:49:37.514,91BA3B7D3B9EBC95AF40419942069CB87DB49DD7F7362CF5CA0B7C46299FA859,DABB3AF54E712F9145A945DFE2356DEF69099D9FE1B9BDA92C4DF831576B56A3
