County,Tabulator,Batch,# of Ballots,Location
Archuleta,2,1,25,1
Archuleta,2,2,23,1
Archuleta,2,3,25,1
Archuleta,2,4,21,1
Archuleta,2,5,19,1
Archuleta,2,6,25,1
Archuleta,2,7,11,1
Archuleta,2,8,25,1
Archuleta,2,9,25,1
Archuleta,2,10,20,1
Archuleta,2,11,1,1
Archuleta,2,12,1,1
Archuleta,2,13,27,1
Archuleta,2,14,25,1
Archuleta,2,15,25,1
Archuleta,2,16,23,1
Archuleta,2,17,25,1
Archuleta,2,18,24,1
Archuleta,2,19,5,1
Archuleta,2,20,21,1
Archuleta,2,21,24,1
Archuleta,2,22,24,1
Archuleta,2,23,25,1
Archuleta,2,24,25,1
Archuleta,2,25,26,1
Archuleta,2,26,25,1
Archuleta,2,27,25,1
Archuleta,2,28,8,1
Archuleta,2,29,21,1
Archuleta,2,30,25,1
Archuleta,2,31,12,1
Archuleta,2,32,25,1
Archuleta,2,33,24,1
Archuleta,2,34,24,1
Archuleta,2,35,25,1
Archuleta,2,36,28,1
Archuleta,2,37,25,1
Archuleta,2,38,11,1
Archuleta,2,39,25,1
Archuleta,2,40,25,1
Archuleta,2,41,25,1
Archuleta,2,42,24,1
Archuleta,2,43,26,1
Archuleta,2,44,22,1
Archuleta,2,45,25,1
Archuleta,2,46,24,1
Archuleta,2,47,25,1
Archuleta,2,48,24,1
Archuleta,2,49,15,1
Archuleta,2,50,25,1
Archuleta,2,51,25,1
Archuleta,2,52,25,1
Archuleta,2,53,25,1
Archuleta,2,54,17,1
Archuleta,2,55,6,1
Archuleta,2,56,25,1
Archuleta,2,57,25,1
Archuleta,2,58,25,1
Archuleta,2,59,23,1
Archuleta,2,60,25,1
Archuleta,2,61,20,1
Archuleta,2,62,25,1
Archuleta,2,63,11,1
Archuleta,2,64,25,1
Archuleta,2,65,25,1
Archuleta,2,66,9,1
Archuleta,2,67,24,1
Archuleta,2,68,25,1
Archuleta,2,69,25,1
Archuleta,2,70,23,1
Archuleta,2,71,25,1
Archuleta,2,72,11,1
Archuleta,2,73,25,1
Archuleta,2,74,25,1
Archuleta,2,75,24,1
Archuleta,2,76,17,1
Archuleta,2,77,13,1
Archuleta,2,78,26,1
Archuleta,2,79,25,1
Archuleta,2,80,25,1
Archuleta,2,81,27,1
Archuleta,2,82,20,1
Archuleta,2,83,24,1
Archuleta,2,84,7,1
Archuleta,2,85,25,1
Archuleta,2,86,25,1
Archuleta,2,87,23,1
Archuleta,2,88,13,1
Archuleta,2,89,25,1
Archuleta,2,90,22,1
Archuleta,2,91,24,1
Archuleta,2,92,25,1
Archuleta,2,93,23,1
Archuleta,2,94,8,1
Archuleta,2,95,25,1
Archuleta,2,96,11,1
Archuleta,2,97,17,1
Archuleta,2,98,17,1
Archuleta,2,99,17,1
Archuleta,2,100,25,1
Archuleta,2,101,25,1
Archuleta,2,102,25,1
Archuleta,2,103,25,1
Archuleta,2,104,25,1
Archuleta,2,105,25,1
Archuleta,2,106,25,1
Archuleta,2,107,25,1
Archuleta,2,108,7,1
Archuleta,2,109,26,1
Archuleta,2,110,26,1
Archuleta,2,111,8,1
Archuleta,2,112,25,1
Archuleta,2,113,25,1
Archuleta,2,114,25,1
Archuleta,2,115,25,1
Archuleta,2,116,23,1
Archuleta,2,117,19,1
Archuleta,2,118,25,1
Archuleta,2,119,12,1
Archuleta,2,120,25,1
Archuleta,2,121,25,1
Archuleta,2,122,25,1
Archuleta,2,123,25,1
Archuleta,2,124,24,1
Archuleta,2,125,24,1
Archuleta,2,126,24,1
Archuleta,2,127,9,1
Archuleta,2,128,25,1
Archuleta,2,129,25,1
Archuleta,2,130,24,1
Archuleta,2,131,24,1
Archuleta,2,132,16,1
Archuleta,2,133,25,1
Archuleta,2,134,25,1
Archuleta,2,135,25,1
Archuleta,2,136,25,1
Archuleta,2,137,7,1
Archuleta,2,138,26,1
Archuleta,2,139,25,1
Archuleta,2,140,27,2
Archuleta,2,141,24,2
Archuleta,2,142,25,2
Archuleta,2,143,25,2
Archuleta,2,144,27,2
Archuleta,2,145,24,2
Archuleta,2,146,25,2
Archuleta,2,147,25,2
Archuleta,2,148,25,2
Archuleta,2,149,24,2
Archuleta,2,150,24,2
Archuleta,2,151,27,2
Archuleta,2,152,25,2
Archuleta,2,153,25,2
Archuleta,2,154,18,2
Archuleta,2,155,24,2
Archuleta,2,156,26,2
Archuleta,2,157,25,2
Archuleta,2,158,21,2
Archuleta,2,159,25,2
Archuleta,2,160,25,2
Archuleta,2,161,27,2
Archuleta,2,162,25,2
Archuleta,2,163,25,2
Archuleta,2,164,25,2
Archuleta,2,165,25,2
Archuleta,2,166,24,2
Archuleta,2,167,18,2
Archuleta,2,168,25,2
Archuleta,2,169,13,2
Archuleta,2,170,25,2
Archuleta,2,171,25,2
Archuleta,2,172,25,2
Archuleta,2,173,25,2
Archuleta,2,174,21,2
Archuleta,2,175,25,2
Archuleta,2,176,25,2
Archuleta,2,177,20,2
Archuleta,2,178,26,2
Archuleta,2,179,25,2
Archuleta,2,180,22,2
Archuleta,2,181,25,2
Archuleta,2,182,25,2
Archuleta,2,183,25,2
Archuleta,2,184,14,2
Archuleta,2,185,25,2
Archuleta,2,186,28,2
Archuleta,2,187,25,2
Archuleta,2,188,25,2
Archuleta,2,189,31,2
Archuleta,2,190,25,2
Archuleta,2,191,25,2
Archuleta,2,192,27,2
Archuleta,2,193,25,2
Archuleta,2,194,18,2
Archuleta,2,195,24,2
Archuleta,2,196,26,2
Archuleta,2,197,8,2
Archuleta,2,198,8,2
Archuleta,2,199,9,2
