County,Tabulator ID,Batch,# of Ballot Cards,Location
Broomfield,2,1,25,Box 1
Broomfield,2,2,25,Box 1
Broomfield,2,3,25,Box 1
Broomfield,2,4,25,Box 1
Broomfield,2,5,22,Box 1
Broomfield,2,6,25,Box 1
Broomfield,2,7,25,Box 1
Broomfield,2,8,25,Box 1
Broomfield,2,9,25,Box 1
Broomfield,2,10,25,Box 1
Broomfield,2,11,24,Box 1
Broomfield,2,12,25,Box 1
Broomfield,2,13,25,Box 1
Broomfield,2,14,25,Box 1
Broomfield,2,15,25,Box 1
Broomfield,2,16,25,Box 1
Broomfield,2,17,24,Box 1
Broomfield,2,18,25,Box 1
Broomfield,2,19,25,Box 1
Broomfield,2,20,25,Box 1
Broomfield,2,21,25,Box 1
Broomfield,2,22,25,Box 1
Broomfield,2,23,23,Box 1
Broomfield,2,24,25,Box 1
Broomfield,2,25,25,Box 1
Broomfield,2,26,25,Box 1
Broomfield,2,27,21,Box 1
Broomfield,2,28,25,Box 1
Broomfield,2,29,25,Box 1
Broomfield,2,30,25,Box 1
Broomfield,2,31,23,Box 1
Broomfield,2,32,25,Box 1
Broomfield,2,33,25,Box 1
Broomfield,2,34,25,Box 1
Broomfield,2,35,25,Box 1
Broomfield,2,36,25,Box 2
Broomfield,2,37,25,Box 2
Broomfield,2,38,25,Box 2
Broomfield,2,39,23,Box 2
Broomfield,2,40,25,Box 2
Broomfield,2,41,25,Box 2
Broomfield,2,42,25,Box 2
Broomfield,2,43,25,Box 2
Broomfield,2,44,25,Box 2
Broomfield,2,45,24,Box 2
Broomfield,2,46,25,Box 2
Broomfield,2,47,25,Box 2
Broomfield,2,48,22,Box 2
Broomfield,2,49,25,Box 2
Broomfield,2,50,25,Box 2
Broomfield,2,51,25,Box 2
Broomfield,2,52,24,Box 2
Broomfield,2,53,25,Box 2
Broomfield,2,54,25,Box 2
Broomfield,2,55,25,Box 2
Broomfield,2,56,25,Box 2
Broomfield,2,57,25,Box 2
Broomfield,2,58,25,Box 2
Broomfield,2,59,20,Box 2
Broomfield,2,60,25,Box 2
Broomfield,2,61,25,Box 2
Broomfield,2,62,25,Box 2
Broomfield,2,63,25,Box 2
Broomfield,2,64,23,Box 2
Broomfield,2,65,25,Box 2
Broomfield,2,66,25,Box 2
Broomfield,2,67,25,Box 2
Broomfield,2,68,25,Box 2
Broomfield,2,69,9,Box 2
Broomfield,2,70,24,Box 3
Broomfield,2,71,25,Box 3
Broomfield,2,72,25,Box 3
Broomfield,2,73,26,Box 3
Broomfield,2,74,25,Box 3
Broomfield,2,75,25,Box 3
Broomfield,2,76,25,Box 3
Broomfield,2,77,25,Box 3
Broomfield,2,78,24,Box 3
Broomfield,2,79,25,Box 3
Broomfield,2,80,25,Box 3
Broomfield,2,81,25,Box 3
Broomfield,2,82,26,Box 3
Broomfield,2,83,25,Box 3
Broomfield,2,84,25,Box 3
Broomfield,2,85,25,Box 3
Broomfield,2,86,25,Box 3
Broomfield,2,87,25,Box 3
Broomfield,2,88,25,Box 3
Broomfield,2,89,23,Box 3
Broomfield,2,90,23,Box 3
Broomfield,2,91,25,Box 3
Broomfield,2,92,25,Box 3
Broomfield,2,93,25,Box 3
Broomfield,2,94,24,Box 3
Broomfield,2,95,25,Box 3
Broomfield,2,96,25,Box 3
Broomfield,2,97,25,Box 3
Broomfield,2,98,10,Box 3
Broomfield,2,99,25,Box 3
Broomfield,2,100,25,Box 3
Broomfield,2,101,26,Box 3
Broomfield,2,102,25,Box 3
Broomfield,2,103,25,Box 3
Broomfield,2,104,25,Box 3
Broomfield,2,105,25,Box 3
Broomfield,2,106,27,Box 3
Broomfield,2,107,25,Box 3
Broomfield,2,108,25,Box 4
Broomfield,2,109,25,Box 4
Broomfield,2,110,25,Box 4
Broomfield,2,111,24,Box 4
Broomfield,2,112,25,Box 4
Broomfield,2,113,25,Box 4
Broomfield,2,114,25,Box 4
Broomfield,2,115,25,Box 4
Broomfield,2,116,25,Box 4
Broomfield,2,117,34,Box 4
Broomfield,2,118,25,Box 4
Broomfield,2,119,25,Box 4
Broomfield,2,120,25,Box 4
Broomfield,2,121,24,Box 4
Broomfield,2,122,21,Box 4
Broomfield,2,123,25,Box 4
Broomfield,2,124,25,Box 4
Broomfield,2,125,25,Box 4
Broomfield,2,126,24,Box 4
Broomfield,2,127,25,Box 4
Broomfield,2,128,25,Box 4
Broomfield,2,129,25,Box 4
Broomfield,2,130,25,Box 4
Broomfield,2,131,25,Box 4
Broomfield,2,132,25,Box 4
Broomfield,2,133,25,Box 4
Broomfield,2,134,25,Box 4
Broomfield,2,135,25,Box 4
Broomfield,2,136,25,Box 4
Broomfield,2,137,25,Box 4
Broomfield,2,138,25,Box 4
Broomfield,2,139,25,Box 4
Broomfield,2,140,25,Box 4
Broomfield,2,141,25,Box 4
Broomfield,2,142,25,Box 5
Broomfield,2,143,25,Box 5
Broomfield,2,144,25,Box 5
Broomfield,2,145,25,Box 5
Broomfield,2,146,25,Box 5
Broomfield,2,147,25,Box 5
Broomfield,2,148,25,Box 5
Broomfield,2,149,25,Box 5
Broomfield,2,150,25,Box 5
Broomfield,2,151,25,Box 5
Broomfield,2,152,25,Box 5
Broomfield,2,153,25,Box 5
Broomfield,2,154,25,Box 5
Broomfield,2,155,25,Box 5
Broomfield,2,156,25,Box 5
Broomfield,2,157,25,Box 5
Broomfield,2,158,24,Box 5
Broomfield,2,159,25,Box 5
Broomfield,2,160,25,Box 5
Broomfield,2,161,25,Box 5
Broomfield,2,162,25,Box 5
Broomfield,2,163,25,Box 5
Broomfield,2,164,25,Box 5
Broomfield,2,165,25,Box 5
Broomfield,2,166,24,Box 5
Broomfield,2,167,25,Box 5
Broomfield,2,168,25,Box 5
Broomfield,2,169,25,Box 5
Broomfield,2,170,24,Box 5
Broomfield,2,171,25,Box 5
Broomfield,2,172,25,Box 5
Broomfield,2,173,25,Box 5
Broomfield,2,174,24,Box 6
Broomfield,2,175,25,Box 6
Broomfield,2,176,25,Box 6
Broomfield,2,177,25,Box 6
Broomfield,2,178,25,Box 6
Broomfield,2,179,25,Box 6
Broomfield,2,180,25,Box 6
Broomfield,2,181,23,Box 6
Broomfield,2,182,26,Box 6
Broomfield,2,183,33,Box 6
Broomfield,2,184,37,Box 6
Broomfield,2,185,76,Box 6
Broomfield,2,186,23,Box 6
Broomfield,2,187,25,Box 6
Broomfield,2,188,25,Box 6
Broomfield,2,189,25,Box 6
Broomfield,2,190,24,Box 6
Broomfield,2,191,25,Box 6
Broomfield,2,192,25,Box 6
Broomfield,2,193,25,Box 6
Broomfield,2,194,20,Box 6
Broomfield,2,195,25,Box 6
Broomfield,2,196,25,Box 6
Broomfield,2,197,25,Box 6
Broomfield,2,198,24,Box 6
Broomfield,2,199,25,Box 6
Broomfield,2,200,25,Box 6
Broomfield,2,201,25,Box 6
Broomfield,2,202,25,Box 6
Broomfield,2,203,25,Box 6
Broomfield,2,204,25,Box 6
Broomfield,2,205,22,Box 6
Broomfield,2,206,25,Box 7
Broomfield,2,207,25,Box 7
Broomfield,2,208,25,Box 7
Broomfield,2,209,23,Box 7
Broomfield,2,210,25,Box 7
Broomfield,2,211,25,Box 7
Broomfield,2,212,25,Box 7
Broomfield,2,213,22,Box 7
Broomfield,2,214,15,Box 7
Broomfield,2,215,23,Box 7
Broomfield,2,216,25,Box 7
Broomfield,2,217,25,Box 7
Broomfield,2,218,25,Box 7
Broomfield,2,219,25,Box 7
Broomfield,2,220,25,Box 7
Broomfield,2,221,21,Box 7
Broomfield,2,222,22,Box 7
Broomfield,2,223,25,Box 7
Broomfield,2,224,25,Box 7
Broomfield,2,225,25,Box 7
Broomfield,2,226,25,Box 7
Broomfield,2,227,25,Box 7
Broomfield,2,228,25,Box 7
Broomfield,2,229,25,Box 7
Broomfield,2,230,24,Box 7
Broomfield,2,231,25,Box 7
Broomfield,2,232,25,Box 7
Broomfield,2,233,25,Box 7
Broomfield,2,234,23,Box 7
Broomfield,2,235,25,Box 7
Broomfield,2,236,25,Box 7
Broomfield,2,237,25,Box 7
Broomfield,2,238,25,Box 7
Broomfield,2,239,25,Box 7
Broomfield,2,240,25,Box 7
Broomfield,2,241,24,Box 7
Broomfield,2,242,25,Box 8
Broomfield,2,243,25,Box 8
Broomfield,2,244,25,Box 8
Broomfield,2,245,25,Box 8
Broomfield,2,246,25,Box 8
Broomfield,2,247,25,Box 8
Broomfield,2,248,25,Box 8
Broomfield,2,249,25,Box 8
Broomfield,2,250,25,Box 8
Broomfield,2,251,25,Box 8
Broomfield,2,252,25,Box 8
Broomfield,2,253,24,Box 8
Broomfield,2,254,24,Box 8
Broomfield,2,255,25,Box 8
Broomfield,2,256,25,Box 8
Broomfield,2,257,25,Box 8
Broomfield,2,258,25,Box 8
Broomfield,2,259,25,Box 8
Broomfield,2,260,25,Box 8
Broomfield,2,261,25,Box 8
Broomfield,2,262,25,Box 8
Broomfield,2,263,25,Box 8
Broomfield,2,264,19,Box 8
Broomfield,2,265,25,Box 8
Broomfield,2,266,25,Box 8
Broomfield,2,267,25,Box 8
Broomfield,2,268,25,Box 8
Broomfield,2,269,27,Box 8
Broomfield,2,270,25,Box 8
Broomfield,2,271,25,Box 8
Broomfield,2,272,25,Box 8
Broomfield,2,273,25,Box 8
Broomfield,2,274,25,Box 9
Broomfield,2,275,25,Box 9
Broomfield,2,276,25,Box 9
Broomfield,2,277,25,Box 9
Broomfield,2,278,25,Box 9
Broomfield,2,279,25,Box 9
Broomfield,2,280,25,Box 9
Broomfield,2,281,25,Box 9
Broomfield,2,282,23,Box 9
Broomfield,2,283,25,Box 9
Broomfield,2,284,25,Box 9
Broomfield,2,285,25,Box 9
Broomfield,2,286,25,Box 9
Broomfield,2,287,25,Box 9
Broomfield,2,288,25,Box 9
Broomfield,2,289,25,Box 9
Broomfield,2,290,25,Box 9
Broomfield,2,291,25,Box 9
Broomfield,2,292,25,Box 9
Broomfield,2,293,24,Box 9
Broomfield,2,294,25,Box 9
Broomfield,2,295,25,Box 9
Broomfield,2,296,25,Box 9
Broomfield,2,297,25,Box 9
Broomfield,2,298,33,Box 9
Broomfield,2,299,25,Box 9
Broomfield,2,300,25,Box 9
Broomfield,2,301,25,Box 9
Broomfield,2,302,23,Box 9
Broomfield,2,303,25,Box 9
Broomfield,2,304,24,Box 9
Broomfield,2,305,25,Box 9
Broomfield,2,306,23,Box 9
Broomfield,2,307,23,Box 10
Broomfield,2,308,25,Box 10
Broomfield,2,309,25,Box 10
Broomfield,2,310,25,Box 10
Broomfield,2,311,25,Box 10
Broomfield,2,312,25,Box 10
Broomfield,2,313,25,Box 10
Broomfield,2,314,25,Box 10
Broomfield,2,315,2,Box 10
Broomfield,2,316,25,Box 10
Broomfield,2,317,25,Box 10
Broomfield,2,318,25,Box 10
Broomfield,2,319,25,Box 10
Broomfield,2,320,34,Box 10
Broomfield,2,321,25,Box 10
Broomfield,2,322,25,Box 10
Broomfield,2,323,23,Box 10
Broomfield,2,324,25,Box 10
Broomfield,2,325,25,Box 10
Broomfield,2,326,25,Box 10
Broomfield,2,327,25,Box 10
Broomfield,2,328,25,Box 10
Broomfield,2,329,25,Box 10
Broomfield,2,330,25,Box 10
Broomfield,2,331,25,Box 10
Broomfield,2,332,25,Box 10
Broomfield,2,333,25,Box 10
Broomfield,2,334,25,Box 10
Broomfield,2,335,25,Box 10
Broomfield,2,336,25,Box 10
Broomfield,2,337,25,Box 10
Broomfield,2,338,25,Box 10
Broomfield,2,339,25,Box 10
Broomfield,2,340,25,Box 10
Broomfield,2,341,25,Box 10
Broomfield,2,342,25,Box 10
Broomfield,2,343,25,Box 11
Broomfield,2,344,25,Box 11
Broomfield,2,345,25,Box 11
Broomfield,2,346,25,Box 11
Broomfield,2,347,24,Box 11
Broomfield,2,348,25,Box 11
Broomfield,2,349,25,Box 11
Broomfield,2,350,25,Box 11
Broomfield,2,351,22,Box 11
Broomfield,2,352,25,Box 11
Broomfield,2,353,24,Box 11
Broomfield,2,354,25,Box 11
Broomfield,2,355,32,Box 11
Broomfield,2,356,25,Box 11
Broomfield,2,357,25,Box 11
Broomfield,2,358,25,Box 11
Broomfield,2,359,25,Box 11
Broomfield,2,360,25,Box 11
Broomfield,2,361,25,Box 11
Broomfield,2,362,25,Box 11
Broomfield,2,363,25,Box 11
Broomfield,2,364,22,Box 11
Broomfield,2,365,25,Box 11
Broomfield,2,366,25,Box 11
Broomfield,2,367,25,Box 11
Broomfield,2,368,25,Box 11
Broomfield,2,369,25,Box 11
Broomfield,2,370,25,Box 11
Broomfield,2,371,22,Box 11
Broomfield,2,372,23,Box 11
Broomfield,2,373,25,Box 11
Broomfield,2,374,25,Box 11
Broomfield,2,375,25,Box 11
Broomfield,2,376,24,Box 12
Broomfield,2,377,25,Box 12
Broomfield,2,378,25,Box 12
Broomfield,2,379,25,Box 12
Broomfield,2,380,25,Box 12
Broomfield,2,381,25,Box 12
Broomfield,2,382,25,Box 12
Broomfield,2,383,24,Box 12
Broomfield,2,384,23,Box 12
Broomfield,2,385,25,Box 12
Broomfield,2,386,25,Box 12
Broomfield,2,387,25,Box 12
Broomfield,2,388,25,Box 12
Broomfield,2,389,25,Box 12
Broomfield,2,390,34,Box 12
Broomfield,2,391,22,Box 12
Broomfield,2,392,25,Box 12
Broomfield,2,393,25,Box 12
Broomfield,2,394,25,Box 12
Broomfield,2,395,25,Box 12
Broomfield,2,396,25,Box 12
Broomfield,2,397,25,Box 12
Broomfield,2,398,25,Box 12
Broomfield,2,399,21,Box 12
Broomfield,2,400,25,Box 12
Broomfield,2,401,25,Box 12
Broomfield,2,402,25,Box 12
Broomfield,2,403,20,Box 12
Broomfield,2,404,15,Box 12
Broomfield,2,405,25,Box 12
Broomfield,2,406,25,Box 12
Broomfield,2,407,25,Box 12
Broomfield,2,408,25,Box 12
Broomfield,2,409,25,Box 13
Broomfield,2,410,25,Box 13
Broomfield,2,411,25,Box 13
Broomfield,2,412,24,Box 13
Broomfield,2,413,21,Box 13
Broomfield,2,414,25,Box 13
Broomfield,2,415,25,Box 13
Broomfield,2,416,25,Box 13
Broomfield,2,417,16,Box 13
Broomfield,2,418,25,Box 13
Broomfield,2,419,25,Box 13
Broomfield,2,420,25,Box 13
Broomfield,2,421,35,Box 13
Broomfield,2,422,25,Box 13
Broomfield,2,423,22,Box 13
Broomfield,2,424,25,Box 13
Broomfield,2,425,25,Box 13
Broomfield,2,426,25,Box 13
Broomfield,2,427,25,Box 13
Broomfield,2,428,25,Box 13
Broomfield,2,429,25,Box 13
Broomfield,2,430,25,Box 13
Broomfield,2,431,24,Box 13
Broomfield,2,432,24,Box 13
Broomfield,2,433,25,Box 13
