County,Tabulator ID,Batch,# of Ballot Cards,Location
Cheyenne,4,1,25,Red Bag
Cheyenne,4,2,25,Red Bag
Cheyenne,4,3,25,Red Bag
Cheyenne,4,4,25,Red Bag
Cheyenne,4,5,25,Red Bag
Cheyenne,4,6,25,Red Bag
Cheyenne,4,7,25,Red Bag
Cheyenne,4,8,25,Red Bag
Cheyenne,4,9,25,Red Bag
Cheyenne,4,10,25,Red Bag
Cheyenne,4,11,25,Red Bag
Cheyenne,4,12,25,Red Bag
Cheyenne,4,13,25,Red Bag
Cheyenne,4,14,25,Red Bag
Cheyenne,4,15,25,Red Bag
Cheyenne,4,16,25,Red Bag
Cheyenne,4,17,25,Red Bag
Cheyenne,4,18,25,Red Bag
Cheyenne,4,19,25,Red Bag
Cheyenne,4,20,25,Red Bag
Cheyenne,4,21,25,Red Bag
Cheyenne,4,22,25,Red Bag
Cheyenne,4,23,25,Red Bag
Cheyenne,4,24,25,Red Bag
Cheyenne,4,25,24,Red Bag
Cheyenne,4,26,28,Red Bag
