County,Tabulator ID,Batch,# of Ballot Cards,Location
Costilla,3,1,25,Bin 1
Costilla,3,2,25,Bin 1
Costilla,3,3,25,Bin 1
Costilla,3,4,25,Bin 1
Costilla,3,5,25,Bin 1
Costilla,3,6,25,Bin 1
Costilla,3,7,25,Bin 1
Costilla,3,8,25,Bin 1
Costilla,3,9,25,Bin 1
Costilla,3,10,25,Bin 1
Costilla,3,11,25,Bin 1
Costilla,3,12,25,Bin 1
Costilla,3,13,25,Bin 1
Costilla,3,14,25,Bin 1
Costilla,3,15,25,Bin 1
Costilla,3,16,25,Bin 1
Costilla,3,17,25,Bin 1
Costilla,3,18,25,Bin 1
Costilla,3,19,25,Bin 1
Costilla,3,20,25,Bin 1
Costilla,3,21,25,Bin 1
Costilla,3,22,25,Bin 1
Costilla,3,23,25,Bin 1
Costilla,3,24,25,Bin 1
Costilla,3,25,25,Bin 1
Costilla,3,26,25,Bin 1
Costilla,3,27,25,Bin 1
Costilla,3,28,25,Bin 1
Costilla,3,29,25,Bin 1
Costilla,3,30,25,Bin 1
Costilla,3,31,25,Bin 1
Costilla,3,32,25,Bin 1
Costilla,3,33,25,Bin 1
Costilla,3,34,25,Bin 1
Costilla,3,35,25,Bin 1
Costilla,3,36,25,Bin 1
Costilla,3,37,25,Bin 1
Costilla,3,38,25,Bin 1
Costilla,3,39,25,Bin 1
Costilla,3,40,25,Bin 1
Costilla,3,41,25,Bin 1
Costilla,3,42,25,Bin 1
Costilla,3,43,25,Bin 1
Costilla,3,44,25,Bin 1
Costilla,3,45,25,Bin 1
Costilla,3,46,25,Bin 1
Costilla,3,47,23,Bin 1
Costilla,3,48,31,Bin 1
