County,Tabulator ID,Batch ,# Ballot Cards,Location
Eagle,1,1,50,1
Eagle,1,2,48,1
Eagle,1,3,47,1
Eagle,1,4,49,1
Eagle,1,5,48,1
Eagle,1,6,48,1
Eagle,1,7,50,1
Eagle,1,8,47,1
Eagle,1,9,47,1
Eagle,1,10,50,1
Eagle,1,11,49,1
Eagle,1,12,49,1
Eagle,1,13,49,1
Eagle,1,14,50,1
Eagle,1,15,50,1
Eagle,1,16,49,2
Eagle,1,17,50,2
Eagle,1,18,47,2
Eagle,1,19,50,2
Eagle,1,20,50,2
Eagle,1,21,50,2
Eagle,1,22,47,2
Eagle,1,23,50,2
Eagle,1,24,48,2
Eagle,1,25,48,2
Eagle,1,26,49,2
Eagle,1,27,49,2
Eagle,1,28,50,2
Eagle,1,29,47,2
Eagle,1,30,49,2
Eagle,1,31,47,3
Eagle,1,32,49,3
Eagle,1,33,50,3
Eagle,1,34,49,3
Eagle,1,35,49,3
Eagle,1,36,48,3
Eagle,1,37,48,3
Eagle,1,38,48,3
Eagle,1,39,48,3
Eagle,1,40,50,3
Eagle,1,41,36,3
Eagle,1,42,50,3
Eagle,1,43,50,3
Eagle,1,44,47,3
Eagle,1,45,50,3
Eagle,1,46,50,3
Eagle,1,47,49,4
Eagle,1,48,50,4
Eagle,1,49,49,4
Eagle,1,50,47,4
Eagle,1,51,48,4
Eagle,1,52,48,4
Eagle,1,53,49,4
Eagle,1,54,48,4
Eagle,1,55,49,4
Eagle,1,56,46,4
Eagle,1,57,45,4
Eagle,1,58,47,4
Eagle,1,59,48,4
Eagle,1,60,50,4
Eagle,1,61,45,4
Eagle,1,62,48,5
Eagle,1,63,50,5
Eagle,1,64,49,5
Eagle,1,65,47,5
Eagle,1,66,49,5
Eagle,1,67,47,5
Eagle,1,68,49,5
Eagle,1,69,50,5
Eagle,1,70,49,5
Eagle,1,71,49,5
Eagle,1,72,49,5
Eagle,1,73,49,5
Eagle,1,74,37,5
Eagle,1,75,49,5
Eagle,1,76,45,6
Eagle,1,77,45,6
Eagle,1,78,47,6
Eagle,1,79,48,6
Eagle,1,80,48,6
Eagle,1,81,47,6
Eagle,1,82,36,6
Eagle,1,83,42,6
Eagle,1,84,48,6
Eagle,1,85,44,6
Eagle,1,86,47,6
Eagle,1,87,43,6
Eagle,1,88,50,6
Eagle,1,89,49,6
Eagle,1,90,49,6
Eagle,1,91,49,6
Eagle,1,92,48,6
Eagle,1,93,50,7
Eagle,1,94,46,7
Eagle,1,95,50,7
Eagle,1,96,49,7
Eagle,1,97,49,7
Eagle,1,98,44,7
Eagle,1,99,40,7
Eagle,1,100,45,7
Eagle,1,101,50,7
Eagle,1,102,50,7
Eagle,1,103,49,7
Eagle,1,104,48,7
Eagle,1,105,48,7
Eagle,1,106,50,7
Eagle,1,107,46,7
Eagle,1,108,46,7
Eagle,1,109,48,7
Eagle,1,110,50,8
Eagle,1,111,47,8
Eagle,1,112,50,8
Eagle,1,113,49,8
Eagle,1,114,41,8
Eagle,1,115,27,8
Eagle,1,116,48,8
Eagle,1,117,44,8
Eagle,1,118,49,8
Eagle,1,119,49,8
Eagle,1,120,23,8
Eagle,1,121,50,8
Eagle,1,122,49,8
Eagle,1,123,36,8
Eagle,1,124,17,8
Eagle,1,125,2,8
Eagle,1,126,37,8
Eagle,1,127,47,9
Eagle,1,128,47,9
Eagle,1,129,49,9
Eagle,1,130,48,9
Eagle,1,131,47,9
Eagle,1,132,50,9
Eagle,1,133,47,9
Eagle,1,134,47,9
Eagle,1,135,47,9
Eagle,1,136,49,9
Eagle,1,137,45,9
Eagle,1,138,29,9
Eagle,1,139,46,9
Eagle,1,140,50,9
Eagle,1,141,50,9
Eagle,1,142,50,9
Eagle,1,143,43,10
Eagle,1,144,48,10
Eagle,1,145,49,10
Eagle,1,146,50,10
Eagle,1,147,35,10
Eagle,1,148,49,10
Eagle,1,149,49,10
Eagle,1,150,49,10
Eagle,1,151,50,10
Eagle,1,152,50,10
Eagle,1,153,50,10
Eagle,1,154,50,10
Eagle,1,155,50,10
Eagle,1,156,28,10
Eagle,1,157,49,10
Eagle,1,158,49,10
Eagle,1,159,45,11
Eagle,1,160,47,11
Eagle,1,161,24,11
Eagle,1,162,50,11
Eagle,1,163,50,11
Eagle,1,164,48,11
Eagle,1,165,49,11
Eagle,1,166,50,11
Eagle,1,167,48,11
Eagle,1,168,48,11
Eagle,1,169,48,11
Eagle,1,170,46,11
Eagle,1,171,46,11
Eagle,1,172,50,11
Eagle,1,173,50,11
Eagle,1,174,50,12
Eagle,1,175,49,12
Eagle,1,176,49,12
Eagle,1,177,50,12
Eagle,1,178,49,12
Eagle,1,179,48,12
Eagle,1,180,49,12
Eagle,1,181,49,12
Eagle,1,182,48,12
Eagle,1,183,49,12
Eagle,1,184,50,12
Eagle,1,185,49,12
Eagle,1,186,49,12
Eagle,1,187,48,12
Eagle,1,188,15,13
Eagle,1,189,47,13
Eagle,1,190,49,13
Eagle,1,191,48,13
Eagle,1,192,42,13
Eagle,1,193,48,13
Eagle,1,194,45,13
Eagle,1,195,47,13
Eagle,1,196,50,13
Eagle,1,197,48,13
Eagle,1,198,47,13
Eagle,1,199,47,13
Eagle,1,200,49,13
Eagle,1,201,50,13
Eagle,1,202,48,13
Eagle,1,203,48,13
Eagle,1,204,47,14
Eagle,1,205,48,14
Eagle,1,206,47,14
Eagle,1,207,47,14
Eagle,1,208,48,14
Eagle,1,209,48,14
Eagle,1,210,47,14
Eagle,1,211,50,14
Eagle,1,212,47,14
Eagle,1,213,46,14
Eagle,1,214,49,14
Eagle,1,215,46,14
Eagle,1,216,48,14
Eagle,1,217,48,14
Eagle,1,218,47,14
Eagle,1,219,49,15
Eagle,1,220,48,15
Eagle,1,221,49,15
Eagle,1,222,47,15
Eagle,1,223,43,15
Eagle,1,224,6,15
Eagle,1,225,47,15
Eagle,1,226,50,15
Eagle,1,227,46,15
Eagle,1,228,49,15
Eagle,1,229,46,15
Eagle,1,230,49,15
Eagle,1,231,48,15
Eagle,1,232,48,15
Eagle,1,233,43,15
Eagle,1,234,49,15
Eagle,1,235,49,16
Eagle,1,236,48,16
Eagle,1,237,48,16
Eagle,1,238,47,16
Eagle,1,239,50,16
Eagle,1,240,48,16
Eagle,1,241,43,16
Eagle,1,242,49,16
Eagle,1,243,48,16
Eagle,1,244,47,16
Eagle,1,245,49,16
Eagle,1,246,45,16
Eagle,1,247,46,16
Eagle,1,248,45,16
Eagle,1,249,37,16
Eagle,1,250,45,16
Eagle,1,251,47,16
Eagle,1,252,41,17
Eagle,1,253,46,17
Eagle,1,254,48,17
Eagle,1,255,48,17
Eagle,1,256,48,17
Eagle,1,257,42,17
Eagle,1,258,47,17
Eagle,1,259,47,17
Eagle,1,260,46,17
Eagle,1,261,45,17
Eagle,1,262,43,17
Eagle,1,263,45,17
Eagle,1,264,48,17
Eagle,1,265,43,17
Eagle,1,266,47,17
Eagle,1,267,45,18
Eagle,1,268,46,18
Eagle,1,269,40,18
Eagle,1,270,44,18
Eagle,1,271,49,18
Eagle,1,272,46,18
Eagle,1,273,38,18
Eagle,1,274,3,18
Eagle,1,275,45,18
Eagle,1,276,46,18
Eagle,1,277,46,18
Eagle,1,278,50,18
Eagle,1,279,50,18
Eagle,1,280,50,18
Eagle,1,281,50,18
Eagle,1,282,48,18
Eagle,1,283,48,19
Eagle,1,284,46,19
Eagle,1,285,49,19
Eagle,1,286,50,19
Eagle,1,287,45,19
Eagle,1,288,50,19
Eagle,1,289,48,19
Eagle,1,290,26,19
Eagle,1,291,48,19
Eagle,1,292,49,19
Eagle,1,293,45,19
Eagle,1,294,48,19
Eagle,1,295,47,19
Eagle,1,296,50,19
Eagle,1,297,13,19
Eagle,1,298,47,19
Eagle,1,299,48,19
Eagle,1,300,8,20
Eagle,1,301,44,20
Eagle,1,302,47,20
Eagle,1,303,49,20
Eagle,1,304,50,20
Eagle,1,305,43,20
Eagle,1,306,11,20
Eagle,1,307,45,20
Eagle,1,308,46,20
Eagle,1,309,46,20
Eagle,1,310,46,20
Eagle,1,311,47,20
Eagle,1,312,48,20
Eagle,1,325,2,21
Eagle,1,326,7,21
Eagle,1,327,47,21
Eagle,1,328,50,21
Eagle,1,329,48,21
Eagle,1,330,47,21
Eagle,1,331,49,21
Eagle,1,332,48,21
Eagle,1,333,47,21
Eagle,1,334,48,21
Eagle,1,335,42,21
Eagle,1,336,45,21
Eagle,1,337,45,21
Eagle,1,338,40,21
Eagle,1,339,45,21
Eagle,1,340,48,21
Eagle,1,341,44,21
Eagle,1,342,49,21
Eagle,1,343,48,22
Eagle,1,344,45,22
Eagle,1,345,44,22
Eagle,1,346,50,22
Eagle,1,347,50,22
Eagle,1,348,47,22
Eagle,1,349,13,22
Eagle,1,350,13,22
Eagle,1,351,50,22
Eagle,1,352,42,22
Eagle,1,353,12,22
Eagle,1,354,4,22
Eagle,1,355,49,22
Eagle,1,356,50,22
Eagle,1,357,16,22
