County,Tabulator ID,Batch,# of Ballot Card,Locations
Hinsdale,2,1,25,Bin #1
Hinsdale,2,2,25,Bin #1
Hinsdale,2,3,25,Bin #1
Hinsdale,2,4,25,Bin #1
Hinsdale,2,5,25,Bin #1
Hinsdale,2,6,25,Bin #1
Hinsdale,2,7,25,Bin #1
Hinsdale,2,8,25,Bin #1
Hinsdale,2,9,25,Bin #1
Hinsdale,2,10,25,Bin #1
Hinsdale,2,11,25,Bin #1
Hinsdale,2,12,25,Bin #1
Hinsdale,2,13,25,Bin #1
Hinsdale,2,14,25,Bin #1
Hinsdale,2,15,25,Bin #1
Hinsdale,2,16,25,Bin #1
Hinsdale,2,17,25,Bin #1
Hinsdale,2,18,12,Bin #1
Hinsdale,2,19,2,Bin #1
