County,Tabulator ID,Batch,# of Ballots,Location
Lake,2,1,10,Red Box 7
Lake,2,2,10,Red Box 7
Lake,2,3,10,Red Box 7
Lake,2,4,10,Red Box 7
Lake,2,5,10,Red Box 7
Lake,2,6,10,Red Box 7
Lake,2,7,10,Red Box 7
Lake,2,8,10,Red Box 7
Lake,2,9,10,Red Box 7
Lake,2,10,10,Red Box 7
Lake,2,11,10,Red Box 7
Lake,2,12,10,Red Box 7
Lake,2,13,10,Red Box 7
Lake,2,14,10,Red Box 7
Lake,2,15,10,Red Box 7
Lake,2,16,10,Red Box 7
Lake,2,17,10,Red Box 7
Lake,2,18,10,Red Box 7
Lake,2,19,10,Red Box 7
Lake,2,20,10,Red Box 7
Lake,2,21,10,Red Box 7
Lake,2,22,10,Red Box 7
Lake,2,23,10,Red Box 7
Lake,2,24,10,Red Box 7
Lake,2,25,10,Red Box 7
Lake,2,26,10,Red Box 7
Lake,2,27,10,Red Box 7
Lake,2,28,10,Red Box 7
Lake,2,29,10,Red Box 7
Lake,2,30,10,Red Box 7
Lake,2,31,10,Red Box 7
Lake,2,32,10,Red Box 7
Lake,2,33,10,Red Box 7
Lake,2,34,10,Red Box 7
Lake,2,35,10,Red Box 7
Lake,2,36,10,Red Box 7
Lake,2,37,10,Red Box 7
Lake,2,38,10,Red Box 7
Lake,2,39,10,Red Box 7
Lake,2,40,10,Red Box 7
Lake,2,41,10,Red Box 7
Lake,2,42,8,Red Box 7
Lake,2,43,10,Red Box 7
Lake,2,44,10,Red Box 7
Lake,2,45,10,Red Box 7
Lake,2,46,10,Red Box 7
Lake,2,47,10,Red Box 7
Lake,2,48,10,Red Box 7
Lake,2,49,10,Red Box 7
Lake,2,50,10,Red Box 7
Lake,2,51,10,Red Box 7
Lake,2,52,10,Red Box 7
Lake,2,53,10,Red Box 7
Lake,2,54,10,Red Box 7
Lake,2,55,10,Red Box 7
Lake,2,56,10,Red Box 7
Lake,2,57,10,Red Box 7
Lake,2,58,10,Red Box 7
Lake,2,59,10,Red Box 7
Lake,2,60,10,Red Box 7
Lake,2,61,10,Red Box 7
Lake,2,62,10,Red Box 7
