County,Tabulator,Batch,# of Ballot Cards,Location
Teller,2,1,22,1
Teller,2,2,23,1
Teller,2,3,25,1
Teller,2,4,24,1
Teller,2,5,25,1
Teller,2,6,25,1
Teller,2,7,25,1
Teller,2,8,24,1
Teller,2,9,22,1
Teller,2,10,25,1
Teller,2,11,24,1
Teller,2,12,25,1
Teller,2,13,25,1
Teller,2,14,25,1
Teller,2,15,25,1
Teller,2,16,25,1
Teller,2,17,25,1
Teller,2,18,25,1
Teller,2,19,25,1
Teller,2,20,25,1
Teller,2,21,25,1
Teller,2,22,25,1
Teller,2,23,25,1
Teller,2,24,24,1
Teller,2,25,25,1
Teller,2,26,25,1
Teller,2,27,24,1
Teller,2,28,25,1
Teller,2,29,25,1
Teller,2,30,25,1
Teller,2,31,25,1
Teller,2,32,25,1
Teller,2,33,25,1
Teller,2,34,24,1
Teller,2,35,25,1
Teller,2,36,25,1
Teller,2,37,25,1
Teller,2,38,24,1
Teller,2,39,25,1
Teller,2,40,25,1
Teller,2,41,25,1
Teller,2,42,25,1
Teller,2,43,25,1
Teller,2,44,25,1
Teller,2,45,25,1
Teller,2,46,25,2
Teller,2,47,25,2
Teller,2,48,25,2
Teller,2,49,25,2
Teller,2,50,25,2
Teller,2,51,25,2
Teller,2,52,1,2
Teller,2,53,25,2
Teller,2,54,25,2
Teller,2,55,24,2
Teller,2,56,25,2
Teller,2,57,25,2
Teller,2,58,25,2
Teller,2,59,25,2
Teller,2,60,25,2
Teller,2,61,25,2
Teller,2,62,25,2
Teller,2,63,25,2
Teller,2,64,25,2
Teller,2,65,25,2
Teller,2,66,25,2
Teller,2,67,25,2
Teller,2,68,25,2
Teller,2,69,1,2
Teller,2,70,25,2
Teller,2,71,25,2
Teller,2,72,25,2
Teller,2,73,25,2
Teller,2,74,25,2
Teller,2,75,25,2
Teller,2,76,25,2
Teller,2,77,25,2
Teller,2,78,25,2
Teller,2,79,25,2
Teller,2,80,25,2
Teller,2,81,25,2
Teller,2,82,25,2
Teller,2,83,25,2
Teller,2,84,25,2
Teller,2,85,25,2
Teller,2,86,25,2
Teller,2,87,25,2
Teller,2,88,25,2
Teller,2,89,25,2
Teller,2,90,25,2
Teller,2,91,25,3
Teller,2,92,25,3
Teller,2,93,25,3
Teller,2,94,24,3
Teller,2,95,25,3
Teller,2,96,25,3
Teller,2,97,25,3
Teller,2,98,25,3
Teller,2,99,25,3
Teller,2,100,25,3
Teller,2,101,25,3
Teller,2,102,25,3
Teller,2,103,25,3
Teller,2,104,25,3
Teller,2,105,24,3
Teller,2,106,25,3
Teller,2,107,25,3
Teller,2,108,25,3
Teller,2,109,24,3
Teller,2,110,25,3
Teller,2,111,25,3
Teller,2,112,25,3
Teller,2,113,25,3
Teller,2,114,25,3
Teller,2,115,25,3
Teller,2,116,25,3
Teller,2,117,25,3
Teller,2,118,25,3
Teller,2,119,25,3
Teller,2,120,25,3
Teller,2,121,25,3
Teller,2,122,24,3
Teller,2,123,25,3
Teller,2,124,25,3
Teller,2,125,25,3
Teller,2,126,24,3
Teller,2,127,25,3
Teller,2,128,25,3
Teller,2,129,25,3
Teller,2,130,25,3
Teller,2,131,25,3
Teller,2,132,25,3
Teller,2,133,25,3
Teller,2,134,25,3
