County,Tabulator ID,Batch,# of Ballot Cards,Location
Huerfano,101,1,4,Box 1
Huerfano,101,2,3,Box 1
Huerfano,101,3,1,Box 1
Huerfano,101,4,4,Box 1
Huerfano,101,5,22,Box 1
Huerfano,101,6,1,Box 1
Huerfano,101,7,15,Box 1
Huerfano,101,8,11,Box 1
Huerfano,101,9,25,Box 1
Huerfano,101,10,8,Box 1
Huerfano,101,11,10,Box 1
Huerfano,101,12,25,Box 1
Huerfano,101,13,1,Box 1
Huerfano,101,14,20,Box 1
Huerfano,101,15,20,Box 1
Huerfano,101,16,15,Box 1
Huerfano,101,17,16,Box 1
Huerfano,101,18,7,Box 1
Huerfano,101,19,5,Box 1
Huerfano,101,20,25,Box 1
Huerfano,101,21,12,Box 1
Huerfano,101,22,21,Box 2
Huerfano,101,23,4,Box 2
Huerfano,101,24,20,Box 2
Huerfano,101,25,8,Box 2
Huerfano,101,26,15,Box 2
Huerfano,101,27,11,Box 2
Huerfano,101,28,14,Box 2
Huerfano,101,29,25,Box 2
Huerfano,101,30,24,Box 2
Huerfano,101,31,12,Box 2
Huerfano,101,32,25,Box 2
Huerfano,101,33,24,Box 2
Huerfano,101,34,25,Box 2
Huerfano,101,35,24,Box 2
Huerfano,101,36,15,Box 2
Huerfano,101,37,15,Box 2
Huerfano,101,38,25,Box 2
Huerfano,101,39,1,Box 3
Huerfano,101,40,25,Box 3
Huerfano,101,41,18,Box 3
Huerfano,101,42,18,Box 3
Huerfano,101,43,3,Box 3
Huerfano,101,44,24,Box 3
Huerfano,101,45,25,Box 3
Huerfano,101,46,11,Box 3
Huerfano,101,47,19,Box 3
Huerfano,101,48,24,Box 3
Huerfano,101,49,23,Box 4
Huerfano,101,50,15,Box 4
Huerfano,101,51,13,Box 4
Huerfano,101,52,25,Box 4
Huerfano,101,53,25,Box 4
Huerfano,101,54,25,Box 4
Huerfano,101,55,25,Box 4
Huerfano,101,56,25,Box 4
Huerfano,101,57,14,Box 5
Huerfano,101,58,25,Box 5
Huerfano,101,59,25,Box 5
Huerfano,101,60,24,Box 5
Huerfano,101,61,13,Box 5
Huerfano,101,62,24,Box 5
Huerfano,101,63,25,Box 5
Huerfano,101,64,7,Box 5
Huerfano,101,65,7,Box 5
Huerfano,101,66,25,Box 6
Huerfano,101,67,25,Box 6
Huerfano,101,68,23,Box 6
Huerfano,101,69,24,Box 6
Huerfano,101,70,24,Box 6
Huerfano,101,71,25,Box 6
Huerfano,101,72,18,Box 6
Huerfano,101,73,25,Box 6
Huerfano,101,74,12,Box 6
Huerfano,101,75,21,Box 6
Huerfano,101,76,4,Box 6
Huerfano,101,77,25,Box 7
Huerfano,101,78,14,Box 7
Huerfano,101,79,1,Box 7
Huerfano,101,80,2,Box 7
Huerfano,101,81,24,Box 7
Huerfano,101,82,23,Box 7
Huerfano,101,83,2,Box 7
Huerfano,101,84,19,Box 7
Huerfano,101,85,16,Box 7
Huerfano,101,86,17,Box 7
Huerfano,101,87,24,Box 7
Huerfano,101,88,25,Box 7
Huerfano,101,89,24,Box 8
Huerfano,101,90,25,Box 8
Huerfano,101,91,25,Box 8
Huerfano,101,92,25,Box 8
Huerfano,101,93,25,Box 8
Huerfano,101,94,6,Box 8
Huerfano,101,95,1,Box 8
Huerfano,101,96,25,Box 9
Huerfano,101,97,24,Box 9
Huerfano,101,98,25,Box 9
Huerfano,101,99,19,Box 9
Huerfano,101,100,25,Box 9
Huerfano,101,101,9,Box 9
Huerfano,101,102,15,Box 9
Huerfano,101,103,21,Box 9
Huerfano,101,104,3,Box 9
Huerfano,101,105,25,Box 9
Huerfano,101,106,25,Box 9
Huerfano,101,107,24,Box 9
Huerfano,101,108,2,Box 9
Huerfano,101,109,23,Box 9
Huerfano,101,110,25,Box 10
Huerfano,101,111,9,Box 10
Huerfano,101,112,5,Box 10
Huerfano,101,113,23,Box 10
Huerfano,101,114,25,Box 10
Huerfano,101,115,24,Box 10
Huerfano,101,116,25,Box 10
Huerfano,101,117,25,Box 10
Huerfano,101,118,8,Box 10
Huerfano,101,119,10,Box 10
Huerfano,101,120,25,Box 10
Huerfano,101,121,25,Box 10
Huerfano,101,122,26,Box 10
Huerfano,101,123,7,Box 11
Huerfano,101,124,24,Box 11
Huerfano,101,125,24,Box 11
Huerfano,101,126,25,Box 11
Huerfano,101,127,24,Box 11
Huerfano,101,128,11,Box 11
Huerfano,101,129,25,Box 11
Huerfano,101,130,23,Box 11
Huerfano,101,131,24,Box 11
Huerfano,101,132,25,Box 11
