County,Tabulator ID,Batch,# of Ballots,Location
Lake,103,1,10,Blue 10
Lake,103,2,10,Blue 10
Lake,103,3,10,Blue 10
Lake,103,4,10,Blue 10
Lake,103,5,10,Blue 10
Lake,103,6,10,Blue 10
Lake,103,7,10,Blue 10
Lake,103,8,10,Blue 10
Lake,103,9,10,Blue 10
Lake,103,10,10,Blue 10
Lake,103,11,10,Blue 10
Lake,103,12,10,Blue 10
Lake,103,13,10,Blue 10
Lake,103,14,10,Blue 10
Lake,103,15,10,Blue 10
Lake,103,16,10,Blue 10
Lake,103,17,10,Blue 10
Lake,103,18,10,Blue 10
Lake,103,19,10,Blue 10
Lake,103,20,7,Blue 10
Lake,103,21,10,Blue 10
Lake,103,22,10,Blue 10
Lake,103,23,10,Blue 10
Lake,103,24,10,Blue 10
Lake,103,25,10,Blue 10
Lake,103,26,10,Blue 10
Lake,103,27,10,Blue 10
Lake,103,28,10,Blue 10
Lake,103,29,10,Blue 10
Lake,103,30,10,Blue 10
Lake,103,31,10,Blue 10
Lake,103,32,10,Blue 10
Lake,103,33,10,Blue 10
Lake,103,34,10,Blue 10
Lake,103,35,10,Blue 10
Lake,103,36,10,Blue 10
Lake,103,37,10,Blue 10
Lake,103,38,10,Blue 10
Lake,103,39,8,Blue 10
Lake,103,40,10,Blue 10
Lake,103,41,10,Blue 10
Lake,103,42,10,Blue 10
Lake,103,43,10,Blue 10
Lake,103,44,10,Blue 10
Lake,103,45,10,Blue 10
Lake,103,46,10,Blue 10
Lake,103,47,10,Blue 10
Lake,103,48,10,Blue 10
Lake,103,49,10,Blue 10
Lake,103,50,10,Blue 10
Lake,103,51,10,Blue 10
Lake,103,52,10,Blue 10
Lake,103,53,10,Blue 10
Lake,103,54,10,Blue 10
Lake,103,55,10,Blue 10
Lake,103,56,10,Blue 10
Lake,103,57,10,Blue 10
Lake,103,58,10,Blue 10
Lake,103,59,10,Blue 10
Lake,103,60,9,Blue 10
Lake,103,61,10,Blue 10
Lake,103,62,10,Blue 10
Lake,103,63,10,Blue 10
Lake,103,64,10,Blue 10
Lake,103,65,10,Blue 10
Lake,103,66,10,Blue 10
Lake,103,67,10,Blue 10
Lake,103,68,10,Blue 10
Lake,103,69,10,Grey 1
Lake,103,70,10,Grey 1
Lake,103,71,10,Grey 1
Lake,103,72,10,Grey 1
Lake,103,73,10,Grey 1
Lake,103,74,10,Grey 1
Lake,103,75,10,Grey 1
Lake,103,76,10,Grey 1
Lake,103,77,10,Grey 1
Lake,103,78,10,Grey 1
Lake,103,79,10,Grey 1
Lake,103,80,10,Grey 1
Lake,103,81,10,Grey 1
Lake,103,82,10,Grey 1
Lake,103,83,10,Grey 1
Lake,103,84,10,Grey 1
Lake,103,85,10,Grey 1
Lake,103,86,10,Grey 1
Lake,103,87,10,Grey 1
Lake,103,88,10,Grey 1
Lake,103,89,10,Grey 1
Lake,103,90,10,Grey 1
Lake,103,91,10,Grey 1
Lake,103,92,10,Grey 1
Lake,103,93,10,Grey 1
Lake,103,94,10,Grey 1
Lake,103,95,10,Grey 1
