County,Tabulator ID,Batch,# of Ballot Cards,Location
Lincoln,101,1,25,Lock Box #2
Lincoln,101,2,25,Lock Box #2
Lincoln,101,3,25,Lock Box #2
Lincoln,101,4,25,Lock Box #2
Lincoln,101,5,25,Lock Box #2
Lincoln,101,6,25,Lock Box #2
Lincoln,101,7,25,Lock Box #2
Lincoln,101,8,25,Lock Box #2
Lincoln,101,9,25,Lock Box #2
Lincoln,101,10,25,Lock Box #2
Lincoln,101,11,25,Lock Box #2
Lincoln,101,12,25,Lock Box #2
Lincoln,101,13,25,Lock Box #2
Lincoln,101,14,25,Lock Box #2
Lincoln,101,15,25,Lock Box #2
Lincoln,101,16,25,Lock Box #2
Lincoln,101,17,25,Lock Box #2
Lincoln,101,18,25,Lock Box #2
Lincoln,101,19,25,Lock Box #2
Lincoln,101,20,25,Lock Box #2
Lincoln,101,21,25,Lock Box #2
Lincoln,101,23,25,Lock Box #2
Lincoln,101,24,25,Lock Box #2
Lincoln,101,25,25,Lock Box #2
Lincoln,101,26,25,Lock Box #2
Lincoln,101,27,25,Lock Box #2
Lincoln,101,28,25,Lock Box #2
Lincoln,101,29,25,Lock Box #2
Lincoln,101,30,25,Lock Box #2
Lincoln,101,31,25,Lock Box #2
Lincoln,101,32,25,Lock Box #2
Lincoln,101,33,25,Lock Box #2
Lincoln,101,34,25,Lock Box #2
Lincoln,101,35,25,Lock Box #2
Lincoln,101,36,25,Lock Box #2
Lincoln,101,37,25,Lock Box #2
Lincoln,101,38,25,Lock Box #3
Lincoln,101,39,25,Lock Box #3
Lincoln,101,40,25,Lock Box #3
Lincoln,101,41,25,Lock Box #3
Lincoln,101,42,25,Lock Box #3
Lincoln,101,43,25,Lock Box #3
Lincoln,101,44,25,Lock Box #3
Lincoln,101,45,25,Lock Box #3
Lincoln,101,46,25,Lock Box #3
Lincoln,101,47,25,Lock Box #3
Lincoln,101,48,25,Lock Box #3
Lincoln,101,49,25,Lock Box #3
Lincoln,101,50,25,Lock Box #3
Lincoln,101,51,25,Lock Box #3
Lincoln,101,52,25,Lock Box #3
Lincoln,101,53,25,Lock Box #3
Lincoln,101,54,25,Lock Box #3
Lincoln,101,55,25,Lock Box #3
Lincoln,101,56,25,Lock Box #3
Lincoln,101,57,25,Lock Box #3
Lincoln,101,58,25,Lock Box #3
Lincoln,101,59,25,Lock Box #3
Lincoln,101,60,25,Lock Box #3
Lincoln,101,61,25,Lock Box #3
Lincoln,101,62,25,Lock Box #3
Lincoln,101,63,25,Lock Box #3
Lincoln,101,64,25,Lock Box #3
Lincoln,101,65,25,Lock Box #3
Lincoln,101,66,25,Lock Box #3
Lincoln,101,67,25,Lock Box #3
Lincoln,101,68,25,Lock Box #3
Lincoln,101,69,25,Lock Box #3
Lincoln,101,70,25,Lock Box #3
Lincoln,101,71,25,Lock Box #3
Lincoln,101,72,25,Lock Box #3
Lincoln,101,73,25,Lock Box #4
Lincoln,101,74,25,Lock Box #4
Lincoln,101,75,25,Lock Box #4
Lincoln,101,76,25,Lock Box #4
Lincoln,101,77,25,Lock Box #4
Lincoln,101,78,25,Lock Box #4
Lincoln,101,79,25,Lock Box #4
Lincoln,101,80,25,Lock Box #4
Lincoln,101,81,25,Lock Box #4
Lincoln,101,82,25,Lock Box #4
Lincoln,101,83,25,Lock Box #4
Lincoln,101,84,25,Lock Box #4
Lincoln,101,85,25,Lock Box #4
Lincoln,101,86,18,Lock Box #4
Lincoln,101,87,21,Lock Box #4
