County,Tabulator ID,Batch,# of Ballot Cards,Location
Montrose,101,1,50,1
Montrose,101,2,50,1
Montrose,101,3,50,1
Montrose,101,4,50,1
Montrose,101,5,50,1
Montrose,101,6,50,1
Montrose,101,7,50,1
Montrose,101,8,50,1
Montrose,101,9,50,1
Montrose,101,10,50,1
Montrose,101,11,50,1
Montrose,101,12,50,1
Montrose,101,13,50,1
Montrose,101,14,50,1
Montrose,101,15,50,1
Montrose,101,16,50,1
Montrose,101,17,50,1
Montrose,101,18,50,1
Montrose,101,19,50,1
Montrose,101,20,50,1
Montrose,101,21,50,2
Montrose,101,22,50,2
Montrose,101,23,50,2
Montrose,101,24,50,2
Montrose,101,25,50,2
Montrose,101,26,50,2
Montrose,101,27,50,2
Montrose,101,28,50,2
Montrose,101,29,50,2
Montrose,101,30,50,2
Montrose,101,31,50,2
Montrose,101,32,50,2
Montrose,101,33,50,2
Montrose,101,34,50,2
Montrose,101,35,50,2
Montrose,101,36,50,2
Montrose,101,37,50,2
Montrose,101,38,50,2
Montrose,101,39,50,2
Montrose,101,40,50,2
Montrose,101,41,50,3
Montrose,101,42,50,3
Montrose,101,43,50,3
Montrose,101,44,50,3
Montrose,101,45,50,3
Montrose,101,46,50,3
Montrose,101,47,50,3
Montrose,101,48,50,3
Montrose,101,49,50,3
Montrose,101,50,50,3
Montrose,101,51,50,3
Montrose,101,52,50,3
Montrose,101,53,50,3
Montrose,101,54,50,3
Montrose,101,55,50,3
Montrose,101,56,50,3
Montrose,101,57,50,3
Montrose,101,58,50,3
Montrose,101,59,50,3
Montrose,101,60,50,3
Montrose,101,61,50,4
Montrose,101,62,50,4
Montrose,101,63,50,4
Montrose,101,64,50,4
Montrose,101,65,50,4
Montrose,101,66,50,4
Montrose,101,67,50,4
Montrose,101,68,50,4
Montrose,101,69,50,4
Montrose,101,70,50,4
Montrose,101,71,50,4
Montrose,101,72,50,4
Montrose,101,73,50,4
Montrose,101,74,50,4
Montrose,101,75,50,4
Montrose,101,76,50,4
Montrose,101,77,50,4
Montrose,101,78,50,4
Montrose,101,79,50,4
Montrose,101,80,50,4
Montrose,101,81,50,5
Montrose,101,82,50,5
Montrose,101,83,50,5
Montrose,101,84,50,5
Montrose,101,85,50,5
Montrose,101,86,50,5
Montrose,101,87,50,5
Montrose,101,88,50,5
Montrose,101,89,50,5
Montrose,101,90,50,5
Montrose,101,91,50,5
Montrose,101,92,50,5
Montrose,101,93,50,5
Montrose,101,94,50,5
Montrose,101,95,50,5
Montrose,101,96,50,5
Montrose,101,97,50,5
Montrose,101,98,50,5
Montrose,101,99,50,5
Montrose,101,100,50,5
Montrose,101,101,50,6
Montrose,101,102,50,6
Montrose,101,103,50,6
Montrose,101,104,50,6
Montrose,101,105,50,6
Montrose,101,106,50,6
Montrose,101,107,50,6
Montrose,101,108,50,6
Montrose,101,109,50,6
Montrose,101,110,50,6
Montrose,101,111,50,6
Montrose,101,112,50,6
Montrose,101,113,50,6
Montrose,101,114,50,6
Montrose,101,115,50,6
Montrose,101,116,50,6
Montrose,101,117,50,6
Montrose,101,118,50,6
Montrose,101,119,50,6
Montrose,101,120,50,6
Montrose,101,121,50,7
Montrose,101,122,50,7
Montrose,101,123,50,7
Montrose,101,124,50,7
Montrose,101,125,50,7
Montrose,101,126,50,7
Montrose,101,127,50,7
Montrose,101,128,50,7
Montrose,101,129,50,7
Montrose,101,130,50,7
Montrose,101,131,50,7
Montrose,101,132,50,7
Montrose,101,133,50,7
Montrose,101,134,50,7
Montrose,101,135,50,7
Montrose,101,136,50,7
Montrose,101,137,50,7
Montrose,101,138,50,7
Montrose,101,139,50,7
Montrose,101,140,50,7
Montrose,101,141,50,8
Montrose,101,142,50,8
Montrose,101,143,50,8
Montrose,101,144,50,8
Montrose,101,145,50,8
Montrose,101,146,50,8
