Otero,Tabulator,Batch,# of Ballots,Location
Otero,103,1,24,11
Otero,103,2,25,11
Otero,103,3,25,11
Otero,103,4,25,11
Otero,103,5,25,11
Otero,103,6,25,11
Otero,103,7,25,11
Otero,103,8,25,11
Otero,103,9,25,11
Otero,103,10,25,11
Otero,103,11,25,11
Otero,103,12,25,11
Otero,103,13,25,11
Otero,103,14,25,11
Otero,103,15,25,11
Otero,103,16,25,11
Otero,103,17,25,11
Otero,103,18,25,11
Otero,103,19,25,11
Otero,103,20,25,11
Otero,103,21,25,11
Otero,103,22,25,11
Otero,103,23,25,11
Otero,103,24,25,11
Otero,103,25,25,11
Otero,103,26,25,11
Otero,103,27,25,11
Otero,103,28,25,11
Otero,103,29,25,11
Otero,103,30,25,11
Otero,103,31,25,11
Otero,103,32,24,11
Otero,103,33,25,11
Otero,103,34,25,17
Otero,103,35,25,17
Otero,103,36,25,17
Otero,103,37,24,17
Otero,103,38,25,17
Otero,103,39,25,17
Otero,103,40,25,17
Otero,103,41,25,17
Otero,103,42,25,17
Otero,103,43,25,17
Otero,103,44,25,17
Otero,103,45,25,17
Otero,103,46,25,17
Otero,103,47,25,17
Otero,103,48,25,17
Otero,103,49,25,17
Otero,103,50,25,17
Otero,103,51,25,17
Otero,103,52,25,17
Otero,103,53,25,17
Otero,103,54,25,17
Otero,103,55,24,17
Otero,103,56,25,17
Otero,103,57,25,17
Otero,103,58,25,17
Otero,103,59,25,17
Otero,103,60,25,10
Otero,103,61,25,10
Otero,103,62,24,10
Otero,103,63,25,10
Otero,103,64,25,10
Otero,103,65,25,10
Otero,103,66,25,10
Otero,103,67,25,10
Otero,103,68,24,10
Otero,103,69,25,10
Otero,103,70,25,10
Otero,103,71,25,10
Otero,103,72,25,10
Otero,103,73,25,10
Otero,103,74,25,10
Otero,103,75,25,10
Otero,103,76,25,10
Otero,103,77,25,10
Otero,103,78,25,10
Otero,103,79,25,10
Otero,103,80,25,10
Otero,103,81,25,10
Otero,103,82,25,10
Otero,103,83,24,10
Otero,103,84,25,10
Otero,103,85,25,10
Otero,103,86,25,10
Otero,103,87,25,10
Otero,103,88,24,10
Otero,103,89,25,10
Otero,103,90,25,10
Otero,103,91,25,10
Otero,103,92,24,10
Otero,103,93,25,10
Otero,103,94,25,10
Otero,103,95,25,10
Otero,103,96,24,10
Otero,103,97,25,10
Otero,103,98,25,10
Otero,103,99,25,10
Otero,103,100,25,10
Otero,103,101,25,6
Otero,103,102,25,6
Otero,103,103,24,6
Otero,103,104,25,6
Otero,103,105,25,6
Otero,103,106,22,6
Otero,103,107,25,6
Otero,103,108,25,6
Otero,103,109,25,6
Otero,103,110,24,6
Otero,103,111,25,6
Otero,103,112,25,6
Otero,103,113,24,6
Otero,103,114,24,6
Otero,103,115,24,6
Otero,103,116,25,16
Otero,103,117,25,16
Otero,103,118,25,16
Otero,103,119,25,16
Otero,103,120,25,16
Otero,103,121,25,16
Otero,103,122,25,16
Otero,103,123,25,16
Otero,103,124,25,16
Otero,103,125,25,16
Otero,103,126,25,16
Otero,103,127,25,16
Otero,103,128,25,16
