County,Tabulator ID,Batch,# of Ballot Cards,Location,
Pueblo,104,1,98,Tub 1,
Pueblo,104,2,96,Tub 1,
Pueblo,104,3,98,Tub 1,
Pueblo,104,4,100,Tub 1,
Pueblo,104,5,98,Tub 1,
Pueblo,104,6,100,Tub 1,
Pueblo,104,7,96,Tub 1,
Pueblo,104,8,100,Tub 1,
Pueblo,104,9,98,Tub 1,
Pueblo,104,10,100,Tub 1,
Pueblo,104,11,100,Tub 1,
Pueblo,104,12,98,Tub 1,
Pueblo,104,13,100,Tub 1,
Pueblo,104,14,100,Tub 1,
Pueblo,104,15,100,Tub 1,
Pueblo,104,16,100,Tub 1,
Pueblo,104,17,100,Tub 1,
Pueblo,104,18,100,Tub 1,
Pueblo,104,19,100,Tub 1,
Pueblo,104,20,100,Tub 1,
Pueblo,104,21,50,Tub2,
Pueblo,104,22,100,Tub2,
Pueblo,104,23,100,Tub2,
Pueblo,104,24,100,Tub2,
Pueblo,104,25,100,Tub2,
Pueblo,104,26,100,Tub2,
Pueblo,104,27,100,Tub2,
Pueblo,104,28,100,Tub2,
Pueblo,104,29,100,Tub2,
Pueblo,104,30,100,Tub2,
Pueblo,104,31,100,Tub2,
Pueblo,104,32,100,Tub2,
Pueblo,104,33,100,Tub2,
Pueblo,104,34,100,Tub2,
Pueblo,104,35,100,Tub2,
Pueblo,104,36,8,Tub2,
Pueblo,104,37,100,Tub2,
Pueblo,104,38,100,Tub2,
Pueblo,104,39,100,Tub2,
Pueblo,104,40,100,Tub2,
Pueblo,104,41,100,Tub 3,
Pueblo,104,42,100,Tub 3,
Pueblo,104,43,100,Tub 3,
Pueblo,104,44,100,Tub 3,
Pueblo,104,45,100,Tub 3,
Pueblo,104,46,98,Tub 3,
Pueblo,104,47,98,Tub 3,
Pueblo,104,48,50,Tub 3,
Pueblo,104,49,50,Tub 3,
Pueblo,104,50,50,Tub 3,
Pueblo,104,51,50,Tub 3,
Pueblo,104,52,50,Tub 3,
Pueblo,104,53,50,Tub 3,
Pueblo,104,54,50,Tub 3,
Pueblo,104,55,50,Tub 3,
Pueblo,104,56,50,Tub 3,
Pueblo,104,57,50,Tub 3,
Pueblo,104,58,50,Tub 3,
Pueblo,104,59,50,Tub 3,
Pueblo,104,60,50,Tub 3,
Pueblo,104,61,50,Tub4,
Pueblo,104,62,50,Tub4,
Pueblo,104,63,50,Tub4,
Pueblo,104,64,50,Tub4,
Pueblo,104,65,50,Tub4,
Pueblo,104,66,50,Tub4,
Pueblo,104,67,50,Tub4,
Pueblo,104,68,50,Tub4,
Pueblo,104,69,50,Tub4,
Pueblo,104,70,50,Tub4,
Pueblo,104,71,50,Tub4,
Pueblo,104,72,50,Tub4,
Pueblo,104,73,50,Tub4,
Pueblo,104,74,50,Tub4,
Pueblo,104,75,50,Tub4,
Pueblo,104,76,50,Tub4,
Pueblo,104,77,50,Tub4,
Pueblo,104,78,50,Tub4,
Pueblo,104,79,50,Tub4,
Pueblo,104,80,50,Tub4,
Pueblo,104,81,50,Tub4,
Pueblo,104,82,48,Tub4,
Pueblo,104,83,50,Tub4,
Pueblo,104,84,50,Tub4,
Pueblo,104,85,50,Tub4,
Pueblo,104,86,50,Tub4,
Pueblo,104,87,50,Tub4,
Pueblo,104,88,50,Tub4,
Pueblo,104,89,50,Tub4,
Pueblo,104,90,50,Tub4,
Pueblo,104,91,48,Tub4,
Pueblo,104,92,50,Tub4,
Pueblo,104,93,50,Tub4,
Pueblo,104,94,50,Tub4,
Pueblo,104,95,50,Tub4,
Pueblo,104,96,50,Tub4,
Pueblo,104,97,50,Tub4,
Pueblo,104,98,50,Tub4,
Pueblo,104,99,50,Tub4,
Pueblo,104,100,50,Tub5,
Pueblo,104,101,50,Tub5,
Pueblo,104,102,50,Tub5,
Pueblo,104,103,50,Tub5,
Pueblo,104,104,50,Tub5,
Pueblo,104,105,50,Tub5,
Pueblo,104,106,50,Tub5,
Pueblo,104,107,50,Tub5,
Pueblo,104,108,50,Tub5,
Pueblo,104,109,48,Tub5,
Pueblo,104,110,50,Tub5,
Pueblo,104,111,50,Tub5,
Pueblo,104,112,50,Tub5,
Pueblo,104,113,50,Tub5,
Pueblo,104,114,50,Tub5,
Pueblo,104,115,50,Tub5,
Pueblo,104,116,50,Tub5,
Pueblo,104,117,50,Tub5,
Pueblo,104,118,50,Tub5,
Pueblo,104,119,50,Tub5,
Pueblo,104,120,50,Tub5,
Pueblo,104,121,50,Tub5,
Pueblo,104,122,50,Tub5,
Pueblo,104,123,50,Tub5,
Pueblo,104,124,50,Tub5,
Pueblo,104,125,50,Tub5,
Pueblo,104,126,50,Tub5,
Pueblo,104,127,50,Tub5,
Pueblo,104,128,50,Tub5,
Pueblo,104,129,50,Tub5,
Pueblo,104,130,50,Tub5,
Pueblo,104,131,50,Tub5,
Pueblo,104,132,50,Tub5,
Pueblo,104,133,50,Tub5,
Pueblo,104,134,50,Tub5,
Pueblo,104,135,50,Tub5,
Pueblo,104,136,50,Tub5,
Pueblo,104,137,50,Tub5,
Pueblo,104,138,50,Tub5,
Pueblo,104,139,50,Tub5,
Pueblo,104,140,50,Tub6,
Pueblo,104,141,50,Tub6,
Pueblo,104,142,50,Tub6,
Pueblo,104,143,50,Tub6,
Pueblo,104,144,50,Tub6,
Pueblo,104,145,50,Tub6,
Pueblo,104,146,50,Tub6,
Pueblo,104,147,50,Tub6,
Pueblo,104,148,50,Tub6,
Pueblo,104,149,50,Tub6,
Pueblo,104,150,50,Tub6,
Pueblo,104,151,50,Tub6,
Pueblo,104,152,50,Tub6,
Pueblo,104,153,50,Tub6,
Pueblo,104,154,50,Tub6,
Pueblo,104,155,50,Tub6,
