County,Tabulator ID,Batch,# of Ballot Cards,Location
Rio Grande,101,1,25,Box 1
Rio Grande,101,2,25,Box 1
Rio Grande,101,3,25,Box 1
Rio Grande,101,4,25,Box 1
Rio Grande,101,5,25,Box 1
Rio Grande,101,6,25,Box 1
Rio Grande,101,7,25,Box 1
Rio Grande,101,8,25,Box 1
Rio Grande,101,9,25,Box 1
Rio Grande,101,10,25,Box 1
Rio Grande,101,11,25,Box 1
Rio Grande,101,12,25,Box 1
Rio Grande,101,13,25,Box 1
Rio Grande,101,14,25,Box 1
Rio Grande,101,15,25,Box 1
Rio Grande,101,16,25,Box 1
Rio Grande,101,17,25,Box 1
Rio Grande,101,18,25,Box 1
Rio Grande,101,19,25,Box 1
Rio Grande,101,20,25,Box 1
Rio Grande,101,21,25,Box 1
Rio Grande,101,22,25,Box 1
Rio Grande,101,23,25,Box 1
Rio Grande,101,24,25,Box 1
Rio Grande,101,25,25,Box 1
Rio Grande,101,26,25,Box 1
Rio Grande,101,27,25,Box 1
Rio Grande,101,28,25,Box 1
Rio Grande,101,29,25,Box 1
Rio Grande,101,30,25,Box 1
Rio Grande,101,31,25,Box 1
Rio Grande,101,32,25,Box 1
Rio Grande,101,33,25,Box 1
Rio Grande,101,34,25,Box 1
Rio Grande,101,35,25,Box 1
Rio Grande,101,36,25,Box 1
Rio Grande,101,37,25,Box 1
Rio Grande,101,38,25,Box 1
Rio Grande,101,39,25,Box 1
Rio Grande,101,40,25,Box 1
Rio Grande,101,41,25,Box 1
Rio Grande,101,42,25,Box 1
Rio Grande,101,43,25,Box 1
Rio Grande,101,44,25,Box 1
Rio Grande,101,45,25,Box 1
Rio Grande,101,46,25,Box 1
Rio Grande,101,47,25,Box 1
Rio Grande,101,48,25,Box 1
Rio Grande,101,49,25,Box 1
Rio Grande,101,50,25,Box 1
Rio Grande,101,51,25,Box 1
Rio Grande,101,52,25,Box 1
Rio Grande,101,53,25,Box 1
Rio Grande,101,54,25,Box 1
Rio Grande,101,55,25,Box 1
Rio Grande,101,56,25,Box 1
Rio Grande,101,57,25,Box 1
Rio Grande,101,58,25,Box 1
Rio Grande,101,59,25,Box 1
Rio Grande,101,60,25,Box 1
Rio Grande,101,61,25,Box 1
Rio Grande,101,62,25,Box 1
Rio Grande,101,63,25,Box 1
Rio Grande,101,64,25,Box 1
Rio Grande,101,65,25,Box 1
Rio Grande,101,66,25,Box 1
Rio Grande,101,67,25,Box 1
Rio Grande,101,68,25,Box 1
Rio Grande,101,69,25,Box 1
Rio Grande,101,70,25,Box 1
Rio Grande,101,71,25,Box 1
Rio Grande,101,72,25,Box 1
Rio Grande,101,73,25,Box 1
Rio Grande,101,74,25,Box 1
Rio Grande,101,75,25,Box 1
Rio Grande,101,76,25,Box 1
Rio Grande,101,77,25,Box 1
Rio Grande,101,78,25,Box 1
Rio Grande,101,79,25,Box 1
Rio Grande,101,80,25,Box 1
Rio Grande,101,81,25,Box 1
Rio Grande,101,82,25,Box 1
Rio Grande,101,83,25,Box 1
Rio Grande,101,84,25,Box 1
Rio Grande,101,85,25,Box 1
Rio Grande,101,86,25,Box 1
Rio Grande,101,87,25,Box 1
Rio Grande,101,88,25,Box 1
Rio Grande,101,89,25,Box 1
Rio Grande,101,90,25,Box 1
Rio Grande,101,91,25,Box 1
Rio Grande,101,92,25,Box 1
Rio Grande,101,93,25,Box 1
Rio Grande,101,94,25,Box 1
Rio Grande,101,95,25,Box 1
Rio Grande,101,96,25,Box 1
Rio Grande,101,97,25,Box 1
Rio Grande,101,98,25,Box 1
Rio Grande,101,99,25,Box 1
Rio Grande,101,100,25,Box 1
Rio Grande,101,101,25,Box 1
Rio Grande,101,102,25,Box 1
Rio Grande,101,103,25,Box 1
Rio Grande,101,104,25,Box 1
Rio Grande,101,105,25,Box 1
Rio Grande,101,106,25,Box 1
Rio Grande,101,107,25,Box 1
Rio Grande,101,108,25,Box 1
Rio Grande,101,109,25,Box 1
Rio Grande,101,110,25,Box 1
Rio Grande,101,111,25,Box 1
Rio Grande,101,112,25,Box 1
Rio Grande,101,113,25,Box 1
Rio Grande,101,114,30,Box 1
Rio Grande,101,115,25,Box 1
Rio Grande,101,116,25,Box 1
Rio Grande,101,117,25,Box 1
Rio Grande,101,118,25,Box 1
Rio Grande,101,119,25,Box 1
Rio Grande,101,120,25,Box 1
Rio Grande,101,121,25,Box 1
Rio Grande,101,122,25,Box 1
Rio Grande,101,123,25,Box 1
Rio Grande,101,124,25,Box 1
Rio Grande,101,125,25,Box 1
Rio Grande,101,126,25,Box 1
Rio Grande,101,127,25,Box 1
Rio Grande,101,128,25,Box 1
Rio Grande,101,129,25,Box 1
Rio Grande,101,130,25,Box 1
Rio Grande,101,131,25,Box 1
Rio Grande,101,132,25,Box 1
Rio Grande,101,133,25,Box 1
Rio Grande,101,134,25,Box 1
Rio Grande,101,135,25,Box 1
Rio Grande,101,136,25,Box 1
Rio Grande,101,137,25,Box 1
Rio Grande,101,138,25,Box 1
Rio Grande,101,139,25,Box 1
Rio Grande,101,140,25,Box 1
Rio Grande,101,141,25,Box 1
Rio Grande,101,142,25,Box 1
Rio Grande,101,143,25,Box 1
Rio Grande,101,144,25,Box 1
Rio Grande,101,145,25,Box 1
Rio Grande,101,146,25,Box 1
Rio Grande,101,147,25,Box 1
Rio Grande,101,148,25,Box 1
Rio Grande,101,149,25,Box 1
Rio Grande,101,150,25,Box 1
Rio Grande,101,151,25,Box 1
Rio Grande,101,152,25,Box 1
Rio Grande,101,153,25,Box 1
Rio Grande,101,154,25,Box 1
Rio Grande,101,155,25,Box 1
Rio Grande,101,156,25,Box 1
Rio Grande,101,157,25,Box 1
Rio Grande,101,158,25,Box 1
Rio Grande,101,159,25,Box 1
Rio Grande,101,160,25,Box 1
Rio Grande,101,161,25,Box 1
Rio Grande,101,162,25,Box 1
Rio Grande,101,163,25,Box 1
Rio Grande,101,164,25,Box 1
Rio Grande,101,165,25,Box 1
Rio Grande,101,166,25,Box 1
Rio Grande,101,167,25,Box 1
Rio Grande,101,168,25,Box 1
Rio Grande,101,169,25,Box 1
Rio Grande,101,170,25,Box 1
Rio Grande,101,171,25,Box 1
Rio Grande,101,172,25,Box 1
Rio Grande,101,173,25,Box 1
Rio Grande,101,174,25,Box 1
Rio Grande,101,175,25,Box 1
Rio Grande,101,176,25,Box 1
Rio Grande,101,177,25,Box 1
Rio Grande,101,178,25,Box 1
Rio Grande,101,179,25,Box 1
Rio Grande,101,180,25,Box 1
Rio Grande,101,181,25,Box 1
Rio Grande,101,182,25,Box 1
Rio Grande,101,183,25,Box 1
Rio Grande,101,184,25,Box 1
Rio Grande,101,185,25,Box 1
Rio Grande,101,186,25,Box 1
Rio Grande,101,187,25,Box 1
Rio Grande,101,188,25,Box 1
Rio Grande,101,189,25,Box 1
Rio Grande,101,190,25,Box 1
Rio Grande,101,191,25,Box 1
Rio Grande,101,192,25,Box 1
Rio Grande,101,193,25,Box 1
Rio Grande,101,194,25,Box 1
Rio Grande,101,195,25,Box 1
Rio Grande,101,196,25,Box 1
Rio Grande,101,197,25,Box 1
Rio Grande,101,198,25,Box 1
Rio Grande,101,199,20,Box 1
Rio Grande,101,200,25,Box 1
Rio Grande,101,201,13,Box 1
