County,Tabulator ID,Batch,# of Ballot Cards,Location
Saguache,101,1,25,Box 1
Saguache,101,2,25,Box 1
Saguache,101,3,25,Box 1
Saguache,101,4,25,Box 1
Saguache,101,5,25,Box 1
Saguache,101,6,25,Box 1
Saguache,101,7,25,Box 1
Saguache,101,8,25,Box 1
Saguache,101,9,25,Box 1
Saguache,101,10,25,Box 1
Saguache,101,11,25,Box 1
Saguache,101,12,25,Box 1
Saguache,101,13,15,Box 1
Saguache,101,14,15,Box 1
Saguache,101,15,15,Box 1
Saguache,101,16,15,Box 1
Saguache,101,17,15,Box 1
Saguache,101,18,15,Box 1
Saguache,101,19,15,Box 1
Saguache,101,20,15,Box 2
Saguache,101,21,15,Box 2
Saguache,101,22,15,Box 2
Saguache,101,23,15,Box 2
Saguache,101,24,15,Box 2
Saguache,101,25,15,Box 2
Saguache,101,26,15,Box 2
Saguache,101,27,15,Box 2
Saguache,101,28,15,Box 2
Saguache,101,29,15,Box 2
Saguache,101,30,15,Box 2
Saguache,101,31,15,Box 2
Saguache,101,32,15,Box 2
Saguache,101,33,15,Box 2
Saguache,101,34,15,Box 2
Saguache,101,35,15,Box 2
Saguache,101,36,15,Box 2
Saguache,101,37,15,Box 2
Saguache,101,38,15,Box 2
Saguache,101,39,15,Box 2
Saguache,101,40,15,Box 2
Saguache,101,41,15,Box 2
Saguache,101,42,15,Box 2
Saguache,101,43,15,Box 2
Saguache,101,44,15,Box 2
Saguache,101,45,15,Box 2
Saguache,101,46,15,Box 2
Saguache,101,47,15,Box 2
Saguache,101,48,15,Box 2
Saguache,101,49,15,Box 2
Saguache,101,50,15,Box 3
Saguache,101,51,15,Box 3
Saguache,101,52,15,Box 3
Saguache,101,53,15,Box 3
Saguache,101,54,15,Box 3
Saguache,101,55,15,Box 3
Saguache,101,56,15,Box 3
Saguache,101,57,15,Box 3
Saguache,101,58,15,Box 3
Saguache,101,59,15,Box 3
Saguache,101,60,15,Box 3
Saguache,101,61,15,Box 3
Saguache,101,62,15,Box 3
Saguache,101,63,15,Box 3
Saguache,101,64,15,Box 3
Saguache,101,65,15,Box 3
Saguache,101,66,15,Box 3
Saguache,101,67,15,Box 3
Saguache,101,68,15,Box 3
Saguache,101,69,15,Box 3
Saguache,101,70,15,Box 3
Saguache,101,71,15,Box 3
Saguache,101,72,15,Box 3
Saguache,101,73,15,Box 3
Saguache,101,74,15,Box 3
Saguache,101,75,15,Box 3
Saguache,101,76,15,Box 3
Saguache,101,77,15,Box 3
Saguache,101,78,15,Box 3
Saguache,101,79,15,Box 4
Saguache,101,80,15,Box 4
Saguache,101,81,15,Box 4
Saguache,101,82,15,Box 4
Saguache,101,83,15,Box 4
Saguache,101,84,15,Box 4
Saguache,101,85,15,Box 4
Saguache,101,86,15,Box 4
Saguache,101,87,15,Box 4
Saguache,101,88,15,Box 4
Saguache,101,89,15,Box 4
Saguache,101,90,15,Box 4
Saguache,101,91,15,Box 4
Saguache,101,92,15,Box 4
Saguache,101,93,15,Box 4
Saguache,101,94,15,Box 4
Saguache,101,95,15,Box 4
Saguache,101,96,15,Box 4
Saguache,101,97,15,Box 4
Saguache,101,98,15,Box 4
Saguache,101,99,15,Box 4
Saguache,101,100,15,Box 4
Saguache,101,101,15,Box 4
Saguache,101,102,15,Box 4
Saguache,101,103,15,Box 4
Saguache,101,104,15,Box 4
Saguache,101,105,15,Box 4
Saguache,101,106,15,Box 4
Saguache,101,107,15,Box 4
Saguache,101,108,15,Box 4
Saguache,101,109,15,Box 4
Saguache,101,110,15,Box 4
Saguache,101,111,15,Box 5
Saguache,101,112,15,Box 5
Saguache,101,113,15,Box 5
Saguache,101,114,15,Box 5
Saguache,101,115,15,Box 5
Saguache,101,116,15,Box 5
Saguache,101,117,15,Box 5
Saguache,101,118,15,Box 5
Saguache,101,119,15,Box 5
Saguache,101,120,15,Box 5
Saguache,101,121,15,Box 5
Saguache,101,122,15,Box 5
Saguache,101,123,15,Box 5
Saguache,101,124,15,Box 5
Saguache,101,125,15,Box 5
Saguache,101,126,15,Box 5
Saguache,101,127,15,Box 5
Saguache,101,128,15,Box 5
Saguache,101,129,15,Box 5
Saguache,101,130,15,Box 5
Saguache,101,131,15,Box 5
Saguache,101,132,15,Box 5
Saguache,101,133,15,Box 5
Saguache,101,134,15,Box 5
Saguache,101,135,15,Box 5
Saguache,101,136,15,Box 5
Saguache,101,137,15,Box 5
Saguache,101,138,15,Box 5
Saguache,101,139,15,Box 5
Saguache,101,140,15,Box 5
Saguache,101,141,15,Box 5
Saguache,101,142,15,Box 5
Saguache,101,143,15,Box 5
Saguache,101,144,15,Box 5
Saguache,101,145,15,Box 5
Saguache,101,146,15,Box 6
Saguache,101,147,15,Box 6
Saguache,101,148,15,Box 6
Saguache,101,149,15,Box 6
Saguache,101,150,15,Box 6
Saguache,101,151,15,Box 6
Saguache,101,152,15,Box 6
Saguache,101,153,15,Box 6
Saguache,101,154,15,Box 6
Saguache,101,155,15,Box 6
Saguache,101,156,15,Box 6
Saguache,101,157,15,Box 6
Saguache,101,158,15,Box 6
Saguache,101,159,15,Box 6
Saguache,101,160,15,Box 6
Saguache,101,161,15,Box 6
Saguache,101,162,15,Box 6
Saguache,101,163,15,Box 6
Saguache,101,164,15,Box 6
Saguache,101,165,15,Box 6
Saguache,101,166,15,Box 6
Saguache,101,167,15,Box 6
Saguache,101,168,15,Box 6
Saguache,101,169,15,Box 6
Saguache,101,170,15,Box 6
Saguache,101,171,15,Box 6
Saguache,101,172,15,Box 6
Saguache,101,173,15,Box 6
Saguache,101,174,15,Box 6
Saguache,101,175,15,Box 6
Saguache,101,176,15,Box 6
Saguache,101,177,15,Box 6
Saguache,101,178,15,Box 6
Saguache,101,179,15,Box 6
Saguache,101,180,15,Box 6
Saguache,101,181,15,Box 7
Saguache,101,182,15,Box 7
Saguache,101,183,15,Box 7
Saguache,101,184,15,Box 7
Saguache,101,185,15,Box 7
Saguache,101,186,15,Box 7
Saguache,101,187,15,Box 7
Saguache,101,188,15,Box 7
Saguache,101,189,15,Box 7
Saguache,101,190,15,Box 7
Saguache,101,191,15,Box 7
Saguache,101,192,15,Box 7
Saguache,101,193,15,Box 7
Saguache,101,194,15,Box 7
Saguache,101,195,15,Box 7
Saguache,101,196,15,Box 7
Saguache,101,197,15,Box 7
Saguache,101,198,15,Box 7
Saguache,101,199,15,Box 7
Saguache,101,200,15,Box 7
Saguache,101,201,15,Box 7
Saguache,101,202,15,Box 7
Saguache,101,203,15,Box 7
Saguache,101,204,15,Box 7
Saguache,101,205,15,Box 7
Saguache,101,206,15,Box 7
Saguache,101,207,15,Box 7
Saguache,101,208,15,Box 7
Saguache,101,209,15,Box 7
Saguache,101,210,15,Box 7
Saguache,101,211,15,Box 7
Saguache,101,212,15,Box 7
Saguache,101,213,15,Box 8
Saguache,101,214,15,Box 8
Saguache,101,215,15,Box 8
Saguache,101,216,15,Box 8
Saguache,101,217,15,Box 8
Saguache,101,218,15,Box 8
Saguache,101,219,15,Box 8
Saguache,101,220,15,Box 8
Saguache,101,221,15,Box 8
Saguache,101,222,15,Box 8
Saguache,101,223,15,Box 8
Saguache,101,224,15,Box 8
Saguache,101,225,15,Box 8
Saguache,101,226,15,Box 8
Saguache,101,227,15,Box 8
Saguache,101,228,15,Box 8
Saguache,101,229,15,Box 8
Saguache,101,230,15,Box 8
Saguache,101,231,15,Box 8
Saguache,101,232,15,Box 8
Saguache,101,233,15,Box 8
Saguache,101,234,15,Box 8
Saguache,101,235,15,Box 8
Saguache,101,236,15,Box 8
Saguache,101,237,15,Box 8
Saguache,101,238,15,Box 8
Saguache,101,239,15,Box 8
Saguache,101,240,15,Box 8
Saguache,101,241,15,Box 8
Saguache,101,242,15,Box 8
Saguache,101,243,15,Box 8
Saguache,101,244,15,Box 8
Saguache,101,245,15,Box 8
Saguache,101,246,15,Box 8
Saguache,101,247,15,Box 8
Saguache,101,248,15,Box 8
Saguache,101,249,15,Box 8
Saguache,101,250,15,Box 8
Saguache,101,251,15,Box 8
Saguache,101,252,15,Box 8
Saguache,101,253,15,Box 8
Saguache,101,254,15,Box 8
Saguache,101,255,15,Box 8
Saguache,101,256,15,Box 8
Saguache,101,257,15,Box 8
Saguache,101,258,15,Box 8
Saguache,101,259,15,Box 8
Saguache,101,260,15,Box 8
Saguache,101,261,15,Box 8
Saguache,101,262,15,Box 9
Saguache,101,263,15,Box 9
Saguache,101,264,15,Box 9
Saguache,101,265,15,Box 9
Saguache,101,266,15,Box 9
Saguache,101,267,15,Box 9
Saguache,101,268,15,Box 9
Saguache,101,269,15,Box 9
Saguache,101,270,15,Box 9
Saguache,101,271,15,Box 9
Saguache,101,272,15,Box 9
Saguache,101,273,15,Box 9
Saguache,101,274,15,Box 9
Saguache,101,275,15,Box 9
Saguache,101,276,15,Box 9
Saguache,101,277,15,Box 9
Saguache,101,278,15,Box 9
Saguache,101,279,15,Box 9
Saguache,101,280,15,Box 9
Saguache,101,281,15,Box 9
Saguache,101,282,15,Box 9
Saguache,101,283,15,Box 9
Saguache,101,284,15,Box 9
Saguache,101,285,15,Box 9
Saguache,101,286,15,Box 9
Saguache,101,287,15,Box 9
Saguache,101,288,15,Box 9
Saguache,101,289,15,Box 9
Saguache,101,290,15,Box 9
Saguache,101,291,15,Box 9
Saguache,101,292,15,Box 9
Saguache,101,293,15,Box 9
Saguache,101,294,15,Box 9
Saguache,101,295,15,Box 9
Saguache,101,296,15,Box 9
Saguache,101,297,15,Box 9
Saguache,101,298,15,Box 9
Saguache,101,299,15,Box 9
Saguache,101,300,15,Box 9
Saguache,101,301,15,Box 9
Saguache,101,302,15,Box 9
Saguache,101,303,15,Box 9
Saguache,101,304,15,Box 9
Saguache,101,305,15,Box 9
Saguache,101,306,15,Box 9
Saguache,101,307,15,Box 9
Saguache,101,308,15,Box 9
Saguache,101,309,15,Box 9
Saguache,101,310,15,Box 9
Saguache,101,311,15,Box 9
Saguache,101,312,15,Box 10
Saguache,101,313,15,Box 10
Saguache,101,314,15,Box 10
Saguache,101,315,15,Box 10
Saguache,101,316,15,Box 10
Saguache,101,317,15,Box 10
Saguache,101,318,15,Box 10
Saguache,101,319,15,Box 10
Saguache,101,320,15,Box 10
Saguache,101,321,15,Box 10
Saguache,101,322,15,Box 10
Saguache,101,323,15,Box 10
Saguache,101,324,15,Box 10
Saguache,101,325,15,Box 10
Saguache,101,326,15,Box 10
Saguache,101,327,15,Box 10
Saguache,101,328,15,Box 10
Saguache,101,329,15,Box 10
Saguache,101,330,15,Box 10
Saguache,101,331,15,Box 10
Saguache,101,332,15,Box 10
Saguache,101,333,15,Box 10
Saguache,101,334,15,Box 10
Saguache,101,335,15,Box 10
Saguache,101,336,15,Box 10
Saguache,101,337,15,Box 10
Saguache,101,338,15,Box 10
Saguache,101,339,15,Box 10
Saguache,101,340,15,Box 10
Saguache,101,341,15,Box 10
Saguache,101,342,15,Box 10
Saguache,101,343,15,Box 10
Saguache,101,344,15,Box 10
Saguache,101,345,15,Box 10
Saguache,101,346,15,Box 10
Saguache,101,347,15,Box 10
Saguache,101,348,15,Box 10
Saguache,101,349,15,Box 10
Saguache,101,350,15,Box 10
Saguache,101,351,15,Box 10
Saguache,101,352,15,Box 10
Saguache,101,353,15,Box 10
Saguache,101,354,15,Box 10
Saguache,101,355,15,Box 10
Saguache,101,356,15,Box 10
Saguache,101,357,15,Box 10
Saguache,101,358,15,Box 10
Saguache,101,359,15,Box 10
Saguache,101,360,15,Box 10
Saguache,101,361,15,Box 10
Saguache,101,362,15,Box 10
Saguache,101,363,15,Box 10
Saguache,101,364,10,Box 10
Saguache,101,365,28,Box 10
