County,Tabulator ID,Batch,# of Ballot Cards,Location
Yuma,101,1,9,1
Yuma,101,2,10,1
Yuma,101,3,10,1
Yuma,101,4,10,1
Yuma,101,5,10,1
Yuma,101,6,10,1
Yuma,101,7,10,1
Yuma,101,8,10,1
Yuma,101,9,10,1
Yuma,101,10,10,1
Yuma,101,11,10,1
Yuma,101,12,10,1
Yuma,101,13,10,1
Yuma,101,14,10,1
Yuma,101,15,10,1
Yuma,101,16,10,1
Yuma,101,17,10,1
Yuma,101,18,10,1
Yuma,101,19,10,1
Yuma,101,20,10,1
Yuma,101,21,10,1
Yuma,101,22,10,1
Yuma,101,23,10,1
Yuma,101,24,10,1
Yuma,101,25,10,1
Yuma,101,26,10,1
Yuma,101,27,10,1
Yuma,101,28,10,1
Yuma,101,29,10,1
Yuma,101,30,10,1
Yuma,101,31,10,1
Yuma,101,32,10,1
Yuma,101,33,10,1
Yuma,101,34,10,1
Yuma,101,35,10,1
Yuma,101,36,10,1
Yuma,101,37,10,1
Yuma,101,38,10,1
Yuma,101,39,10,1
Yuma,101,40,10,1
Yuma,101,41,10,1
Yuma,101,42,10,1
Yuma,101,43,10,1
Yuma,101,44,10,1
Yuma,101,45,10,1
Yuma,101,46,10,1
Yuma,101,47,10,1
Yuma,101,48,10,1
Yuma,101,49,10,1
Yuma,101,50,10,1
Yuma,101,51,10,1
Yuma,101,52,10,1
Yuma,101,53,10,1
Yuma,101,54,10,1
Yuma,101,55,10,1
Yuma,101,56,10,1
Yuma,101,57,10,1
Yuma,101,58,10,1
Yuma,101,59,10,1
Yuma,101,60,10,1
Yuma,101,61,10,1
Yuma,101,62,10,1
Yuma,101,63,10,1
Yuma,101,64,10,1
Yuma,101,65,10,1
Yuma,101,66,10,1
Yuma,101,67,10,1
Yuma,101,68,10,1
Yuma,101,69,10,1
Yuma,101,70,10,1
Yuma,101,71,10,1
Yuma,101,72,10,1
Yuma,101,73,10,1
Yuma,101,74,10,1
Yuma,101,75,9,1
Yuma,101,76,10,1
Yuma,101,77,10,1
Yuma,101,78,10,1
Yuma,101,79,10,1
Yuma,101,80,10,1
Yuma,101,81,10,1
Yuma,101,82,10,1
Yuma,101,83,10,1
Yuma,101,84,10,1
Yuma,101,85,10,1
Yuma,101,86,10,1
Yuma,101,87,10,1
Yuma,101,88,10,1
Yuma,101,89,10,1
Yuma,101,90,10,1
Yuma,101,91,10,1
Yuma,101,92,10,1
Yuma,101,93,10,1
Yuma,101,94,10,1
Yuma,101,95,10,1
Yuma,101,96,10,1
Yuma,101,97,10,1
Yuma,101,98,10,1
Yuma,101,99,10,1
Yuma,101,100,10,1
Yuma,101,101,10,1
Yuma,101,102,10,1
Yuma,101,103,10,1
Yuma,101,104,10,1
Yuma,101,105,10,1
Yuma,101,106,9,1
Yuma,101,107,10,1
Yuma,101,108,10,1
Yuma,101,109,10,1
Yuma,101,110,10,1
Yuma,101,111,10,1
Yuma,101,112,10,1
Yuma,101,113,10,1
Yuma,101,114,10,1
Yuma,101,115,10,1
Yuma,101,116,10,1
Yuma,101,117,10,1
Yuma,101,118,10,1
Yuma,101,119,10,1
Yuma,101,120,10,1
Yuma,101,121,10,1
Yuma,101,122,10,1
Yuma,101,123,9,1
Yuma,101,124,10,1
Yuma,101,125,10,1
Yuma,101,126,10,1
Yuma,101,127,10,1
Yuma,101,128,10,1
Yuma,101,129,10,1
Yuma,101,130,9,1
Yuma,101,131,10,1
Yuma,101,132,10,1
Yuma,101,133,10,1
Yuma,101,134,10,1
Yuma,101,135,10,1
Yuma,101,136,10,2
Yuma,101,137,10,2
Yuma,101,138,10,2
Yuma,101,139,10,2
Yuma,101,140,10,2
Yuma,101,141,10,2
Yuma,101,142,10,2
Yuma,101,143,10,2
Yuma,101,144,10,2
Yuma,101,145,10,2
Yuma,101,146,10,2
Yuma,101,147,9,2
Yuma,101,148,10,2
Yuma,101,149,10,2
Yuma,101,150,9,2
Yuma,101,151,10,2
Yuma,101,152,10,2
Yuma,101,153,10,2
Yuma,101,154,10,2
Yuma,101,155,10,2
Yuma,101,156,10,2
Yuma,101,157,10,2
Yuma,101,158,10,2
Yuma,101,159,9,2
Yuma,101,160,10,2
Yuma,101,161,10,2
Yuma,101,162,10,2
Yuma,101,163,10,2
Yuma,101,164,10,2
Yuma,101,165,10,2
Yuma,101,166,10,2
Yuma,101,167,10,2
Yuma,101,168,10,2
Yuma,101,169,10,2
Yuma,101,170,10,2
Yuma,101,171,10,2
Yuma,101,172,10,2
Yuma,101,173,10,2
Yuma,101,174,10,2
Yuma,101,175,10,2
Yuma,101,176,10,2
Yuma,101,177,10,2
Yuma,101,178,10,2
Yuma,101,179,10,2
Yuma,101,180,10,2
Yuma,101,181,10,2
Yuma,101,182,10,2
Yuma,101,183,10,2
Yuma,101,184,10,2
Yuma,101,185,10,2
Yuma,101,186,10,2
Yuma,101,187,10,2
Yuma,101,188,10,2
Yuma,101,189,10,2
Yuma,101,190,10,2
Yuma,101,191,10,2
Yuma,101,192,10,2
Yuma,101,193,10,2
Yuma,101,194,10,2
Yuma,101,195,10,2
Yuma,101,196,10,2
Yuma,101,197,10,2
Yuma,101,198,10,2
Yuma,101,199,10,2
Yuma,101,200,9,2
Yuma,101,201,10,2
Yuma,101,202,10,2
Yuma,101,203,10,2
Yuma,101,204,10,2
Yuma,101,205,10,2
Yuma,101,206,10,2
Yuma,101,207,10,2
Yuma,101,208,10,2
Yuma,101,209,10,2
Yuma,101,210,10,2
Yuma,101,211,10,2
Yuma,101,212,10,2
Yuma,101,213,10,2
Yuma,101,214,10,2
Yuma,101,215,10,2
Yuma,101,216,10,2
Yuma,101,217,10,2
Yuma,101,218,10,2
Yuma,101,219,10,2
Yuma,101,220,10,2
Yuma,101,221,10,2
Yuma,101,222,10,2
Yuma,101,223,10,2
Yuma,101,224,10,2
Yuma,101,225,10,2
Yuma,101,226,10,2
Yuma,101,227,10,2
Yuma,101,228,10,2
Yuma,101,229,9,2
Yuma,101,230,10,2
Yuma,101,231,10,2
Yuma,101,232,10,2
Yuma,101,233,10,2
Yuma,101,234,10,2
Yuma,101,235,10,2
Yuma,101,236,10,2
Yuma,101,237,10,2
Yuma,101,238,10,2
Yuma,101,239,10,2
Yuma,101,240,10,2
Yuma,101,241,10,2
Yuma,101,242,10,2
Yuma,101,243,10,2
Yuma,101,244,10,2
Yuma,101,245,10,2
Yuma,101,246,10,2
Yuma,101,247,10,2
Yuma,101,248,10,2
Yuma,101,249,10,2
Yuma,101,250,10,2
Yuma,101,251,10,2
Yuma,101,252,10,2
Yuma,101,253,10,2
Yuma,101,254,10,3
Yuma,101,255,10,3
Yuma,101,256,10,3
Yuma,101,257,10,3
Yuma,101,258,9,3
Yuma,101,259,9,3
Yuma,101,260,10,3
Yuma,101,261,10,3
Yuma,101,262,10,3
Yuma,101,263,10,3
Yuma,101,264,10,3
Yuma,101,265,10,3
Yuma,101,266,10,3
Yuma,101,267,10,3
Yuma,101,268,10,3
Yuma,101,269,10,3
Yuma,101,270,10,3
Yuma,101,271,10,3
Yuma,101,272,10,3
Yuma,101,273,10,3
Yuma,101,274,10,3
Yuma,101,275,10,3
Yuma,101,276,10,3
Yuma,101,277,10,3
Yuma,101,278,10,3
Yuma,101,279,10,3
Yuma,101,280,10,3
Yuma,101,281,10,3
Yuma,101,282,10,3
Yuma,101,283,10,3
Yuma,101,284,10,3
Yuma,101,285,10,3
Yuma,101,286,10,3
Yuma,101,287,10,3
Yuma,101,288,10,3
Yuma,101,289,10,3
Yuma,101,290,10,3
Yuma,101,291,10,3
Yuma,101,292,10,3
Yuma,101,293,10,3
Yuma,101,294,10,3
Yuma,101,295,10,3
Yuma,101,296,10,3
Yuma,101,297,10,3
Yuma,101,298,10,3
Yuma,101,299,10,3
Yuma,101,300,10,3
Yuma,101,301,10,3
Yuma,101,302,10,3
Yuma,101,303,10,3
Yuma,101,304,9,3
Yuma,101,305,10,3
Yuma,101,306,10,3
Yuma,101,307,10,3
Yuma,101,308,10,3
Yuma,101,309,10,3
Yuma,101,310,10,3
Yuma,101,311,10,3
Yuma,101,312,10,3
Yuma,101,313,10,3
Yuma,101,314,10,3
Yuma,101,315,9,3
Yuma,101,316,10,3
Yuma,101,317,10,3
Yuma,101,318,10,3
Yuma,101,319,10,3
Yuma,101,320,10,3
Yuma,101,321,10,3
Yuma,101,322,10,3
Yuma,101,323,10,3
Yuma,101,324,10,3
Yuma,101,325,10,3
Yuma,101,326,17,3
Yuma,101,327,15,3
Yuma,101,328,21,3
Yuma,101,329,10,3
Yuma,101,330,10,3
Yuma,101,331,10,3
Yuma,101,332,10,3
Yuma,101,333,10,3
Yuma,101,334,10,3
Yuma,101,335,10,3
Yuma,101,336,10,3
Yuma,101,337,20,3
Yuma,101,338,20,3
Yuma,101,339,9,3
Yuma,101,340,20,3
Yuma,101,341,20,3
Yuma,101,342,8,3
Yuma,101,343,10,3
Yuma,101,344,10,3
Yuma,101,345,10,3
Yuma,101,346,10,3
Yuma,101,347,10,3
Yuma,101,348,10,3
Yuma,101,349,10,3
Yuma,101,350,10,3
Yuma,101,351,10,3
Yuma,101,352,10,3
Yuma,101,353,10,3
Yuma,101,354,10,3
Yuma,101,355,10,3
Yuma,101,356,10,3
Yuma,101,357,10,3
Yuma,101,358,10,3
Yuma,101,359,10,3
Yuma,101,360,10,3
Yuma,101,361,10,3
Yuma,101,362,10,3
Yuma,101,363,10,3
Yuma,101,364,10,3
Yuma,101,365,10,3
Yuma,101,366,10,3
Yuma,101,367,10,3
Yuma,101,368,10,3
Yuma,101,369,10,3
Yuma,101,370,10,3
Yuma,101,371,10,3
Yuma,101,372,10,3
Yuma,101,373,10,3
Yuma,101,374,10,3
Yuma,101,375,10,3
Yuma,101,376,10,4
Yuma,101,377,10,4
Yuma,101,378,10,4
Yuma,101,379,10,4
Yuma,101,380,10,4
Yuma,101,381,10,4
Yuma,101,382,10,4
Yuma,101,383,10,4
Yuma,101,384,10,4
Yuma,101,385,10,4
Yuma,101,386,10,4
Yuma,101,387,10,4
Yuma,101,388,10,4
Yuma,101,389,10,4
Yuma,101,390,10,4
Yuma,101,391,10,4
Yuma,101,392,10,4
Yuma,101,393,10,5
Yuma,101,394,13,5
Yuma,101,395,15,5
Yuma,101,396,15,5
Yuma,101,397,15,5
Yuma,101,398,15,5
Yuma,101,399,15,5
Yuma,101,400,15,5
Yuma,101,401,15,5
Yuma,101,402,15,5
Yuma,101,403,15,5
Yuma,101,404,14,5
Yuma,101,405,5,6
Yuma,101,406,15,6
Yuma,101,407,15,6
Yuma,101,408,10,6
Yuma,101,409,10,6
Yuma,101,410,10,6
Yuma,101,411,10,6
Yuma,101,412,10,6
Yuma,101,413,10,6
Yuma,101,414,10,6
Yuma,101,415,10,6
Yuma,101,416,10,6
Yuma,101,417,10,6
Yuma,101,418,10,6
Yuma,101,419,10,6
Yuma,101,420,10,6
Yuma,101,421,10,6
Yuma,101,422,10,6
Yuma,101,423,10,6
Yuma,101,424,10,6
Yuma,101,425,10,6
Yuma,101,426,10,6
Yuma,101,427,10,6
Yuma,101,428,10,6
Yuma,101,429,10,6
Yuma,101,430,10,6
Yuma,101,431,10,6
Yuma,101,432,10,6
Yuma,101,433,10,6
Yuma,101,434,10,6
Yuma,101,435,10,6
Yuma,101,436,10,6
Yuma,101,437,10,6
Yuma,101,438,9,6
Yuma,101,439,1,6
Yuma,101,440,10,6
Yuma,101,441,10,6
Yuma,101,442,10,6
Yuma,101,443,10,6
Yuma,101,444,10,6
