County,Tabulator ID,Batch,# of Ballot Cards,Location
Arapahoe,3,1,100,ICC 03-1
Arapahoe,3,2,99,ICC 03-1
Arapahoe,3,3,98,ICC 03-1
Arapahoe,3,4,100,ICC 03-1
Arapahoe,3,5,100,ICC 03-1
Arapahoe,3,6,99,ICC 03-1
Arapahoe,3,7,100,ICC 03-1
Arapahoe,3,8,99,ICC 03-1
Arapahoe,3,9,100,ICC 03-1
Arapahoe,3,10,100,ICC 03-1
Arapahoe,3,11,100,ICC 03-1
Arapahoe,3,12,99,ICC 03-1
Arapahoe,3,13,97,ICC 03-1
Arapahoe,3,14,100,ICC 03-1
Arapahoe,3,15,100,ICC 03-1
Arapahoe,3,16,96,ICC 03-2
Arapahoe,3,17,99,ICC 03-2
Arapahoe,3,18,95,ICC 03-2
Arapahoe,3,19,100,ICC 03-2
Arapahoe,3,20,100,ICC 03-2
Arapahoe,3,21,100,ICC 03-2
Arapahoe,3,22,96,ICC 03-2
Arapahoe,3,23,100,ICC 03-2
Arapahoe,3,24,89,ICC 03-2
Arapahoe,3,25,100,ICC 03-2
Arapahoe,3,26,100,ICC 03-2
Arapahoe,3,27,100,ICC 03-2
Arapahoe,3,28,93,ICC 03-2
Arapahoe,3,29,97,ICC 03-2
Arapahoe,3,30,94,ICC 03-2
Arapahoe,3,31,100,ICC 03-3
Arapahoe,3,32,100,ICC 03-3
Arapahoe,3,33,100,ICC 03-3
Arapahoe,3,34,100,ICC 03-3
Arapahoe,3,35,100,ICC 03-3
Arapahoe,3,36,100,ICC 03-3
Arapahoe,3,37,99,ICC 03-3
Arapahoe,3,38,93,ICC 03-3
Arapahoe,3,39,100,ICC 03-3
Arapahoe,3,40,100,ICC 03-3
Arapahoe,3,41,94,ICC 03-3
Arapahoe,3,42,98,ICC 03-3
Arapahoe,3,43,100,ICC 03-3
Arapahoe,3,44,98,ICC 03-3
Arapahoe,3,45,100,ICC 03-3
Arapahoe,3,46,99,ICC 03-4
Arapahoe,3,47,100,ICC 03-4
Arapahoe,3,48,98,ICC 03-4
Arapahoe,3,49,100,ICC 03-4
Arapahoe,3,50,96,ICC 03-4
Arapahoe,3,51,100,ICC 03-4
Arapahoe,3,52,100,ICC 03-4
Arapahoe,3,53,99,ICC 03-4
Arapahoe,3,54,94,ICC 03-4
Arapahoe,3,55,100,ICC 03-4
Arapahoe,3,56,100,ICC 03-4
Arapahoe,3,57,94,ICC 03-4
Arapahoe,3,58,100,ICC 03-4
Arapahoe,3,59,100,ICC 03-4
Arapahoe,3,60,100,ICC 03-4
Arapahoe,3,61,100,ICC 03-5
Arapahoe,3,62,100,ICC 03-5
Arapahoe,3,63,98,ICC 03-5
