County,Tabulator ID,Batch,# of Ballot Cards,Location
Baca,5,1,25,BCC-1
Baca,5,2,25,BCC-1
Baca,5,3,25,BCC-1
Baca,5,4,25,BCC-1
Baca,5,5,25,BCC-1
Baca,5,6,25,BCC-1
Baca,5,7,25,BCC-1
Baca,5,8,25,BCC-1
Baca,5,9,25,BCC-1
Baca,5,10,25,BCC-1
Baca,5,11,25,BCC-1
Baca,5,12,25,BCC-1
Baca,5,13,25,BCC-1
Baca,5,14,25,BCC-1
Baca,5,15,25,BCC-1
Baca,5,16,25,BCC-1
Baca,5,17,25,BCC-1
Baca,5,18,25,BCC-1
Baca,5,19,25,BCC-1
Baca,5,20,25,BCC-1
Baca,5,21,25,BCC-1
Baca,5,22,25,BCC-1
Baca,5,23,25,BCC-1
Baca,5,24,25,BCC-1
Baca,5,25,25,BCC-1
Baca,5,26,25,BCC-1
Baca,5,27,25,BCC-1
Baca,5,28,25,BCC-1
Baca,5,29,25,BCC-1
Baca,5,30,25,BCC-1
Baca,5,31,25,BCC-1
Baca,5,32,25,BCC-1
Baca,5,33,25,BCC-1
Baca,5,34,25,BCC-1
Baca,5,35,25,BCC-1
Baca,5,36,25,BCC-1
Baca,5,37,25,BCC-1
Baca,5,38,25,BCC-1
Baca,5,39,25,BCC-1
Baca,5,40,25,BCC-1
Baca,5,41,25,BCC-1
Baca,5,42,25,BCC-1
Baca,5,43,25,BCC-1
Baca,5,44,25,BCC-1
Baca,5,45,25,BCC-1
Baca,5,46,25,BCC-1
Baca,5,47,25,BCC-1
Baca,5,48,25,BCC-1
Baca,5,49,25,BCC-1
Baca,5,50,25,BCC-1
Baca,5,51,25,BCC-1
Baca,5,52,15,BCC-1
Baca,5,53,21,BCC-1
