County,Tabulator ID,Batch,# of Ballot Cards,Location
Boulder,1,1,149,1
Boulder,1,2,146,1
Boulder,1,3,149,1
Boulder,1,4,148,1
Boulder,1,5,148,1
Boulder,1,6,149,1
Boulder,1,7,149,1
Boulder,1,8,150,1
Boulder,1,9,148,1
Boulder,1,10,150,10
Boulder,1,11,150,10
Boulder,1,12,146,10
Boulder,1,13,149,10
Boulder,1,14,147,10
Boulder,1,15,147,10
Boulder,1,16,147,10
Boulder,1,17,148,10
Boulder,1,18,149,10
Boulder,1,19,142,19
Boulder,1,20,147,19
Boulder,1,21,149,19
Boulder,1,22,150,19
Boulder,1,23,146,19
Boulder,1,24,149,19
Boulder,1,25,147,19
Boulder,1,26,146,19
Boulder,1,27,149,28
Boulder,1,28,150,28
Boulder,1,29,150,28
Boulder,1,30,150,28
Boulder,1,31,148,28
Boulder,1,32,148,28
Boulder,1,33,149,28
Boulder,1,34,146,28
Boulder,1,35,142,38
Boulder,1,36,149,38
Boulder,1,37,149,38
Boulder,1,38,148,38
Boulder,1,39,148,38
Boulder,1,40,147,38
Boulder,1,41,150,38
Boulder,1,42,148,38
Boulder,1,43,145,44
Boulder,1,44,150,44
Boulder,1,45,149,44
Boulder,1,46,149,44
Boulder,1,47,149,44
Boulder,1,48,146,44
Boulder,1,49,150,44
Boulder,1,50,149,44
Boulder,1,51,150,46
Boulder,1,52,149,46
Boulder,1,53,150,46
Boulder,1,54,146,46
Boulder,1,55,150,46
Boulder,1,56,149,46
Boulder,1,57,149,46
Boulder,1,58,149,46
Boulder,1,59,148,47
Boulder,1,60,150,47
Boulder,1,61,150,47
Boulder,1,62,150,47
Boulder,1,63,150,47
Boulder,1,64,149,47
Boulder,1,65,148,47
Boulder,1,66,149,47
Boulder,1,67,149,48
Boulder,1,68,147,48
Boulder,1,69,149,48
Boulder,1,70,144,48
Boulder,1,71,148,48
Boulder,1,72,147,48
Boulder,1,73,148,48
Boulder,1,74,148,48
Boulder,1,75,148,56
Boulder,1,76,150,56
Boulder,1,77,147,56
Boulder,1,78,143,56
Boulder,1,79,146,56
Boulder,1,80,154,56
Boulder,1,81,146,56
Boulder,1,82,148,56
Boulder,1,83,146,59
Boulder,1,84,148,59
Boulder,1,85,150,59
Boulder,1,86,148,59
Boulder,1,87,148,59
Boulder,1,88,145,59
Boulder,1,89,148,59
Boulder,1,90,145,59
Boulder,1,91,149,31
Boulder,1,92,145,31
Boulder,1,93,149,31
Boulder,1,94,150,31
Boulder,1,95,150,31
Boulder,1,96,149,31
Boulder,1,97,149,31
Boulder,1,98,150,31
Boulder,1,99,149,61
Boulder,1,100,149,61
Boulder,1,101,150,61
Boulder,1,102,149,61
Boulder,1,103,146,61
Boulder,1,104,147,61
Boulder,1,105,150,61
Boulder,1,106,149,61
Boulder,1,107,145,51
Boulder,1,108,33,51
Boulder,1,109,23,51
Boulder,1,110,2,51
Boulder,1,111,10,51
Boulder,1,112,150,51
Boulder,1,113,76,51
Boulder,1,114,23,51
Boulder,1,115,1,51
Boulder,1,116,148,51
Boulder,1,117,144,51
Boulder,1,118,106,51
Boulder,1,119,149,51
Boulder,1,120,63,51
Boulder,1,121,149,65
Boulder,1,122,150,65
Boulder,1,123,144,65
Boulder,2,1,146,2
Boulder,2,2,150,2
Boulder,2,3,148,2
Boulder,2,4,149,2
Boulder,2,5,146,2
Boulder,2,6,146,2
Boulder,2,7,147,2
Boulder,2,8,145,2
Boulder,2,9,148,27
Boulder,2,10,150,27
Boulder,2,11,150,27
Boulder,2,12,149,27
Boulder,2,13,147,27
Boulder,2,14,148,27
Boulder,2,15,159,27
Boulder,2,16,302,27
Boulder,2,17,221,60
Boulder,2,18,103,60
Boulder,2,19,79,60
Boulder,2,20,5,60
Boulder,2,21,250,60
Boulder,2,22,152,60
Boulder,3,1,146,3
Boulder,3,2,148,3
Boulder,3,3,121,3
Boulder,3,4,0,3
Boulder,3,5,148,3
Boulder,3,6,148,3
Boulder,3,7,148,3
Boulder,3,8,149,3
Boulder,3,9,128,3
Boulder,3,10,149,12
Boulder,3,11,150,12
Boulder,3,12,149,12
Boulder,3,13,147,12
Boulder,3,14,149,12
Boulder,3,15,148,12
Boulder,3,16,147,12
Boulder,3,17,150,12
Boulder,3,18,146,20
Boulder,3,19,149,20
Boulder,3,20,148,20
Boulder,3,21,149,20
Boulder,3,22,149,20
Boulder,3,23,148,20
Boulder,3,24,150,20
Boulder,3,25,149,20
Boulder,3,26,149,29
Boulder,3,27,149,29
Boulder,3,28,148,29
Boulder,3,29,145,29
Boulder,3,30,148,29
Boulder,3,31,150,29
Boulder,3,32,147,29
Boulder,3,33,149,29
Boulder,3,34,148,39
Boulder,3,35,149,39
Boulder,3,36,148,39
Boulder,3,37,150,39
Boulder,3,38,150,39
Boulder,3,39,146,39
Boulder,3,40,150,39
Boulder,3,41,149,39
Boulder,3,42,148,11
Boulder,3,43,150,11
Boulder,3,44,148,11
Boulder,3,45,149,11
Boulder,3,46,145,11
Boulder,3,47,149,11
Boulder,3,48,147,11
Boulder,3,49,147,11
Boulder,3,50,148,21
Boulder,3,51,150,21
Boulder,3,52,149,21
Boulder,3,53,149,21
Boulder,3,54,150,21
Boulder,3,55,148,21
Boulder,3,56,148,21
Boulder,3,57,149,21
Boulder,3,58,150,50
Boulder,3,59,149,50
Boulder,3,60,147,50
Boulder,3,61,150,50
Boulder,3,62,148,50
Boulder,4,1,148,4
Boulder,4,2,148,4
Boulder,4,3,148,4
Boulder,4,4,147,4
Boulder,4,5,149,4
Boulder,4,6,148,4
Boulder,4,7,147,4
Boulder,4,8,147,4
Boulder,4,9,148,13
Boulder,4,10,146,13
