"County","Tabulator ID","Batch",". of Ballots","Location"
"Douglas","1","PRI-0001",100,23
"Douglas","1","PRI-0002",100,26
"Douglas","1","PRI-0003",64,26
"Douglas","1","PRI-0004",100,26
"Douglas","1","PRI-0005",100,23
"Douglas","1","PRI-0006",100,26
"Douglas","1","PRI-0007",100,29
"Douglas","1","PRI-0008",100,31
"Douglas","1","PRI-0009",100,23
"Douglas","1","PRI-0010",100,23
"Douglas","1","PRI-0011",100,29
"Douglas","1","PRI-0012",100,27
"Douglas","1","PRI-0013",100,27
"Douglas","1","PRI-0014",100,29
"Douglas","1","PRI-0015",94,23
"Douglas","1","PRI-0016",100,26
"Douglas","1","PRI-0017",100,26
"Douglas","1","PRI-0018",100,27
"Douglas","1","PRI-0019",100,29
"Douglas","1","PRI-0020",100,23
"Douglas","1","PRI-0021",100,27
"Douglas","1","PRI-0022",100,29
"Douglas","1","PRI-0023",99,27
"Douglas","1","PRI-0024",100,23
"Douglas","1","PRI-0025",100,23
"Douglas","1","PRI-0026",100,23
"Douglas","1","PRI-0027",72,29
"Douglas","1","PRI-0028",44,29
"Douglas","1","PRI-0029",100,27
"Douglas","1","PRI-0030",100,27
"Douglas","1","PRI-0031",100,27
"Douglas","1","PRI-0032",100,29
"Douglas","1","PRI-0033",100,29
"Douglas","1","PRI-0034",100,29
"Douglas","1","PRI-0035",99,31
"Douglas","1","PRI-0036",100,26
"Douglas","1","PRI-0037",100,26
"Douglas","1","PRI-0038",100,27
"Douglas","1","PRI-0039",100,26
"Douglas","1","PRI-0040",100,26
"Douglas","1","PRI-0041",100,27
"Douglas","1","PRI-0042",100,27
"Douglas","1","PRI-0043",100,27
"Douglas","1","PRI-0044",85,29
"Douglas","1","PRI-0045",100,29
"Douglas","1","PRI-0046",20,42
"Douglas","1","PRI-0047",100,29
"Douglas","1","PRI-0048",80,44
"Douglas","1","PRI-0049",100,42
"Douglas","1","PRI-0050",100,44
"Douglas","1","PRI-0051",100,44
"Douglas","1","PRI-0052",100,33
"Douglas","1","PRI-0053",100,23
"Douglas","1","PRI-0054",100,44
"Douglas","1","PRI-0055",100,23
"Douglas","1","PRI-0056",100,41
"Douglas","1","PRI-0057",100,46
"Douglas","1","PRI-0058",100,23
"Douglas","1","PRI-0059",100,29
"Douglas","1","PRI-0060",100,27
"Douglas","1","PRI-0061",100,27
"Douglas","1","PRI-0062",99,44
"Douglas","1","PRI-0063",100,46
