County,Tabulator,Batch,# of Ballots,Location
El Paso,10,1,99,Box 1
El Paso,10,2,95,Box 1
El Paso,10,3,96,Box 1
El Paso,10,4,97,Box 1
El Paso,10,5,95,Box 1
El Paso,10,6,98,Box 1
El Paso,10,7,98,Box 1
El Paso,10,8,100,Box 1
El Paso,10,9,95,Box 1
El Paso,10,10,97,Box 1
El Paso,10,11,98,Box 2
El Paso,10,12,100,Box 2
El Paso,10,13,97,Box 2
El Paso,10,14,98,Box 2
El Paso,10,15,99,Box 2
El Paso,10,16,96,Box 2
El Paso,10,17,97,Box 2
El Paso,10,18,98,Box 2
El Paso,10,19,99,Box 2
El Paso,10,20,100,Box 2
El Paso,10,21,99,Box 3
El Paso,10,22,99,Box 3
El Paso,10,23,98,Box 3
El Paso,10,24,77,Box 3
El Paso,10,25,99,Box 3
El Paso,10,26,51,Box 3
El Paso,10,27,95,Box 3
El Paso,10,28,99,Box 3
El Paso,10,29,97,Box 3
El Paso,10,30,100,Box 3
El Paso,10,31,98,Box 4
El Paso,10,32,98,Box 4
El Paso,10,33,99,Box 4
El Paso,10,34,99,Box 4
El Paso,10,35,97,Box 4
El Paso,10,36,97,Box 4
El Paso,10,37,100,Box 4
El Paso,10,38,100,Box 4
El Paso,10,39,4,Box 4
El Paso,10,40,98,Box 4
El Paso,10,41,98,Box 5
El Paso,10,42,100,Box 5
El Paso,10,43,98,Box 5
El Paso,10,44,98,Box 5
El Paso,10,45,66,Box 5
El Paso,10,46,100,Box 5
El Paso,10,47,100,Box 5
El Paso,10,48,100,Box 5
El Paso,10,49,100,Box 5
El Paso,10,50,100,Box 5
El Paso,10,51,99,Box 6
El Paso,10,52,98,Box 6
El Paso,10,53,100,Box 6
El Paso,10,54,98,Box 6
El Paso,10,55,100,Box 6
El Paso,10,56,99,Box 6
El Paso,10,57,100,Box 6
El Paso,10,58,100,Box 6
El Paso,10,59,98,Box 6
El Paso,10,60,100,Box 6
El Paso,10,61,99,Box 7
El Paso,10,62,24,Box 7
El Paso,10,63,40,Box 7
El Paso,10,64,96,Box 7
El Paso,10,65,99,Box 7
El Paso,10,66,97,Box 7
El Paso,10,67,99,Box 7
El Paso,10,68,97,Box 7
El Paso,10,69,98,Box 7
El Paso,10,70,100,Box 7
El Paso,10,71,100,Box 8
El Paso,10,72,99,Box 8
El Paso,10,73,99,Box 8
El Paso,10,74,97,Box 8
El Paso,10,75,100,Box 8
El Paso,10,76,96,Box 8
El Paso,10,77,100,Box 8
El Paso,10,78,99,Box 8
El Paso,10,79,99,Box 8
El Paso,10,80,98,Box 8
El Paso,10,81,99,Box 9
El Paso,10,82,100,Box 9
El Paso,10,83,100,Box 9
El Paso,10,84,96,Box 9
El Paso,10,85,100,Box 9
El Paso,10,86,99,Box 9
El Paso,10,87,99,Box 9
El Paso,10,88,100,Box 9
El Paso,10,89,100,Box 9
El Paso,10,90,100,Box 9
El Paso,10,91,100,Box 10
El Paso,10,92,100,Box 10
El Paso,10,93,99,Box 10
El Paso,10,94,100,Box 10
El Paso,10,95,99,Box 10
El Paso,10,96,94,Box 10
El Paso,10,97,99,Box 10
El Paso,10,98,99,Box 10
El Paso,10,99,97,Box 10
El Paso,10,100,100,Box 10
El Paso,10,101,96,Box 11
El Paso,10,102,99,Box 11
El Paso,10,103,99,Box 11
El Paso,10,104,98,Box 11
El Paso,10,105,100,Box 11
El Paso,10,106,100,Box 11
El Paso,10,107,40,Box 11
El Paso,10,108,100,Box 11
El Paso,10,109,99,Box 11
El Paso,10,110,100,Box 11
El Paso,10,111,100,Box 12
El Paso,10,112,97,Box 12
El Paso,10,113,100,Box 12
El Paso,10,114,99,Box 12
El Paso,10,115,98,Box 12
El Paso,10,116,99,Box 12
El Paso,10,117,100,Box 12
El Paso,10,118,97,Box 12
El Paso,10,119,46,Box 12
El Paso,10,120,100,Box 12
El Paso,10,121,99,Box 13
El Paso,10,122,99,Box 13
El Paso,10,123,100,Box 13
El Paso,10,124,100,Box 13
El Paso,10,125,98,Box 13
El Paso,10,126,99,Box 13
El Paso,10,127,99,Box 13
El Paso,10,128,99,Box 13
El Paso,10,129,99,Box 13
El Paso,10,130,100,Box 13
El Paso,10,131,100,Box 14
El Paso,10,132,100,Box 14
El Paso,10,133,100,Box 14
El Paso,10,134,54,Box 14
El Paso,10,135,100,Box 14
El Paso,10,136,97,Box 14
El Paso,10,137,100,Box 14
El Paso,10,138,100,Box 14
El Paso,10,139,97,Box 14
El Paso,10,140,100,Box 14
El Paso,10,141,33,Box 15
El Paso,10,142,98,Box 15
El Paso,10,143,100,Box 15
El Paso,10,144,98,Box 15
El Paso,10,145,34,Box 15
El Paso,10,146,100,Box 15
El Paso,10,147,98,Box 15
El Paso,10,148,3,Box 15
El Paso,10,149,99,Box 15
El Paso,10,150,100,Box 15
El Paso,10,151,94,Box 16
El Paso,10,152,99,Box 16
El Paso,10,153,100,Box 16
El Paso,10,154,100,Box 16
El Paso,10,155,95,Box 16
El Paso,10,156,100,Box 16
El Paso,10,157,99,Box 16
El Paso,10,158,99,Box 16
El Paso,10,159,100,Box 16
El Paso,10,160,100,Box 16
El Paso,10,161,99,Box 17
El Paso,10,162,100,Box 17
El Paso,10,163,98,Box 17
El Paso,10,164,99,Box 17
El Paso,10,165,100,Box 17
El Paso,10,166,99,Box 17
El Paso,10,167,100,Box 17
El Paso,10,168,100,Box 17
El Paso,10,169,100,Box 17
El Paso,10,170,100,Box 17
El Paso,10,171,100,Box 18
El Paso,10,172,100,Box 18
El Paso,10,173,98,Box 18
El Paso,10,174,99,Box 18
El Paso,10,175,100,Box 18
El Paso,10,176,100,Box 18
El Paso,10,177,100,Box 18
El Paso,10,178,94,Box 18
El Paso,10,179,100,Box 18
El Paso,10,180,100,Box 18
El Paso,10,181,98,Box 19
El Paso,10,182,98,Box 19
El Paso,10,183,100,Box 19
El Paso,10,184,100,Box 19
El Paso,10,185,100,Box 19
El Paso,10,186,100,Box 19
El Paso,10,187,99,Box 19
El Paso,10,188,98,Box 19
El Paso,10,189,100,Box 19
El Paso,10,190,100,Box 19
El Paso,10,191,100,Box 20
El Paso,10,192,8,Box 20
El Paso,10,193,100,Box 20
El Paso,10,194,100,Box 20
El Paso,10,195,98,Box 20
El Paso,10,196,100,Box 20
El Paso,10,197,1,Box 20
El Paso,10,198,100,Box 20
El Paso,10,199,99,Box 20
El Paso,10,200,100,Box 20
El Paso,10,201,95,Box 21
El Paso,10,202,100,Box 21
El Paso,10,203,99,Box 21
El Paso,10,204,100,Box 21
El Paso,10,205,97,Box 21
El Paso,10,206,99,Box 21
El Paso,10,207,100,Box 21
El Paso,10,208,100,Box 21
El Paso,10,209,99,Box 21
El Paso,10,210,100,Box 21
El Paso,10,211,100,Box 22
El Paso,10,212,99,Box 22
El Paso,10,213,36,Box 22
El Paso,10,214,100,Box 22
El Paso,10,215,98,Box 22
El Paso,10,216,100,Box 22
El Paso,10,217,100,Box 22
El Paso,10,218,100,Box 22
El Paso,10,219,98,Box 22
El Paso,10,220,98,Box 22
El Paso,10,221,98,Box 23
El Paso,10,222,95,Box 23
El Paso,10,223,96,Box 23
El Paso,10,224,100,Box 23
El Paso,10,225,100,Box 23
El Paso,10,226,98,Box 23
El Paso,10,227,100,Box 23
El Paso,10,228,100,Box 23
El Paso,10,229,96,Box 23
El Paso,10,230,100,Box 23
El Paso,10,231,99,Box 24
El Paso,10,232,99,Box 24
El Paso,10,233,99,Box 24
El Paso,10,234,100,Box 24
El Paso,10,235,100,Box 24
El Paso,10,236,100,Box 24
El Paso,10,237,100,Box 24
El Paso,10,238,99,Box 24
El Paso,10,239,100,Box 24
El Paso,10,240,98,Box 24
El Paso,10,241,97,Box 25
El Paso,10,242,99,Box 25
El Paso,10,243,96,Box 25
El Paso,10,244,97,Box 25
El Paso,10,245,100,Box 25
El Paso,10,246,98,Box 25
El Paso,10,247,89,Box 25
El Paso,10,248,100,Box 25
El Paso,10,249,100,Box 25
El Paso,10,250,100,Box 25
El Paso,10,251,100,Box 26
El Paso,10,252,97,Box 26
El Paso,10,253,100,Box 26
El Paso,10,254,49,Box 26
El Paso,10,255,100,Box 26
El Paso,10,256,101,Box 26
El Paso,10,257,100,Box 26
El Paso,10,258,99,Box 26
El Paso,10,259,99,Box 26
El Paso,10,260,97,Box 26
El Paso,10,261,100,Box 27
El Paso,10,262,100,Box 27
El Paso,10,263,98,Box 27
El Paso,10,264,96,Box 27
El Paso,10,265,100,Box 27
El Paso,10,266,100,Box 27
El Paso,10,267,98,Box 27
El Paso,10,268,99,Box 27
El Paso,10,269,96,Box 27
El Paso,10,270,100,Box 27
El Paso,10,271,99,Box 28
El Paso,10,272,98,Box 28
El Paso,10,273,98,Box 28
El Paso,10,274,98,Box 28
El Paso,10,275,96,Box 28
El Paso,10,276,98,Box 28
El Paso,10,277,100,Box 28
El Paso,10,278,97,Box 28
El Paso,10,279,100,Box 28
El Paso,10,280,25,Box 28
El Paso,10,281,25,Box 29
El Paso,10,282,17,Box 29
El Paso,10,283,100,Box 29
El Paso,10,284,9,Box 29
El Paso,10,285,100,Box 29
El Paso,10,286,100,Box 29
El Paso,10,287,98,Box 29
El Paso,10,288,94,Box 29
El Paso,10,289,1,Box 29
El Paso,10,290,97,Box 29
El Paso,20,1,97,Box 31
El Paso,20,2,96,Box 31
El Paso,20,3,100,Box 31
El Paso,20,4,96,Box 31
El Paso,20,5,100,Box 31
El Paso,20,6,100,Box 31
El Paso,20,7,99,Box 31
El Paso,20,8,100,Box 31
El Paso,20,9,100,Box 31
El Paso,20,10,98,Box 31
El Paso,20,11,99,Box 32
El Paso,20,12,98,Box 32
El Paso,20,13,100,Box 32
El Paso,20,14,99,Box 32
El Paso,20,15,100,Box 32
El Paso,20,16,98,Box 32
El Paso,20,17,99,Box 32
El Paso,20,18,64,Box 32
El Paso,20,19,99,Box 32
El Paso,20,20,100,Box 32
El Paso,20,21,100,Box 33
El Paso,20,22,100,Box 33
El Paso,20,23,100,Box 33
El Paso,20,24,99,Box 33
El Paso,20,25,98,Box 33
El Paso,20,26,100,Box 33
El Paso,20,27,100,Box 33
El Paso,20,28,97,Box 33
El Paso,20,29,99,Box 33
El Paso,20,30,99,Box 33
El Paso,20,31,100,Box 34
El Paso,20,32,97,Box 34
El Paso,20,33,97,Box 34
El Paso,20,34,7,Box 34
El Paso,20,35,100,Box 34
El Paso,20,36,33,Box 34
El Paso,20,37,100,Box 34
El Paso,20,38,100,Box 34
El Paso,20,39,98,Box 34
El Paso,20,40,98,Box 34
El Paso,20,41,100,Box 35
El Paso,20,42,98,Box 35
El Paso,20,43,27,Box 35
El Paso,20,44,98,Box 35
El Paso,20,45,100,Box 35
El Paso,20,46,100,Box 35
El Paso,20,47,100,Box 35
El Paso,20,48,100,Box 35
El Paso,20,49,100,Box 35
El Paso,20,50,100,Box 35
El Paso,20,51,100,Box 36
El Paso,20,52,100,Box 36
El Paso,20,53,97,Box 36
El Paso,20,54,98,Box 36
El Paso,20,55,100,Box 36
El Paso,20,56,100,Box 36
El Paso,20,57,99,Box 36
El Paso,20,58,1,Box 36
El Paso,20,59,99,Box 36
El Paso,20,60,99,Box 36
El Paso,20,61,99,Box 37
El Paso,20,62,99,Box 37
El Paso,20,63,100,Box 37
El Paso,20,64,100,Box 37
El Paso,20,65,96,Box 37
El Paso,20,66,100,Box 37
El Paso,20,67,100,Box 37
El Paso,20,68,96,Box 37
El Paso,20,69,97,Box 37
El Paso,20,70,100,Box 37
El Paso,20,71,100,Box 38
El Paso,20,72,100,Box 38
El Paso,20,73,97,Box 38
El Paso,20,74,100,Box 38
El Paso,20,75,98,Box 38
El Paso,20,76,99,Box 38
El Paso,20,77,100,Box 38
El Paso,20,78,56,Box 38
El Paso,20,79,100,Box 38
El Paso,20,80,100,Box 38
El Paso,20,81,100,Box 39
El Paso,20,82,100,Box 39
El Paso,20,83,100,Box 39
El Paso,20,84,100,Box 39
El Paso,20,85,100,Box 39
El Paso,20,86,97,Box 39
El Paso,20,87,97,Box 39
El Paso,20,88,99,Box 39
El Paso,20,89,100,Box 39
El Paso,20,90,99,Box 39
El Paso,20,91,99,Box 40
El Paso,20,92,99,Box 40
El Paso,20,93,96,Box 40
El Paso,20,94,99,Box 40
El Paso,20,95,99,Box 40
El Paso,20,96,100,Box 40
El Paso,20,97,100,Box 40
El Paso,20,98,98,Box 40
El Paso,20,99,100,Box 40
El Paso,20,100,98,Box 40
El Paso,20,101,100,Box 41
El Paso,20,102,98,Box 41
El Paso,20,103,100,Box 41
El Paso,20,104,98,Box 41
El Paso,20,105,100,Box 41
El Paso,20,106,100,Box 41
El Paso,20,107,100,Box 41
El Paso,20,108,100,Box 41
El Paso,20,109,100,Box 41
El Paso,20,110,100,Box 41
El Paso,20,111,100,Box 42
El Paso,20,112,99,Box 42
El Paso,20,113,100,Box 42
El Paso,20,114,99,Box 42
El Paso,20,115,95,Box 42
El Paso,20,116,81,Box 42
El Paso,20,117,100,Box 42
El Paso,20,118,99,Box 42
El Paso,20,119,100,Box 42
El Paso,20,120,100,Box 42
El Paso,20,121,100,Box 43
El Paso,20,122,98,Box 43
El Paso,20,123,100,Box 43
El Paso,20,124,100,Box 43
El Paso,20,125,100,Box 43
El Paso,20,126,100,Box 43
El Paso,20,127,100,Box 43
El Paso,20,128,98,Box 43
El Paso,20,129,98,Box 43
El Paso,20,130,100,Box 43
El Paso,20,131,97,Box 44
El Paso,20,132,100,Box 44
El Paso,20,133,100,Box 44
El Paso,20,134,40,Box 44
El Paso,20,135,49,Box 44
El Paso,20,136,98,Box 44
El Paso,20,137,98,Box 44
El Paso,20,138,100,Box 44
El Paso,20,139,100,Box 44
El Paso,20,140,100,Box 44
El Paso,20,141,95,Box 45
El Paso,20,142,96,Box 45
El Paso,20,143,79,Box 45
El Paso,20,144,100,Box 45
El Paso,20,145,100,Box 45
El Paso,20,146,100,Box 45
El Paso,20,147,98,Box 45
El Paso,20,148,98,Box 45
El Paso,20,149,99,Box 45
El Paso,20,150,94,Box 45
El Paso,20,151,99,Box 46
El Paso,20,152,94,Box 46
El Paso,20,153,100,Box 46
El Paso,20,154,100,Box 46
El Paso,20,155,100,Box 46
El Paso,20,156,100,Box 46
El Paso,20,157,100,Box 46
El Paso,20,158,99,Box 46
El Paso,20,159,100,Box 46
El Paso,20,160,100,Box 46
El Paso,20,161,99,Box 47
El Paso,20,162,98,Box 47
El Paso,20,163,97,Box 47
El Paso,20,164,98,Box 47
El Paso,20,165,100,Box 47
El Paso,20,166,100,Box 47
El Paso,20,167,100,Box 47
El Paso,20,168,100,Box 47
El Paso,20,169,100,Box 47
El Paso,20,170,100,Box 47
El Paso,20,171,100,Box 48
El Paso,20,172,98,Box 48
El Paso,20,173,100,Box 48
El Paso,20,174,99,Box 48
El Paso,20,175,100,Box 48
El Paso,20,176,97,Box 48
El Paso,20,177,100,Box 48
El Paso,20,178,99,Box 48
El Paso,20,179,100,Box 48
El Paso,20,180,100,Box 48
El Paso,20,181,98,Box 49
El Paso,20,182,100,Box 49
El Paso,20,183,100,Box 49
El Paso,20,184,100,Box 49
El Paso,20,185,100,Box 49
El Paso,20,186,100,Box 49
El Paso,20,187,100,Box 49
El Paso,20,188,97,Box 49
El Paso,20,189,99,Box 49
El Paso,20,190,99,Box 49
El Paso,20,191,100,Box 50
El Paso,20,192,98,Box 50
El Paso,20,193,100,Box 50
El Paso,20,194,43,Box 50
El Paso,20,195,100,Box 50
El Paso,20,196,100,Box 50
El Paso,20,197,63,Box 50
El Paso,20,198,100,Box 50
El Paso,20,199,98,Box 50
El Paso,20,200,22,Box 50
El Paso,20,201,100,Box 51
El Paso,20,202,98,Box 51
El Paso,20,203,99,Box 51
El Paso,20,204,100,Box 51
El Paso,20,205,100,Box 51
El Paso,20,206,57,Box 51
El Paso,20,207,99,Box 51
El Paso,20,208,100,Box 51
El Paso,20,209,97,Box 51
El Paso,20,210,100,Box 51
El Paso,20,211,100,Box 52
El Paso,20,212,98,Box 52
El Paso,20,213,100,Box 52
El Paso,20,214,100,Box 52
El Paso,20,215,25,Box 52
El Paso,20,216,99,Box 52
El Paso,20,217,100,Box 52
El Paso,20,218,100,Box 52
El Paso,20,219,99,Box 52
El Paso,20,220,100,Box 52
El Paso,20,221,100,Box 53
El Paso,20,222,100,Box 53
El Paso,20,223,100,Box 53
El Paso,20,224,99,Box 53
El Paso,20,225,101,Box 53
El Paso,20,226,100,Box 53
El Paso,20,227,56,Box 53
El Paso,20,228,100,Box 53
El Paso,20,229,100,Box 53
El Paso,20,230,99,Box 53
El Paso,20,231,100,Box 54
El Paso,20,232,99,Box 54
El Paso,20,233,100,Box 54
El Paso,20,234,99,Box 54
El Paso,20,235,100,Box 54
El Paso,20,236,100,Box 54
El Paso,20,237,100,Box 54
El Paso,20,238,100,Box 54
El Paso,20,239,100,Box 54
El Paso,20,240,97,Box 54
El Paso,20,241,99,Box 55
El Paso,20,242,98,Box 55
El Paso,20,243,99,Box 55
El Paso,20,244,100,Box 55
El Paso,20,245,100,Box 55
El Paso,20,246,100,Box 55
El Paso,20,247,95,Box 55
El Paso,20,248,97,Box 55
El Paso,20,249,100,Box 55
El Paso,20,250,99,Box 55
El Paso,20,251,98,Box 56
El Paso,20,252,99,Box 56
El Paso,20,253,95,Box 56
El Paso,20,254,100,Box 56
El Paso,20,255,63,Box 56
El Paso,20,256,96,Box 56
El Paso,20,257,100,Box 56
El Paso,20,258,97,Box 56
El Paso,20,259,99,Box 56
El Paso,20,260,99,Box 56
El Paso,20,261,99,Box 57
El Paso,20,262,100,Box 57
El Paso,20,263,100,Box 57
El Paso,20,264,60,Box 57
El Paso,20,265,98,Box 57
El Paso,20,266,99,Box 57
El Paso,20,267,100,Box 57
El Paso,20,268,100,Box 57
El Paso,20,269,100,Box 57
El Paso,20,270,78,Box 57
El Paso,20,271,100,Box 58
El Paso,20,272,100,Box 58
El Paso,20,273,100,Box 58
El Paso,20,274,97,Box 58
El Paso,20,275,100,Box 58
El Paso,20,276,99,Box 58
El Paso,20,277,100,Box 58
El Paso,20,278,100,Box 58
El Paso,20,279,99,Box 58
El Paso,20,280,99,Box 58
El Paso,20,281,98,Box 59
El Paso,20,282,100,Box 59
El Paso,20,283,96,Box 59
El Paso,20,284,99,Box 59
El Paso,20,285,100,Box 59
El Paso,20,286,100,Box 59
El Paso,20,287,99,Box 59
El Paso,20,288,94,Box 59
El Paso,20,289,97,Box 59
El Paso,20,290,100,Box 59
El Paso,20,291,98,Box 60
El Paso,30,1,98,Box 61
El Paso,30,2,99,Box 61
El Paso,30,3,100,Box 61
El Paso,30,4,97,Box 61
El Paso,30,5,99,Box 61
El Paso,30,6,93,Box 61
El Paso,30,7,95,Box 61
El Paso,30,8,98,Box 61
El Paso,30,9,100,Box 61
El Paso,30,10,100,Box 61
El Paso,30,11,99,Box 62
El Paso,30,12,99,Box 62
El Paso,30,13,93,Box 62
El Paso,30,14,93,Box 62
El Paso,30,15,99,Box 62
El Paso,30,16,99,Box 62
El Paso,30,17,100,Box 62
El Paso,30,18,100,Box 62
El Paso,30,19,98,Box 62
El Paso,30,20,99,Box 62
El Paso,30,21,95,Box 63
El Paso,30,22,99,Box 63
El Paso,30,23,98,Box 63
El Paso,30,24,99,Box 63
El Paso,30,25,100,Box 63
El Paso,30,26,95,Box 63
El Paso,30,27,96,Box 63
El Paso,30,28,100,Box 63
El Paso,30,29,92,Box 63
El Paso,30,30,49,Box 63
El Paso,30,31,100,Box 64
El Paso,30,32,24,Box 64
El Paso,30,33,98,Box 64
El Paso,30,34,100,Box 64
El Paso,30,35,100,Box 64
El Paso,30,36,100,Box 64
El Paso,30,37,100,Box 64
El Paso,30,38,95,Box 64
El Paso,30,39,99,Box 64
El Paso,30,40,100,Box 64
El Paso,30,41,100,Box 65
El Paso,30,42,100,Box 65
El Paso,30,43,98,Box 65
El Paso,30,44,100,Box 65
El Paso,30,45,99,Box 65
El Paso,30,46,100,Box 65
El Paso,30,47,94,Box 65
El Paso,30,48,99,Box 65
El Paso,30,49,91,Box 65
El Paso,30,50,100,Box 65
El Paso,30,51,96,Box 66
El Paso,30,52,97,Box 66
El Paso,30,53,96,Box 66
