County,Tabulator ID,Batch,# of Ballot Cards,Location
Grand,2,1,100,1
Grand,2,2,100,1
Grand,2,3,100,1
Grand,2,4,100,1
Grand,2,5,100,1
Grand,2,6,100,1
Grand,2,7,100,1
Grand,2,8,100,2
Grand,2,9,100,2
Grand,2,10,100,2
Grand,2,11,100,2
Grand,2,12,100,2
Grand,2,13,100,2
Grand,2,14,100,2
Grand,2,15,100,3
Grand,2,16,100,3
Grand,2,17,100,3
Grand,2,18,100,3
Grand,2,19,100,3
Grand,2,20,100,3
Grand,2,21,100,3
Grand,2,22,100,4
Grand,2,23,100,4
Grand,2,24,100,4
Grand,2,25,100,4
Grand,2,26,100,4
Grand,2,27,100,4
Grand,2,28,100,4
Grand,2,29,100,5
Grand,2,30,100,5
Grand,2,31,100,5
Grand,2,32,100,5
Grand,2,33,100,5
Grand,2,34,100,5
Grand,2,35,100,5
Grand,2,36,100,6
Grand,2,37,48,6
Grand,2,38,23,6
Grand,2,39,38,6
Grand,2,40,40,6
