County,Tabulator ID,Batch,# of Ballot Cards,Location
Gunnison,2,1,45,Box 1
Gunnison,2,2,45,Box 1
Gunnison,2,3,43,Box 1
Gunnison,2,4,47,Box 1
Gunnison,2,5,47,Box 1
Gunnison,2,6,44,Box 1
Gunnison,2,7,46,Box 1
Gunnison,2,8,44,Box 1
Gunnison,2,9,45,Box 1
Gunnison,2,10,48,Box 1
Gunnison,2,11,6,Box 1
Gunnison,2,12,46,Box 1
Gunnison,2,13,48,Box 1
Gunnison,2,14,49,Box 1
Gunnison,2,15,50,Box 1
Gunnison,2,16,50,Box 1
Gunnison,2,17,49,Box 1
Gunnison,2,18,19,Box 1
Gunnison,2,19,43,Box 1
Gunnison,2,20,34,Box 1
Gunnison,2,21,47,Box 1
Gunnison,2,22,48,Box 1
Gunnison,2,23,49,Box 1
Gunnison,2,24,49,Box 2
Gunnison,2,25,47,Box 2
Gunnison,2,26,28,Box 2
Gunnison,2,27,48,Box 2
Gunnison,2,28,47,Box 2
Gunnison,2,29,48,Box 2
Gunnison,2,30,50,Box 2
Gunnison,2,31,49,Box 2
Gunnison,2,32,47,Box 2
Gunnison,2,33,10,Box 2
Gunnison,2,34,32,Box 2
Gunnison,2,35,50,Box 2
Gunnison,2,36,47,Box 2
Gunnison,2,37,47,Box 2
Gunnison,2,38,49,Box 2
Gunnison,2,39,49,Box 2
Gunnison,2,40,44,Box 2
Gunnison,2,41,14,Box 2
Gunnison,2,42,49,Box 2
Gunnison,2,43,49,Box 2
Gunnison,2,44,49,Box 2
Gunnison,2,45,50,Box 2
Gunnison,2,46,13,Box 2
Gunnison,2,47,6,Box 3
Gunnison,2,48,42,Box 3
Gunnison,2,49,49,Box 3
Gunnison,2,50,48,Box 3
Gunnison,2,51,48,Box 3
Gunnison,2,52,50,Box 3
Gunnison,2,53,48,Box 3
Gunnison,2,54,49,Box 3
Gunnison,2,55,50,Box 3
Gunnison,2,56,50,Box 3
Gunnison,2,57,49,Box 3
Gunnison,2,58,49,Box 3
Gunnison,2,59,49,Box 3
Gunnison,2,60,50,Box 3
Gunnison,2,61,47,Box 3
Gunnison,2,62,45,Box 3
Gunnison,2,63,46,Box 3
Gunnison,2,64,50,Box 3
Gunnison,2,65,24,Box 3
Gunnison,2,66,46,Box 3
Gunnison,2,67,49,Box 3
Gunnison,2,68,48,Box 3
Gunnison,2,69,46,Box 3
Gunnison,2,70,42,Box 6
Gunnison,2,71,49,Box 6
Gunnison,2,72,49,Box 6
Gunnison,2,73,43,Box 6
Gunnison,2,74,50,Box 6
Gunnison,2,75,49,Box 6
Gunnison,2,76,41,Box 6
Gunnison,2,77,49,Box 6
Gunnison,2,78,49,Box 6
Gunnison,2,79,47,Box 6
Gunnison,2,80,47,Box 6
Gunnison,2,81,48,Box 6
Gunnison,2,82,47,Box 6
Gunnison,2,83,48,Box 6
Gunnison,2,84,39,Box 6
Gunnison,2,85,22,Box 6
Gunnison,2,86,46,Box 6
Gunnison,2,87,49,Box 6
Gunnison,2,88,49,Box 6
Gunnison,2,89,48,Box 6
Gunnison,2,90,47,Box 6
Gunnison,2,91,46,Box 6
Gunnison,2,92,30,Box 6
Gunnison,2,93,48,Box 6
Gunnison,2,94,46,Box 6
Gunnison,2,95,47,Box 6
Gunnison,2,96,48,Box 7
Gunnison,2,97,50,Box 7
Gunnison,2,98,42,Box 7
Gunnison,2,99,49,Box 7
Gunnison,2,100,45,Box 7
Gunnison,2,101,42,Box 7
Gunnison,2,102,46,Box 7
Gunnison,2,103,47,Box 7
Gunnison,2,104,45,Box 7
Gunnison,2,105,29,Box 7
Gunnison,2,106,48,Box 7
Gunnison,2,107,47,Box 7
Gunnison,2,108,47,Box 7
Gunnison,2,109,37,Box 7
Gunnison,2,110,34,Box 7
Gunnison,2,111,15,Box 7
Gunnison,2,112,1,Box 7
