County,Tabulator ID,Batch,# of Ballot Cards,Location
Huerfano,2,1,2,Box 1
Huerfano,2,2,1,Box 1
Huerfano,2,3,1,Box 1
Huerfano,2,4,1,Box 1
Huerfano,2,5,6,Box 1
Huerfano,2,6,2,Box 1
Huerfano,2,7,20,Box 1
Huerfano,2,8,19,Box 1
Huerfano,2,9,13,Box 1
Huerfano,2,10,6,Box 1
Huerfano,2,11,13,Box 1
Huerfano,2,12,25,Box 1
Huerfano,2,13,25,Box 1
Huerfano,2,14,20,Box 1
Huerfano,2,15,4,Box 1
Huerfano,2,16,5,Box 1
Huerfano,2,17,8,Box 1
Huerfano,2,18,4,Box 1
Huerfano,2,19,24,Box 1
Huerfano,2,20,3,Box 1
Huerfano,2,21,7,Box 1
Huerfano,2,22,5,Box 1
Huerfano,2,23,19,Box 1
Huerfano,2,24,16,Box 1
Huerfano,2,25,25,Box 1
Huerfano,2,26,9,Box 1
Huerfano,2,27,25,Box 1
Huerfano,2,28,25,Box 1
Huerfano,2,29,25,Box 1
Huerfano,2,30,13,Box 1
Huerfano,2,31,12,Box 1
Huerfano,2,32,15,Box 1
Huerfano,2,33,25,Box 1
Huerfano,2,34,25,Box 1
Huerfano,2,35,2,Box 2
Huerfano,2,36,21,Box 2
Huerfano,2,37,25,Box 2
Huerfano,2,38,6,Box 2
Huerfano,2,39,15,Box 2
Huerfano,2,40,25,Box 2
Huerfano,2,41,25,Box 2
Huerfano,2,42,25,Box 2
Huerfano,2,43,8,Box 2
Huerfano,2,44,3,Box 2
Huerfano,2,45,11,Box 2
Huerfano,2,46,11,Box 2
Huerfano,2,47,22,Box 2
Huerfano,2,48,11,Box 2
Huerfano,2,49,15,Box 2
Huerfano,2,50,25,Box 2
Huerfano,2,51,18,Box 2
Huerfano,2,52,7,Box 2
Huerfano,2,53,18,Box 2
Huerfano,2,54,11,Box 2
Huerfano,2,55,23,Box 2
Huerfano,2,56,17,Box 2
Huerfano,2,57,25,Box 2
Huerfano,2,58,5,Box 2
Huerfano,2,59,4,Box 2
Huerfano,2,60,25,Box 2
Huerfano,2,61,15,Box 2
Huerfano,2,62,8,Box 2
Huerfano,2,63,12,Box 2
Huerfano,2,64,16,Box 2
Huerfano,2,65,13,Box 2
Huerfano,2,66,25,Box 2
Huerfano,2,67,25,Box 3
Huerfano,2,68,17,Box 3
Huerfano,2,69,24,Box 3
Huerfano,2,70,13,Box 3
Huerfano,2,71,25,Box 3
Huerfano,2,72,13,Box 3
Huerfano,2,73,4,Box 3
Huerfano,2,74,1,Box 3
Huerfano,2,75,9,Box 3
Huerfano,2,76,8,Box 3
Huerfano,2,77,17,Box 3
Huerfano,2,78,11,Box 3
Huerfano,2,79,2,Box 3
Huerfano,2,80,11,Box 3
Huerfano,2,81,24,Box 3
Huerfano,2,82,1,Box 3
Huerfano,2,83,21,Box 3
Huerfano,2,84,9,Box 3
Huerfano,2,85,25,Box 3
Huerfano,2,86,16,Box 3
Huerfano,2,87,18,Box 4
Huerfano,2,88,3,Box 4
Huerfano,2,89,26,Box 4
Huerfano,2,90,25,Box 4
Huerfano,2,91,16,Box 4
Huerfano,2,92,9,Box 4
Huerfano,2,93,25,Box 4
Huerfano,2,94,25,Box 4
Huerfano,2,95,15,Box 4
Huerfano,2,96,13,Box 4
Huerfano,2,97,4,Box 4
Huerfano,2,98,18,Box 4
Huerfano,2,99,2,Box 4
Huerfano,2,100,25,Box 4
Huerfano,2,101,10,Box 4
Huerfano,2,102,6,Box 4
Huerfano,2,103,16,Box 4
Huerfano,2,104,4,Box 4
Huerfano,2,105,17,Box 4
Huerfano,2,106,18,Box 4
Huerfano,2,107,13,Box 4
Huerfano,2,108,2,Box 4
Huerfano,2,109,13,Box 4
Huerfano,2,110,15,Box 4
Huerfano,2,111,12,Box 4
Huerfano,2,112,25,Box 4
Huerfano,2,113,14,Box 4
Huerfano,2,114,14,Box 4
Huerfano,2,115,4,Box 4
Huerfano,2,116,23,Box 4
Huerfano,2,117,6,Box 4
Huerfano,2,118,25,Box 4
Huerfano,2,119,25,Box 4
Huerfano,2,120,25,Box 4
Huerfano,2,121,25,Box 5
Huerfano,2,122,25,Box 5
Huerfano,2,123,25,Box 5
Huerfano,2,124,19,Box 5
Huerfano,2,125,20,Box 6
Huerfano,2,126,25,Box 6
Huerfano,2,127,15,Box 6
Huerfano,2,128,7,Box 6
Huerfano,2,129,2,Box 6
Huerfano,2,130,14,Box 6
Huerfano,2,131,4,Box 6
Huerfano,2,132,23,Box 6
Huerfano,2,133,25,Box 6
Huerfano,2,134,25,Box 6
Huerfano,2,135,23,Box 6
Huerfano,2,136,1,Box 6
Huerfano,2,137,24,Box 6
Huerfano,2,138,25,Box 6
Huerfano,2,139,24,Box 6
Huerfano,2,140,6,Box 6
Huerfano,2,141,7,Box 6
Huerfano,2,142,25,Box7
Huerfano,2,143,23,Box 7
Huerfano,2,144,17,Box 7
Huerfano,2,145,25,Box 7
Huerfano,2,146,20,Box 7
Huerfano,2,147,23,Box 7
Huerfano,2,148,3,Box 7
Huerfano,2,149,5,Box 7
Huerfano,2,150,20,Box 8
Huerfano,2,151,17,Box 8
Huerfano,2,152,25,Box 8
Huerfano,2,153,21,Box 8
Huerfano,2,154,19,Box 9
Huerfano,2,155,11,Box 9
Huerfano,2,156,12,Box 9
Huerfano,2,157,1,Box 9
