County,Tabulator ID,Batch,# of Ballot Cards,Location
Larimer,1,1,98,20008
Larimer,1,2,97,20006
Larimer,1,3,99,20018
Larimer,1,4,99,20020
Larimer,1,5,92,20032
Larimer,1,6,92,20029
Larimer,1,7,93,20072
Larimer,1,8,96,20023
Larimer,1,9,96,20068
Larimer,1,10,51,20068
Larimer,1,11,86,20041
Larimer,1,12,94,20077
Larimer,1,13,98,20075
Larimer,1,14,100,20052
Larimer,1,15,98,20052
Larimer,1,16,98,20052
Larimer,1,17,94,20083
Larimer,1,18,83,20110
Larimer,1,19,93,20129
Larimer,1,20,96,20086
Larimer,1,21,97,20084
Larimer,1,22,100,20094
Larimer,1,23,98,20094
Larimer,1,24,98,20094
Larimer,1,25,96,20109
Larimer,1,26,91,20106
Larimer,1,27,96,20119
Larimer,1,28,93,20120
Larimer,1,29,95,20115
Larimer,1,30,98,20115
Larimer,1,31,97,20115
Larimer,1,32,96,20150
Larimer,1,33,98,20141
Larimer,1,34,98,20135
Larimer,1,35,98,20135
Larimer,1,36,94,20135
Larimer,1,37,97,20162
Larimer,1,38,96,20164
Larimer,1,39,42,20152
Larimer,1,40,93,20166
Larimer,1,41,4,9006
Larimer,1,42,1,9020
Larimer,1,43,2,9004
Larimer,1,44,5,9007
Larimer,1,45,44,1004
Larimer,1,46,97,20198
Larimer,1,47,97,20199
Larimer,1,48,88,20202
Larimer,1,49,88,20216
Larimer,1,50,99,20239
Larimer,1,51,98,20239
Larimer,1,52,92,20239
Larimer,1,53,4,3018
Larimer,1,54,96,20265
Larimer,1,55,96,20273
Larimer,1,56,46,1011
Larimer,1,57,63,1007
Larimer,1,58,18,1007
Larimer,1,59,97,20259
Larimer,1,60,95,20259
Larimer,1,61,99,20259
Larimer,1,62,98,20301
Larimer,1,63,96,20281
Larimer,1,64,99,20281
Larimer,1,65,97,20281
Larimer,1,66,98,20332
Larimer,1,67,96,20324
Larimer,1,68,91,20324
Larimer,1,69,18,20324
Larimer,1,70,96,20347
Larimer,1,71,95,20338
Larimer,1,72,97,20338
Larimer,1,73,95,20338
Larimer,1,74,94,20377
Larimer,1,75,95,20378
Larimer,1,76,39,1023
Larimer,1,77,90,20368
Larimer,1,78,97,20401
Larimer,1,79,95,20387
Larimer,1,80,99,20387
Larimer,1,81,99,20387
Larimer,1,82,98,20390
Larimer,1,83,98,20390
Larimer,1,84,97,20390
Larimer,1,85,98,20429
Larimer,1,86,97,20425
Larimer,1,87,96,20423
Larimer,1,88,60,3032
Larimer,1,89,94,20426
Larimer,1,90,96,20450
Larimer,1,91,98,20434
Larimer,1,92,95,20482
Larimer,1,93,98,20474
Larimer,1,94,95,20474
Larimer,1,95,97,20474
Larimer,1,96,99,20468
Larimer,1,97,99,20468
Larimer,1,98,97,20468
Larimer,1,99,91,20478
Larimer,1,100,2,9035
Larimer,1,101,14,9041
Larimer,1,102,3,9032
Larimer,1,103,1,9043
Larimer,1,104,2,9034
Larimer,1,105,31,20487
Larimer,2,1,49,20012
Larimer,2,2,97,20030
Larimer,2,3,34,20003
Larimer,2,4,94,20031
Larimer,2,5,91,20046
Larimer,2,6,100,20044
Larimer,2,7,97,20021
Larimer,2,8,96,20074
Larimer,2,9,96,20076
Larimer,2,10,99,20056
Larimer,2,11,100,20056
Larimer,2,12,99,20056
Larimer,2,13,95,20058
Larimer,2,14,98,20058
Larimer,2,15,98,20058
Larimer,2,16,96,20088
Larimer,2,17,98,20088
Larimer,2,18,97,20088
Larimer,2,19,94,20085
Larimer,2,20,99,20057
Larimer,2,21,100,20057
Larimer,2,22,96,20057
Larimer,2,23,97,20113
Larimer,2,24,98,20113
Larimer,2,25,98,20113
Larimer,2,26,96,20122
Larimer,2,27,96,20134
Larimer,2,28,94,20134
Larimer,2,29,98,20134
Larimer,2,30,99,20112
Larimer,2,31,97,20112
Larimer,2,32,96,20112
Larimer,2,33,96,20142
Larimer,2,34,98,20158
Larimer,2,35,98,20158
Larimer,2,36,96,20158
Larimer,2,37,95,20205
Larimer,2,38,32,20207
Larimer,2,39,92,20180
Larimer,2,40,97,20180
Larimer,2,41,100,20180
Larimer,2,42,9,3004
Larimer,2,43,5,3002
Larimer,2,44,98,20208
Larimer,2,45,100,20208
Larimer,2,46,96,20208
Larimer,2,47,95,20224
Larimer,2,48,95,20233
Larimer,2,49,96,20233
Larimer,2,50,99,20233
Larimer,2,51,94,20214
Larimer,2,52,50,20214
Larimer,2,53,96,20240
Larimer,2,54,99,20240
Larimer,2,55,96,20240
