County,Tabulator,Batch,# of Ballots,Location
Las Animas,4,1,50,Bin 10
Las Animas,4,2,50,Bin 10
Las Animas,4,3,50,Bin 10
Las Animas,4,4,50,Bin 10
Las Animas,4,5,50,Bin 10
Las Animas,4,6,50,Bin 10
Las Animas,4,7,50,Bin 10
Las Animas,4,8,50,Bin 10
Las Animas,4,9,50,Bin 10
Las Animas,4,10,50,Bin 10
Las Animas,4,11,50,Bin 10
Las Animas,4,12,50,Bin 10
Las Animas,4,13,50,Bin 10
Las Animas,4,14,50,Bin 10
Las Animas,4,15,50,Bin 10
Las Animas,4,16,50,Bin 10
Las Animas,4,17,50,Bin 10
Las Animas,4,18,50,Bin 10
Las Animas,4,19,50,Bin 10
Las Animas,4,20,50,Bin 10
Las Animas,4,21,50,Bin 10
Las Animas,4,22,50,Bin 10
Las Animas,4,23,50,Bin 10
Las Animas,4,24,50,Bin 10
Las Animas,4,25,50,Bin 10
Las Animas,4,26,50,Bin 10
Las Animas,4,27,50,Bin 10
Las Animas,4,28,50,Bin 10
Las Animas,4,29,50,Bin 3
Las Animas,4,30,50,Bin 3
Las Animas,4,31,50,Bin 3
Las Animas,4,32,50,Bin 3
Las Animas,4,33,50,Bin 3
Las Animas,4,34,50,Bin 3
Las Animas,4,35,50,Bin 3
Las Animas,4,36,50,Bin 3
Las Animas,4,37,50,Bin 3
Las Animas,4,38,50,Bin 3
Las Animas,4,39,50,Bin 3
Las Animas,4,40,50,Bin 3
Las Animas,4,41,50,Bin 3
Las Animas,4,42,50,Bin 3
Las Animas,4,43,50,Bin 3
Las Animas,4,44,50,Bin 3
Las Animas,4,45,50,Bin 3
Las Animas,4,46,50,Bin 3
Las Animas,4,47,50,Bin 3
Las Animas,4,48,50,Bin 3
Las Animas,4,49,50,Bin 3
Las Animas,4,50,50,Bin 3
Las Animas,4,51,50,Bin 3
Las Animas,4,52,50,Bin 3
Las Animas,4,53,50,Bin 5
Las Animas,4,54,50,Bin 5
Las Animas,4,55,50,Bin 5
Las Animas,4,56,50,Bin 5
Las Animas,4,57,50,Bin 5
Las Animas,4,58,50,Bin 5
Las Animas,4,59,50,Bin 5
Las Animas,4,60,50,Bin 5
Las Animas,4,61,50,Bin 5
Las Animas,4,62,50,Bin 5
Las Animas,4,63,50,Bin 5
Las Animas,4,64,50,Bin 5
Las Animas,4,65,50,Bin 5
Las Animas,4,66,50,Bin 5
Las Animas,4,67,50,Bin 5
Las Animas,4,68,50,Bin 5
Las Animas,4,69,50,Bin 5
Las Animas,4,70,50,Bin 5
Las Animas,4,71,50,Bin 5
Las Animas,4,72,50,Bin 5
Las Animas,4,73,50,Bin 5
Las Animas,4,74,50,Bin 5
Las Animas,4,75,50,Bin 9
Las Animas,4,76,50,Bin 9
Las Animas,4,77,50,Bin 9
Las Animas,4,78,50,Bin 9
Las Animas,4,79,50,Bin 9
Las Animas,4,80,50,Bin 9
Las Animas,4,81,50,Bin 9
Las Animas,4,82,50,Bin 9
Las Animas,4,83,50,Bin 9
Las Animas,4,84,29,Bin 9
Las Animas,4,85,1,Bin 9
Las Animas,4,86,34,Bin 9
