County,Tabulator ID,Batch,# of Ballot Cards,Location
Morgan,2,1,20,Box 1
Morgan,2,2,20,Box 1
Morgan,2,3,20,Box 1
Morgan,2,4,20,Box 1
Morgan,2,5,20,Box 1
Morgan,2,6,20,Box 1
Morgan,2,7,20,Box 1
Morgan,2,8,20,Box 1
Morgan,2,9,20,Box 1
Morgan,2,10,17,Box 1
Morgan,2,11,20,Box 1
Morgan,2,12,20,Box 1
Morgan,2,13,20,Box 1
Morgan,2,14,20,Box 1
Morgan,2,15,20,Box 1
Morgan,2,16,20,Box 1
Morgan,2,17,20,Box 1
Morgan,2,18,20,Box 1
Morgan,2,19,20,Box 1
Morgan,2,20,19,Box 1
Morgan,2,21,20,Box 1
Morgan,2,22,20,Box 1
Morgan,2,23,20,Box 1
Morgan,2,24,20,Box 1
Morgan,2,25,20,Box 1
Morgan,2,26,20,Box 1
Morgan,2,27,20,Box 1
Morgan,2,28,20,Box 1
Morgan,2,29,20,Box 1
Morgan,2,30,20,Box 1
Morgan,2,31,20,Box 1
Morgan,2,32,20,Box 1
Morgan,2,33,20,Box 1
Morgan,2,34,20,Box 1
Morgan,2,35,20,Box 1
Morgan,2,36,20,Box 1
Morgan,2,37,20,Box 1
Morgan,2,38,20,Box 1
Morgan,2,39,20,Box 1
Morgan,2,40,19,Box 1
Morgan,2,41,20,Box 1
Morgan,2,42,20,Box 1
Morgan,2,43,20,Box 1
Morgan,2,44,20,Box 1
Morgan,2,45,20,Box 1
Morgan,2,46,20,Box 1
Morgan,2,47,20,Box 1
Morgan,2,48,20,Box 1
Morgan,2,49,20,Box 1
Morgan,2,50,19,Box 1
Morgan,2,51,20,Box 1
Morgan,2,52,20,Box 1
Morgan,2,53,20,Box 1
Morgan,2,54,20,Box 1
Morgan,2,55,20,Box 1
Morgan,2,56,20,Box 1
Morgan,2,57,20,Box 1
Morgan,2,58,20,Box 1
Morgan,2,59,20,Box 1
Morgan,2,60,6,Box 1
Morgan,2,61,20,Box 2
Morgan,2,62,20,Box 2
Morgan,2,63,20,Box 2
Morgan,2,64,20,Box 2
Morgan,2,65,20,Box 2
Morgan,2,66,20,Box 2
Morgan,2,67,20,Box 2
Morgan,2,68,20,Box 2
Morgan,2,69,23,Box 2
Morgan,2,70,20,Box 2
Morgan,2,71,20,Box 2
Morgan,2,72,20,Box 2
Morgan,2,73,20,Box 2
Morgan,2,74,20,Box 2
Morgan,2,75,20,Box 2
Morgan,2,76,20,Box 2
Morgan,2,77,20,Box 2
Morgan,2,78,20,Box 2
Morgan,2,79,15,Box 2
Morgan,2,80,20,Box 2
Morgan,2,81,20,Box 2
Morgan,2,82,20,Box 2
Morgan,2,83,20,Box 2
Morgan,2,84,20,Box 2
Morgan,2,85,20,Box 2
Morgan,2,86,20,Box 2
Morgan,2,87,20,Box 2
Morgan,2,88,20,Box 2
Morgan,2,89,21,Box 2
Morgan,2,90,20,Box 2
Morgan,2,91,20,Box 2
Morgan,2,92,20,Box 2
Morgan,2,93,20,Box 2
Morgan,2,94,20,Box 2
Morgan,2,95,20,Box 2
Morgan,2,96,20,Box 2
Morgan,2,97,20,Box 2
Morgan,2,98,20,Box 2
Morgan,2,99,17,Box 2
Morgan,2,100,20,Box 2
Morgan,2,101,20,Box 2
Morgan,2,102,20,Box 2
Morgan,2,103,20,Box 2
Morgan,2,104,20,Box 2
Morgan,2,105,20,Box 2
Morgan,2,106,20,Box 2
Morgan,2,107,20,Box 2
Morgan,2,108,20,Box 2
Morgan,2,109,13,Box 2
Morgan,2,110,20,Box 2
Morgan,2,111,20,Box 2
Morgan,2,112,20,Box 2
Morgan,2,113,20,Box 2
Morgan,2,114,20,Box 2
Morgan,2,115,20,Box 2
Morgan,2,116,20,Box 2
Morgan,2,117,20,Box 2
Morgan,2,118,20,Box 2
Morgan,2,119,17,Box 2
Morgan,2,120,20,Box 3
Morgan,2,121,20,Box 3
Morgan,2,122,20,Box 3
Morgan,2,123,20,Box 3
Morgan,2,124,20,Box 3
Morgan,2,125,20,Box 3
Morgan,2,126,20,Box 3
Morgan,2,127,20,Box 3
Morgan,2,128,11,Box 3
Morgan,2,129,20,Box 3
Morgan,2,130,20,Box 3
Morgan,2,131,20,Box 3
Morgan,2,132,20,Box 3
Morgan,2,133,20,Box 3
Morgan,2,134,20,Box 3
Morgan,2,135,20,Box 3
Morgan,2,136,20,Box 3
Morgan,2,137,20,Box 3
Morgan,2,138,23,Box 3
Morgan,2,139,20,Box 3
Morgan,2,140,20,Box 3
Morgan,2,141,20,Box 3
Morgan,2,142,20,Box 3
Morgan,2,143,20,Box 3
Morgan,2,144,20,Box 3
Morgan,2,145,20,Box 3
Morgan,2,146,20,Box 3
Morgan,2,147,18,Box 3
Morgan,2,148,20,Box 3
Morgan,2,149,26,Box 3
Morgan,2,150,20,Box 3
Morgan,2,151,22,Box 3
Morgan,2,152,20,Box 3
Morgan,2,153,20,Box 3
Morgan,2,154,20,Box 3
Morgan,2,155,20,Box 3
Morgan,2,156,25,Box 3
Morgan,2,157,20,Box 3
Morgan,2,158,20,Box 3
Morgan,2,159,20,Box 3
Morgan,2,160,20,Box 3
Morgan,2,161,20,Box 3
Morgan,2,162,20,Box 3
Morgan,2,163,20,Box 3
Morgan,2,164,20,Box 3
Morgan,2,165,20,Box 3
Morgan,2,166,17,Box 3
Morgan,2,167,20,Box 3
Morgan,2,168,20,Box 3
Morgan,2,169,17,Box 3
Morgan,2,170,1,Box 3
Morgan,2,171,20,Box 3
Morgan,2,172,20,Box 3
Morgan,2,173,22,Box 3
Morgan,2,174,20,Box 3
Morgan,2,175,20,Box 3
Morgan,2,176,20,Box 3
Morgan,2,177,20,Box 3
Morgan,2,178,13,Box 3
Morgan,2,179,20,Box 3
Morgan,2,180,12,Box 3
Morgan,2,181,20,Box 4
Morgan,2,182,20,Box 4
Morgan,2,183,20,Box 4
Morgan,2,184,20,Box 4
Morgan,2,185,20,Box 4
Morgan,2,186,20,Box 4
Morgan,2,187,20,Box 4
Morgan,2,188,20,Box 4
Morgan,2,189,12,Box 4
Morgan,2,190,20,Box 4
Morgan,2,191,20,Box 4
Morgan,2,192,20,Box 4
Morgan,2,193,20,Box 4
Morgan,2,194,20,Box 4
Morgan,2,195,20,Box 4
Morgan,2,196,20,Box 4
Morgan,2,197,20,Box 4
Morgan,2,198,20,Box 4
Morgan,2,199,14,Box 4
Morgan,2,200,20,Box 4
Morgan,2,201,20,Box 4
Morgan,2,202,20,Box 4
Morgan,2,203,20,Box 4
Morgan,2,204,20,Box 4
Morgan,2,205,20,Box 4
Morgan,2,206,24,Box 4
Morgan,2,207,20,Box 4
Morgan,2,208,20,Box 4
Morgan,2,209,20,Box 4
Morgan,2,210,20,Box 4
Morgan,2,211,20,Box 4
Morgan,2,212,20,Box 4
Morgan,2,213,20,Box 4
Morgan,2,214,20,Box 4
Morgan,2,215,15,Box 4
Morgan,2,216,20,Box 4
Morgan,2,217,20,Box 4
Morgan,2,218,26,Box 4
Morgan,2,219,20,Box 4
Morgan,2,220,29,Box 4
Morgan,2,221,1,Box 4
Morgan,2,222,20,Box 4
Morgan,2,223,20,Box 4
Morgan,2,224,20,Box 4
Morgan,2,225,27,Box 4
Morgan,2,226,20,Box 4
Morgan,2,227,20,Box 4
Morgan,2,228,20,Box 4
Morgan,2,229,20,Box 4
Morgan,2,230,20,Box 4
Morgan,2,231,20,Box 4
Morgan,2,232,18,Box 4
Morgan,2,233,20,Box 4
Morgan,2,234,20,Box 4
Morgan,2,235,21,Box 4
Morgan,2,236,20,Box 5
Morgan,2,237,20,Box 5
Morgan,2,238,20,Box 5
Morgan,2,239,20,Box 5
Morgan,2,240,20,Box 5
Morgan,2,241,20,Box 5
Morgan,2,242,20,Box 5
Morgan,2,243,20,Box 5
Morgan,2,244,20,Box 5
Morgan,2,245,20,Box 5
Morgan,2,246,10,Box 5
Morgan,2,247,20,Box 5
Morgan,2,248,25,Box 5
Morgan,2,249,20,Box 5
Morgan,2,250,20,Box 5
Morgan,2,251,26,Box 5
Morgan,2,252,20,Box 5
Morgan,2,253,20,Box 5
Morgan,2,254,20,Box 5
Morgan,2,255,20,Box 5
Morgan,2,256,20,Box 5
Morgan,2,257,20,Box 5
Morgan,2,258,20,Box 5
Morgan,2,259,18,Box 5
Morgan,2,260,29,Box 5
Morgan,2,261,20,Box 5
Morgan,2,262,20,Box 5
Morgan,2,263,20,Box 5
Morgan,2,264,18,Box 5
Morgan,2,265,20,Box 5
Morgan,2,266,20,Box 5
Morgan,2,267,20,Box 5
Morgan,2,268,20,Box 5
Morgan,2,269,20,Box 5
Morgan,2,270,20,Box 5
Morgan,2,271,20,Box 5
Morgan,2,272,20,Box 5
Morgan,2,273,28,Box 5
Morgan,2,274,29,Box 5
Morgan,2,275,25,Box 5
