County,Tabulator ID,Batch,# of Ballot Cards,Location
Pueblo,2,1,50,Tub 1
Pueblo,2,2,50,Tub 1
Pueblo,2,3,50,Tub 1
Pueblo,2,4,50,Tub 1
Pueblo,2,5,50,Tub 1
Pueblo,2,6,11,Tub 1
Pueblo,2,7,50,Tub 1
Pueblo,2,8,50,Tub 1
Pueblo,2,9,50,Tub 1
Pueblo,2,10,49,Tub 1
Pueblo,2,11,50,Tub 1
Pueblo,2,12,50,Tub 1
Pueblo,2,13,34,Tub 1
Pueblo,2,14,50,Tub 1
Pueblo,2,15,50,Tub 1
Pueblo,2,16,50,Tub 1
Pueblo,2,17,50,Tub 1
Pueblo,2,18,50,Tub 1
Pueblo,2,19,50,Tub 1
Pueblo,2,20,35,Tub 1
Pueblo,2,21,49,Tub 1
Pueblo,2,22,50,Tub 1
Pueblo,2,23,50,Tub 1
Pueblo,2,24,50,Tub 1
Pueblo,2,25,29,Tub 1
Pueblo,2,26,7,Tub 1
Pueblo,2,27,50,Tub 1
Pueblo,2,28,50,Tub 1
Pueblo,2,29,50,Tub 1
Pueblo,2,30,50,Tub 1
Pueblo,2,31,50,Tub 1
Pueblo,2,32,49,Tub 1
Pueblo,2,33,50,Tub 1
Pueblo,2,34,36,Tub 1
Pueblo,2,35,50,Tub 1
Pueblo,2,36,8,Tub 1
Pueblo,2,37,50,Tub 1
Pueblo,2,38,13,Tub 1
Pueblo,2,39,50,Tub 1
Pueblo,2,40,50,Tub 1
Pueblo,2,41,50,Tub 1
Pueblo,2,42,50,Tub 1
Pueblo,2,43,50,Tub 1
Pueblo,2,44,50,Tub 1
Pueblo,2,45,50,Tub 1
Pueblo,2,46,50,Tub 1
Pueblo,2,47,50,Tub 1
Pueblo,2,48,50,Tub 1
Pueblo,2,49,50,Tub 1
Pueblo,2,50,47,Tub 1
Pueblo,2,51,50,Tub 1
Pueblo,2,52,45,Tub 2
Pueblo,2,53,47,Tub 2
Pueblo,2,54,50,Tub 2
Pueblo,2,55,49,Tub 2
Pueblo,2,56,49,Tub 2
Pueblo,2,57,49,Tub 2
Pueblo,2,58,49,Tub 2
Pueblo,2,59,49,Tub 2
Pueblo,2,60,49,Tub 2
Pueblo,2,61,50,Tub 2
Pueblo,2,62,49,Tub 2
Pueblo,2,63,50,Tub 2
Pueblo,2,64,50,Tub 2
Pueblo,2,65,50,Tub 2
Pueblo,2,66,50,Tub 2
Pueblo,2,67,50,Tub 2
Pueblo,2,68,50,Tub 2
Pueblo,2,69,49,Tub 2
Pueblo,2,70,50,Tub 2
Pueblo,2,71,38,Tub 2
Pueblo,2,72,50,Tub 2
Pueblo,2,73,49,Tub 2
Pueblo,2,74,50,Tub 2
Pueblo,2,75,50,Tub 2
Pueblo,2,76,25,Tub 2
Pueblo,2,77,50,Tub 2
Pueblo,2,78,50,Tub 2
Pueblo,2,79,50,Tub 2
Pueblo,2,80,50,Tub 2
Pueblo,2,81,27,Tub 2
Pueblo,2,82,50,Tub 2
Pueblo,2,83,50,Tub 2
Pueblo,2,84,50,Tub 2
Pueblo,2,85,50,Tub 2
Pueblo,2,86,50,Tub 2
Pueblo,2,87,46,Tub 2
Pueblo,2,88,50,Tub 2
Pueblo,2,89,50,Tub 2
Pueblo,2,90,50,Tub 2
Pueblo,2,91,50,Tub 2
Pueblo,2,92,50,Tub 2
Pueblo,2,93,50,Tub 2
Pueblo,2,94,50,Tub 2
Pueblo,2,95,50,Tub 2
Pueblo,2,96,22,Tub 2
Pueblo,2,97,43,Tub 2
Pueblo,2,98,50,Tub 2
Pueblo,2,99,50,Tub 2
Pueblo,2,100,50,Tub 2
Pueblo,2,101,49,Tub 2
Pueblo,2,102,7,Tub 3
Pueblo,2,103,43,Tub 3
Pueblo,2,104,29,Tub 3
Pueblo,2,105,1,Tub 3
Pueblo,2,106,49,Tub 3
Pueblo,2,107,50,Tub 3
Pueblo,2,108,9,Tub 3
Pueblo,2,109,50,Tub 3
Pueblo,2,110,50,Tub 3
Pueblo,2,111,50,Tub 3
Pueblo,2,112,1,Tub 3
Pueblo,2,113,12,Tub 3
Pueblo,2,114,14,Tub 3
Pueblo,2,115,50,Tub 3
Pueblo,2,116,50,Tub 3
Pueblo,2,117,2,Tub 3
Pueblo,2,118,48,Tub 3
Pueblo,2,119,50,Tub 3
Pueblo,2,120,11,Tub 3
Pueblo,2,121,50,Tub 3
Pueblo,2,122,32,Tub 3
Pueblo,2,123,50,Tub 3
Pueblo,2,124,50,Tub 3
Pueblo,2,125,50,Tub 3
Pueblo,2,126,50,Tub 3
Pueblo,2,127,50,Tub 3
Pueblo,2,128,50,Tub 3
Pueblo,2,129,50,Tub 3
Pueblo,2,130,1,Tub 3
Pueblo,2,131,49,Tub 3
Pueblo,2,132,8,Tub 3
Pueblo,2,133,50,Tub 3
Pueblo,2,134,50,Tub 3
Pueblo,2,135,15,Tub 3
Pueblo,2,136,50,Tub 3
Pueblo,2,137,3,Tub 3
Pueblo,2,138,47,Tub 3
Pueblo,2,139,5,Tub 3
Pueblo,2,140,45,Tub 3
Pueblo,2,141,50,Tub 3
Pueblo,2,142,3,Tub 3
Pueblo,2,143,47,Tub 3
Pueblo,2,144,7,Tub 3
Pueblo,2,145,43,Tub 3
Pueblo,2,146,50,Tub 3
Pueblo,2,147,3,Tub 3
Pueblo,2,148,47,Tub 3
Pueblo,2,149,50,Tub 3
Pueblo,2,150,3,Tub 3
Pueblo,2,151,47,Tub 3
Pueblo,2,152,5,Tub 3
Pueblo,2,153,45,Tub 3
Pueblo,2,154,50,Tub 3
Pueblo,2,155,50,Tub 3
Pueblo,2,156,50,Tub 3
Pueblo,2,157,1,Tub 3
Pueblo,2,158,29,Tub 3
Pueblo,2,159,50,Tub 3
Pueblo,2,160,50,Tub 3
Pueblo,2,161,50,Tub 3
Pueblo,2,162,1,Tub 3
Pueblo,2,163,49,Tub 3
Pueblo,2,164,44,Tub 3
Pueblo,2,165,2,Tub 3
Pueblo,2,166,48,Tub 3
Pueblo,2,167,2,Tub 3
Pueblo,2,168,1,Tub 3
Pueblo,2,169,50,Tub 4
Pueblo,2,170,50,Tub 4
Pueblo,2,171,50,Tub 4
Pueblo,2,172,50,Tub 4
Pueblo,2,173,2,Tub 4
Pueblo,2,174,42,Tub 4
Pueblo,2,175,50,Tub 4
Pueblo,2,176,5,Tub 4
Pueblo,2,177,2,Tub 4
Pueblo,2,178,48,Tub 4
Pueblo,2,179,4,Tub 4
Pueblo,2,180,46,Tub 4
Pueblo,2,181,50,Tub 4
Pueblo,2,182,1,Tub 4
Pueblo,2,183,49,Tub 4
Pueblo,2,184,50,Tub 4
Pueblo,2,185,50,Tub 4
Pueblo,2,186,50,Tub 4
Pueblo,2,187,50,Tub 4
Pueblo,2,188,50,Tub 4
Pueblo,2,189,50,Tub 4
Pueblo,2,190,6,Tub 4
Pueblo,2,191,44,Tub 4
Pueblo,2,192,50,Tub 4
Pueblo,2,193,1,Tub 4
Pueblo,2,194,49,Tub 4
Pueblo,2,195,50,Tub 4
Pueblo,2,196,50,Tub 4
Pueblo,2,197,50,Tub 4
Pueblo,2,198,50,Tub 4
Pueblo,2,199,50,Tub 4
Pueblo,2,200,50,Tub 4
Pueblo,2,201,44,Tub 4
Pueblo,2,202,50,Tub 4
Pueblo,2,203,50,Tub 4
Pueblo,2,204,25,Tub 4
Pueblo,2,205,2,Tub 4
Pueblo,2,206,48,Tub 4
Pueblo,2,207,50,Tub 4
Pueblo,2,208,50,Tub 4
Pueblo,2,209,3,Tub 4
Pueblo,2,210,47,Tub 4
Pueblo,2,211,50,Tub 4
Pueblo,2,212,34,Tub 4
Pueblo,2,213,14,Tub 4
Pueblo,2,214,50,Tub 4
