County,Tabulator ID,Batch,#Ballot Cards,Location
Washington,1,1,25,Box 1
Washington,1,2,25,Box 1
Washington,1,3,25,Box 1
Washington,1,4,25,Box 1
Washington,1,5,25,Box 1
Washington,1,6,25,Box 1
Washington,1,7,25,Box 1
Washington,1,8,25,Box 1
Washington,1,9,25,Box 1
Washington,1,10,25,Box 1
Washington,1,11,25,Box 1
Washington,1,12,25,Box 1
Washington,1,13,25,Box 1
Washington,1,14,25,Box 1
Washington,1,15,25,Box 1
Washington,1,16,25,Box 1
Washington,1,17,25,Box 1
Washington,1,18,25,Box 1
Washington,1,19,25,Box 1
Washington,1,20,25,Box 1
Washington,1,21,25,Box 1
Washington,1,22,25,Box 1
Washington,1,23,25,Box 1
Washington,1,24,25,Box 1
Washington,1,25,25,Box 1
Washington,1,26,25,Box 1
Washington,1,27,25,Box 1
Washington,1,28,25,Box 1
Washington,1,29,25,Box 1
Washington,1,30,25,Box 1
Washington,1,31,25,Box 1
Washington,1,32,14,Box 1
Washington,1,33,36,Box 1
Washington,1,34,25,Box 1
Washington,1,35,25,Box 1
Washington,1,36,25,Box 1
Washington,1,37,25,Box 1
Washington,1,38,25,Box 1
Washington,1,39,25,Box 1
Washington,1,40,25,Box 1
Washington,1,41,25,Box 1
Washington,1,42,25,Box 1
Washington,1,43,25,Box 1
Washington,1,44,25,Box 1
Washington,1,45,25,Box 1
Washington,1,46,25,Box 1
Washington,1,47,25,Box 1
Washington,1,48,25,Box 1
Washington,1,49,25,Box 1
Washington,1,50,25,Box 1
Washington,1,51,25,Box 1
Washington,1,52,25,Box 2
Washington,1,53,25,Box 2
Washington,1,54,25,Box 2
Washington,1,55,25,Box 2
Washington,1,56,25,Box 2
Washington,1,57,25,Box 2
Washington,1,58,25,Box 2
Washington,1,59,25,Box 2
Washington,1,60,25,Box 2
Washington,1,61,25,Box 2
Washington,1,62,25,Box 2
Washington,1,63,25,Box 2
Washington,1,64,25,Box 2
Washington,1,65,25,Box 2
Washington,1,66,26,Box 2
Washington,1,67,25,Box 2
Washington,1,68,25,Box 2
Washington,1,69,26,Box 2
Washington,1,70,25,Box 2
Washington,1,71,25,Box 2
Washington,1,72,25,Box 2
Washington,1,73,27,Box 2
Washington,1,74,22,Box 2
Washington,1,75,41,Box 2
