County,Tabulator,Batch,# of Ballots,Location
Adams,101,1,98,BOX 1-1
Adams,101,2,102,BOX 1-1
Adams,101,3,8,BOX 1-1
Adams,101,4,100,BOX 1-1
Adams,101,5,100,BOX 1-1
Adams,101,6,107,BOX 1-1
Adams,101,7,92,BOX 1-1
Adams,101,8,100,BOX 1-1
Adams,101,9,100,BOX 1-1
Adams,101,10,74,BOX 1-1
Adams,101,11,99,BOX 1-1
Adams,101,12,100,BOX 1-1
Adams,101,13,96,BOX 1-1
Adams,101,14,103,BOX 1-2
Adams,101,15,9,BOX 1-2
Adams,101,16,112,BOX 1-2
Adams,101,17,87,BOX 1-2
Adams,101,18,100,BOX 1-2
Adams,101,19,100,BOX 1-2
Adams,101,20,100,BOX 1-2
Adams,101,21,100,BOX 1-2
Adams,101,22,100,BOX 1-2
Adams,101,23,100,BOX 1-2
Adams,101,24,102,BOX 1-2
Adams,101,25,98,BOX 1-2
Adams,101,26,99,BOX 1-2
Adams,101,27,13,BOX 1-3
Adams,101,28,99,BOX 1-3
Adams,101,29,100,BOX 1-3
Adams,101,30,100,BOX 1-3
Adams,101,31,100,BOX 1-3
Adams,101,32,125,BOX 1-3
Adams,101,33,74,BOX 1-3
Adams,101,34,118,BOX 1-3
Adams,101,35,82,BOX 1-3
Adams,101,36,112,BOX 1-3
Adams,101,37,88,BOX 1-3
Adams,101,38,23,BOX 1-3
Adams,101,39,18,BOX 1-3
Adams,101,40,21,BOX 1-3
Adams,101,41,100,BOX 1-3
Adams,101,42,100,BOX 1-3
Adams,101,43,100,BOX 1-4
Adams,101,44,99,BOX 1-4
Adams,101,45,100,BOX 1-4
Adams,101,46,98,BOX 1-4
Adams,101,47,80,BOX 1-4
Adams,101,48,99,BOX 1-4
Adams,101,49,101,BOX 1-4
Adams,101,50,98,BOX 1-4
Adams,101,51,100,BOX 1-4
Adams,101,52,100,BOX 1-4
Adams,101,53,100,BOX 1-4
Adams,101,54,100,BOX 1-4
Adams,101,55,60,BOX 1-4
Adams,101,56,99,BOX 1-5
Adams,101,57,101,BOX 1-5
Adams,101,58,98,BOX 1-5
Adams,101,59,102,BOX 1-5
