County,Tabulator ID,Batch,# of Ballot Cards,Location
Custer,200,1,25,Box 1
Custer,200,2,25,Box 1
Custer,200,3,25,Box 1
Custer,200,4,25,Box 1
Custer,200,5,25,Box 1
Custer,200,6,25,Box 1
Custer,200,7,25,Box 1
Custer,200,8,25,Box 1
Custer,200,9,25,Box 1
Custer,200,10,25,Box 1
Custer,200,11,25,Box 1
Custer,200,12,25,Box 1
Custer,200,13,25,Box 1
Custer,200,14,25,Box 1
Custer,200,15,25,Box 1
Custer,200,16,25,Box 1
Custer,200,17,25,Box 1
Custer,200,18,25,Box 1
Custer,200,19,25,Box 1
Custer,200,20,25,Box 1
Custer,200,21,25,Box 2
Custer,200,22,25,Box 2
Custer,200,23,25,Box 2
Custer,200,24,25,Box 2
Custer,200,25,25,Box 2
Custer,200,26,25,Box 2
Custer,200,27,25,Box 2
Custer,200,28,25,Box 2
Custer,200,29,25,Box 2
Custer,200,30,25,Box 2
Custer,200,31,25,Box 2
Custer,200,32,25,Box 2
Custer,200,33,25,Box 2
Custer,200,34,25,Box 2
Custer,200,35,25,Box 2
Custer,200,36,25,Box 2
Custer,200,37,25,Box 2
Custer,200,38,25,Box 2
Custer,200,39,25,Box 2
Custer,200,40,25,Box 2
Custer,200,41,25,Box 2
Custer,200,42,25,Box 2
Custer,200,43,25,Box 2
Custer,200,44,25,Box 2
Custer,200,45,25,Box 2
Custer,200,46,25,Box 2
Custer,200,47,25,Box 2
Custer,200,48,25,Box 2
Custer,200,49,25,Box 2
Custer,200,50,25,Box 2
Custer,200,51,25,Box 2
Custer,200,52,25,Box 2
Custer,200,53,25,Box 2
Custer,200,54,25,Box 2
Custer,200,55,25,Box 2
Custer,200,56,25,Box 2
Custer,200,57,25,Box 2
Custer,200,58,25,Box 2
Custer,200,59,25,Box 2
Custer,200,60,25,Box 2
Custer,200,61,25,Box 3
Custer,200,62,25,Box 3
Custer,200,63,25,Box 3
Custer,200,64,25,Box 3
Custer,200,65,25,Box 3
Custer,200,66,25,Box 3
Custer,200,67,25,Box 3
Custer,200,68,25,Box 3
Custer,200,69,25,Box 3
Custer,200,70,25,Box 3
Custer,200,71,25,Box 3
Custer,200,72,25,Box 3
Custer,200,73,25,Box 3
Custer,200,74,25,Box 3
Custer,200,75,25,Box 3
Custer,200,76,25,Box 3
Custer,200,77,25,Box 3
Custer,200,78,25,Box 3
Custer,200,79,25,Box 3
Custer,200,80,25,Box 3
Custer,200,81,25,Box 3
Custer,200,82,25,Box 3
Custer,200,83,25,Box 3
Custer,200,84,25,Box 3
Custer,200,85,25,Box 3
Custer,200,86,25,Box 3
Custer,200,87,25,Box 3
Custer,200,88,25,Box 3
Custer,200,89,25,Box 3
Custer,200,90,25,Box 3
Custer,200,91,25,Box 3
Custer,200,92,25,Box 3
Custer,200,93,25,Box 3
Custer,200,94,25,Box 3
Custer,200,95,25,Box 3
Custer,200,96,25,Box 3
Custer,200,97,25,Box 3
Custer,200,98,25,Box 3
Custer,200,99,25,Box 3
Custer,200,100,25,Box 3
Custer,200,101,25,Box 3
Custer,200,102,25,Box 3
Custer,200,103,25,Box 3
Custer,200,104,25,Box 3
Custer,200,105,24,Box 3
