County,Device ID,Batch #,# of Ballot Cards,Location
Dolores,102,1,25,
Dolores,102,2,25,
Dolores,102,3,25,
Dolores,102,4,25,
Dolores,102,5,25,
Dolores,102,6,25,
Dolores,102,7,25,
Dolores,102,8,25,
Dolores,102,9,25,
Dolores,102,10,25,
Dolores,102,11,25,
Dolores,102,12,25,
Dolores,102,13,25,
Dolores,102,14,25,
Dolores,102,15,25,
Dolores,102,16,25,
Dolores,102,17,25,
Dolores,102,18,25,
Dolores,102,19,25,
Dolores,102,20,25,
Dolores,102,21,25,
Dolores,102,22,25,
Dolores,102,23,25,
Dolores,102,24,25,
Dolores,102,25,25,
Dolores,102,26,25,
Dolores,102,27,25,
Dolores,102,28,25,
Dolores,102,29,25,
Dolores,102,30,25,
Dolores,102,31,25,
Dolores,102,32,25,
Dolores,102,33,25,
Dolores,102,34,25,
Dolores,102,35,25,
Dolores,102,36,25,
Dolores,102,37,21,
