County,Tabulator ID,Batch,# of Ballot Cards,Location,,,,,,,,
Eagle,101,1,24,1,,,,,,,,
Eagle,101,2,25,1,,,,,,,,
Eagle,101,3,23,1,,,,,,,,
Eagle,101,4,25,1,,,,,,,,
Eagle,101,5,22,1,,,,,,,,
Eagle,101,6,25,1,,,,,,,,
Eagle,101,7,10,1,,,,,,,,
Eagle,101,8,25,1,,,,,,,,
Eagle,101,9,25,1,,,,,,,,
Eagle,101,10,20,1,,,,,,,,
Eagle,101,11,25,1,,,,,,,,
Eagle,101,12,24,1,,,,,,,,
Eagle,101,13,25,1,,,,,,,,
Eagle,101,14,25,1,,,,,,,,
Eagle,101,15,22,1,,,,,,,,
Eagle,101,16,19,1,,,,,,,,
Eagle,101,17,17,1,,,,,,,,
Eagle,101,18,21,1,,,,,,,,
Eagle,101,19,25,1,,,,,,,,
Eagle,101,20,21,1,,,,,,,,
Eagle,101,21,25,1,,,,,,,,
Eagle,101,22,23,1,,,,,,,,
Eagle,101,23,25,1,,,,,,,,
Eagle,101,24,22,1,,,,,,,,
Eagle,101,25,25,1,,,,,,,,
Eagle,101,26,23,2,,,,,,,,
Eagle,101,27,25,2,,,,,,,,
Eagle,101,28,24,2,,,,,,,,
Eagle,101,29,25,2,,,,,,,,
Eagle,101,30,22,2,,,,,,,,
Eagle,101,31,25,2,,,,,,,,
Eagle,101,32,22,2,,,,,,,,
Eagle,101,33,25,2,,,,,,,,
Eagle,101,34,23,2,,,,,,,,
Eagle,101,35,25,2,,,,,,,,
Eagle,101,36,23,2,,,,,,,,
Eagle,101,37,25,2,,,,,,,,
Eagle,101,38,22,2,,,,,,,,
Eagle,101,39,25,2,,,,,,,,
Eagle,101,40,11,2,,,,,,,,
Eagle,101,41,25,2,,,,,,,,
Eagle,101,42,24,2,,,,,,,,
Eagle,101,43,25,2,,,,,,,,
Eagle,101,44,20,2,,,,,,,,
Eagle,101,45,25,2,,,,,,,,
Eagle,101,46,23,2,,,,,,,,
Eagle,101,47,25,2,,,,,,,,
Eagle,101,48,23,2,,,,,,,,
Eagle,101,49,25,2,,,,,,,,
Eagle,101,50,24,3,,,,,,,,
Eagle,101,51,25,3,,,,,,,,
Eagle,101,52,23,3,,,,,,,,
Eagle,101,53,25,3,,,,,,,,
Eagle,101,54,25,3,,,,,,,,
Eagle,101,55,25,3,,,,,,,,
Eagle,101,56,19,3,,,,,,,,
Eagle,101,57,25,3,,,,,,,,
Eagle,101,58,19,3,,,,,,,,
Eagle,101,59,25,3,,,,,,,,
Eagle,101,60,12,3,,,,,,,,
Eagle,101,61,25,3,,,,,,,,
Eagle,101,62,25,3,,,,,,,,
Eagle,101,63,20,3,,,,,,,,
Eagle,101,64,21,3,,,,,,,,
Eagle,101,65,25,3,,,,,,,,
Eagle,101,66,21,3,,,,,,,,
Eagle,101,67,25,3,,,,,,,,
Eagle,101,68,25,3,,,,,,,,
Eagle,101,69,25,3,,,,,,,,
Eagle,101,70,11,3,,,,,,,,
Eagle,101,71,16,3,,,,,,,,
Eagle,101,72,14,3,,,,,,,,
Eagle,101,73,25,3,,,,,,,,
Eagle,101,74,24,3,,,,,,,,
Eagle,101,75,24,4,,,,,,,,
Eagle,101,76,25,4,,,,,,,,
Eagle,101,77,8,4,,,,,,,,
Eagle,101,78,25,4,,,,,,,,
Eagle,101,79,22,4,,,,,,,,
Eagle,101,80,25,4,,,,,,,,
Eagle,101,81,22,4,,,,,,,,
Eagle,101,82,25,4,,,,,,,,
Eagle,101,83,24,4,,,,,,,,
Eagle,101,84,25,4,,,,,,,,
Eagle,101,85,25,4,,,,,,,,
Eagle,101,86,20,4,,,,,,,,
Eagle,101,87,23,4,,,,,,,,
Eagle,101,88,25,4,,,,,,,,
Eagle,101,89,24,4,,,,,,,,
Eagle,101,90,25,4,,,,,,,,
Eagle,101,91,18,4,,,,,,,,
Eagle,101,92,25,4,,,,,,,,
Eagle,101,93,21,4,,,,,,,,
Eagle,101,94,25,4,,,,,,,,
Eagle,101,95,20,4,,,,,,,,
Eagle,101,96,25,4,,,,,,,,
Eagle,101,97,23,4,,,,,,,,
Eagle,101,98,25,4,,,,,,,,
Eagle,101,99,11,4,,,,,,,,
Eagle,101,100,25,4,,,,,,,,
Eagle,101,101,21,5,,,,,,,,
Eagle,101,102,25,5,,,,,,,,
Eagle,101,103,23,5,,,,,,,,
Eagle,101,104,25,5,,,,,,,,
Eagle,101,105,25,5,,,,,,,,
Eagle,101,106,25,5,,,,,,,,
Eagle,101,107,24,5,,,,,,,,
Eagle,101,108,25,5,,,,,,,,
Eagle,101,109,21,5,,,,,,,,
Eagle,101,110,25,5,,,,,,,,
Eagle,101,111,23,5,,,,,,,,
Eagle,101,112,25,5,,,,,,,,
Eagle,101,113,25,5,,,,,,,,
Eagle,101,114,25,5,,,,,,,,
Eagle,101,115,25,5,,,,,,,,
Eagle,101,116,25,5,,,,,,,,
Eagle,101,117,25,5,,,,,,,,
Eagle,101,118,25,5,,,,,,,,
Eagle,101,119,25,5,,,,,,,,
Eagle,101,120,25,5,,,,,,,,
Eagle,101,121,9,5,,,,,,,,
Eagle,101,122,25,5,,,,,,,,
Eagle,101,123,19,5,,,,,,,,
Eagle,101,124,25,5,,,,,,,,
Eagle,101,125,20,6,,,,,,,,
Eagle,101,126,25,6,,,,,,,,
Eagle,101,127,21,6,,,,,,,,
Eagle,101,128,25,6,,,,,,,,
Eagle,101,129,22,6,,,,,,,,
Eagle,101,130,25,6,,,,,,,,
Eagle,101,131,23,6,,,,,,,,
Eagle,101,132,25,6,,,,,,,,
Eagle,101,133,24,6,,,,,,,,
Eagle,101,134,25,6,,,,,,,,
Eagle,101,135,20,6,,,,,,,,
Eagle,101,136,25,6,,,,,,,,
Eagle,101,137,21,6,,,,,,,,
Eagle,101,138,25,6,,,,,,,,
Eagle,101,139,22,6,,,,,,,,
Eagle,101,140,25,6,,,,,,,,
Eagle,101,141,21,6,,,,,,,,
Eagle,101,142,25,6,,,,,,,,
Eagle,101,143,23,6,,,,,,,,
Eagle,101,144,25,6,,,,,,,,
Eagle,101,145,16,6,,,,,,,,
Eagle,101,146,25,6,,,,,,,,
Eagle,101,147,19,6,,,,,,,,
Eagle,101,148,25,6,,,,,,,,
Eagle,101,149,24,7,,,,,,,,
Eagle,101,150,25,7,,,,,,,,
Eagle,101,151,19,7,,,,,,,,
Eagle,101,152,25,7,,,,,,,,
Eagle,101,153,17,7,,,,,,,,
Eagle,101,154,25,7,,,,,,,,
Eagle,101,155,23,7,,,,,,,,
Eagle,101,156,25,7,,,,,,,,
Eagle,101,157,4,7,,,,,,,,
Eagle,101,158,25,7,,,,,,,,
Eagle,101,159,25,7,,,,,,,,
Eagle,101,160,23,7,,,,,,,,
Eagle,101,161,25,7,,,,,,,,
Eagle,101,162,24,7,,,,,,,,
Eagle,101,163,25,7,,,,,,,,
Eagle,101,164,23,7,,,,,,,,
Eagle,101,165,25,7,,,,,,,,
Eagle,101,166,22,7,,,,,,,,
Eagle,101,167,25,7,,,,,,,,
Eagle,101,168,23,7,,,,,,,,
Eagle,101,169,21,7,,,,,,,,
Eagle,101,170,25,7,,,,,,,,
Eagle,101,171,25,7,,,,,,,,
Eagle,101,172,22,7,,,,,,,,
Eagle,101,173,25,7,,,,,,,,
Eagle,101,174,23,7,,,,,,,,
Eagle,101,175,25,7,,,,,,,,
Eagle,101,176,24,8,,,,,,,,
Eagle,101,177,25,8,,,,,,,,
Eagle,101,178,22,8,,,,,,,,
Eagle,101,179,25,8,,,,,,,,
Eagle,101,180,21,8,,,,,,,,
Eagle,101,181,25,8,,,,,,,,
Eagle,101,182,24,8,,,,,,,,
Eagle,101,183,25,8,,,,,,,,
Eagle,101,184,24,8,,,,,,,,
Eagle,101,185,24,8,,,,,,,,
Eagle,101,186,11,8,,,,,,,,
Eagle,101,187,25,8,,,,,,,,
Eagle,101,188,25,8,,,,,,,,
Eagle,101,189,24,8,,,,,,,,
Eagle,101,190,25,8,,,,,,,,
Eagle,101,191,23,8,,,,,,,,
Eagle,101,192,25,8,,,,,,,,
Eagle,101,193,23,8,,,,,,,,
Eagle,101,194,25,8,,,,,,,,
Eagle,101,195,24,8,,,,,,,,
Eagle,101,196,25,8,,,,,,,,
Eagle,101,197,25,8,,,,,,,,
Eagle,101,198,25,8,,,,,,,,
Eagle,101,199,24,8,,,,,,,,
Eagle,101,200,25,8,,,,,,,,
Eagle,101,201,25,9,,,,,,,,
Eagle,101,202,23,9,,,,,,,,
Eagle,101,203,25,9,,,,,,,,
Eagle,101,204,25,9,,,,,,,,
Eagle,101,205,25,9,,,,,,,,
Eagle,101,206,25,9,,,,,,,,
Eagle,101,207,25,9,,,,,,,,
Eagle,101,208,25,9,,,,,,,,
Eagle,101,209,25,9,,,,,,,,
Eagle,101,210,25,9,,,,,,,,
Eagle,101,211,22,9,,,,,,,,
Eagle,101,212,23,9,,,,,,,,
Eagle,101,213,22,9,,,,,,,,
Eagle,101,214,25,9,,,,,,,,
Eagle,101,215,24,9,,,,,,,,
Eagle,101,216,25,9,,,,,,,,
Eagle,101,217,25,9,,,,,,,,
Eagle,101,218,25,9,,,,,,,,
Eagle,101,219,20,9,,,,,,,,
Eagle,101,220,25,9,,,,,,,,
Eagle,101,221,25,9,,,,,,,,
Eagle,101,222,25,9,,,,,,,,
Eagle,101,223,25,9,,,,,,,,
Eagle,101,224,25,9,,,,,,,,
Eagle,101,225,23,10,,,,,,,,
Eagle,101,226,25,10,,,,,,,,
Eagle,101,227,24,10,,,,,,,,
Eagle,101,228,25,10,,,,,,,,
Eagle,101,229,7,10,,,,,,,,
Eagle,101,230,25,10,,,,,,,,
Eagle,101,231,24,10,,,,,,,,
Eagle,101,232,24,10,,,,,,,,
Eagle,101,233,25,10,,,,,,,,
Eagle,101,234,22,10,,,,,,,,
Eagle,101,235,25,10,,,,,,,,
Eagle,101,236,25,10,,,,,,,,
Eagle,101,237,21,10,,,,,,,,
Eagle,101,238,22,10,,,,,,,,
Eagle,101,239,25,10,,,,,,,,
Eagle,101,240,22,10,,,,,,,,
Eagle,101,241,25,10,,,,,,,,
Eagle,101,242,21,10,,,,,,,,
Eagle,101,243,25,10,,,,,,,,
Eagle,101,244,23,10,,,,,,,,
Eagle,101,245,25,10,,,,,,,,
Eagle,101,246,20,10,,,,,,,,
Eagle,101,247,25,10,,,,,,,,
Eagle,101,248,22,10,,,,,,,,
Eagle,101,249,25,10,,,,,,,,
Eagle,101,250,20,10,,,,,,,,
Eagle,101,251,25,10,,,,,,,,
Eagle,101,252,25,11,,,,,,,,
Eagle,101,253,25,11,,,,,,,,
Eagle,101,254,25,11,,,,,,,,
Eagle,101,255,25,11,,,,,,,,
Eagle,101,256,25,11,,,,,,,,
Eagle,101,257,25,11,,,,,,,,
Eagle,101,258,25,11,,,,,,,,
Eagle,101,259,25,11,,,,,,,,
Eagle,101,260,25,11,,,,,,,,
Eagle,101,261,25,11,,,,,,,,
Eagle,101,262,25,11,,,,,,,,
Eagle,101,263,7,11,,,,,,,,
Eagle,101,264,20,11,,,,,,,,
Eagle,101,265,25,11,,,,,,,,
Eagle,101,266,21,11,,,,,,,,
Eagle,101,267,25,11,,,,,,,,
Eagle,101,268,22,11,,,,,,,,
Eagle,101,269,4,11,,,,,,,,
Eagle,101,270,23,11,,,,,,,,
Eagle,101,271,19,11,,,,,,,,
Eagle,101,272,25,11,,,,,,,,
Eagle,101,273,25,11,,,,,,,,
Eagle,101,274,25,11,,,,,,,,
Eagle,101,275,25,11,,,,,,,,
Eagle,101,276,25,11,,,,,,,,
Eagle,101,277,25,11,,,,,,,,
Eagle,101,278,25,11,,,,,,,,
Eagle,101,279,25,12,,,,,,,,
Eagle,101,280,25,12,,,,,,,,
Eagle,101,281,25,12,,,,,,,,
Eagle,101,282,25,12,,,,,,,,
Eagle,101,283,25,12,,,,,,,,
Eagle,101,284,25,12,,,,,,,,
Eagle,101,285,25,12,,,,,,,,
Eagle,101,286,23,12,,,,,,,,
Eagle,101,287,23,12,,,,,,,,
Eagle,101,288,25,12,,,,,,,,
Eagle,101,289,25,12,,,,,,,,
Eagle,101,290,21,12,,,,,,,,
Eagle,101,291,21,12,,,,,,,,
Eagle,101,292,25,12,,,,,,,,
Eagle,101,293,22,12,,,,,,,,
Eagle,101,294,25,12,,,,,,,,
Eagle,101,295,22,12,,,,,,,,
Eagle,101,296,25,12,,,,,,,,
Eagle,101,297,24,12,,,,,,,,
Eagle,101,298,25,12,,,,,,,,
Eagle,101,299,24,12,,,,,,,,
Eagle,101,300,25,12,,,,,,,,
Eagle,101,301,22,12,,,,,,,,
Eagle,101,302,25,12,,,,,,,,
Eagle,101,303,24,13,,,,,,,,
Eagle,101,304,25,13,,,,,,,,
Eagle,101,305,20,13,,,,,,,,
Eagle,101,306,24,13,,,,,,,,
Eagle,101,307,25,13,,,,,,,,
Eagle,101,308,24,13,,,,,,,,
Eagle,101,309,25,13,,,,,,,,
Eagle,101,310,23,13,,,,,,,,
Eagle,101,311,25,13,,,,,,,,
Eagle,101,312,24,13,,,,,,,,
Eagle,101,313,25,13,,,,,,,,
Eagle,101,314,23,13,,,,,,,,
Eagle,101,315,25,13,,,,,,,,
Eagle,101,316,21,13,,,,,,,,
Eagle,101,317,25,13,,,,,,,,
Eagle,101,318,25,13,,,,,,,,
Eagle,101,319,25,13,,,,,,,,
Eagle,101,320,25,13,,,,,,,,
Eagle,101,321,22,13,,,,,,,,
Eagle,101,322,25,13,,,,,,,,
Eagle,101,323,24,13,,,,,,,,
Eagle,101,324,25,13,,,,,,,,
Eagle,101,325,22,13,,,,,,,,
Eagle,101,326,25,13,,,,,,,,
Eagle,101,327,21,14,,,,,,,,
Eagle,101,328,25,14,,,,,,,,
Eagle,101,329,22,14,,,,,,,,
Eagle,101,330,25,14,,,,,,,,
Eagle,101,331,23,14,,,,,,,,
Eagle,101,332,25,14,,,,,,,,
Eagle,101,333,25,14,,,,,,,,
Eagle,101,334,25,14,,,,,,,,
Eagle,101,335,22,14,,,,,,,,
Eagle,101,336,25,14,,,,,,,,
Eagle,101,337,22,14,,,,,,,,
Eagle,101,338,25,14,,,,,,,,
Eagle,101,339,19,14,,,,,,,,
Eagle,101,340,25,14,,,,,,,,
Eagle,101,341,23,14,,,,,,,,
Eagle,101,342,25,14,,,,,,,,
Eagle,101,343,23,14,,,,,,,,
Eagle,101,344,25,14,,,,,,,,
Eagle,101,345,23,14,,,,,,,,
Eagle,101,346,25,14,,,,,,,,
Eagle,101,347,23,14,,,,,,,,
Eagle,101,348,25,14,,,,,,,,
Eagle,101,349,21,14,,,,,,,,
Eagle,101,350,25,14,,,,,,,,
Eagle,101,351,23,15,,,,,,,,
Eagle,101,352,25,15,,,,,,,,
Eagle,101,353,25,15,,,,,,,,
Eagle,101,354,25,15,,,,,,,,
Eagle,101,355,24,15,,,,,,,,
Eagle,101,356,25,15,,,,,,,,
Eagle,101,357,24,15,,,,,,,,
Eagle,101,358,25,15,,,,,,,,
Eagle,101,359,23,15,,,,,,,,
Eagle,101,360,25,15,,,,,,,,
Eagle,101,361,24,15,,,,,,,,
Eagle,101,362,25,15,,,,,,,,
Eagle,101,363,23,15,,,,,,,,
Eagle,101,364,25,15,,,,,,,,
Eagle,101,365,23,15,,,,,,,,
Eagle,101,366,25,15,,,,,,,,
Eagle,101,367,25,15,,,,,,,,
Eagle,101,368,25,15,,,,,,,,
Eagle,101,369,22,15,,,,,,,,
Eagle,101,370,25,15,,,,,,,,
Eagle,101,371,24,15,,,,,,,,
Eagle,101,372,25,15,,,,,,,,
Eagle,101,373,23,16,,,,,,,,
Eagle,101,374,25,16,,,,,,,,
Eagle,101,375,25,16,,,,,,,,
Eagle,101,376,25,16,,,,,,,,
Eagle,101,377,25,16,,,,,,,,
Eagle,101,378,25,16,,,,,,,,
Eagle,101,379,24,16,,,,,,,,
Eagle,101,380,25,16,,,,,,,,
Eagle,101,381,23,16,,,,,,,,
Eagle,101,382,25,16,,,,,,,,
Eagle,101,383,24,16,,,,,,,,
Eagle,101,384,25,16,,,,,,,,
Eagle,101,385,24,16,,,,,,,,
Eagle,101,386,25,16,,,,,,,,
Eagle,101,387,24,16,,,,,,,,
Eagle,101,388,25,16,,,,,,,,
Eagle,101,389,23,16,,,,,,,,
Eagle,101,390,25,16,,,,,,,,
Eagle,101,391,24,16,,,,,,,,
Eagle,101,392,25,16,,,,,,,,
Eagle,101,393,24,16,,,,,,,,
Eagle,101,394,25,16,,,,,,,,
Eagle,101,395,22,17,,,,,,,,
Eagle,101,396,25,17,,,,,,,,
Eagle,101,397,25,17,,,,,,,,
Eagle,101,398,25,17,,,,,,,,
Eagle,101,399,18,17,,,,,,,,
Eagle,101,400,25,17,,,,,,,,
Eagle,101,401,15,17,,,,,,,,
Eagle,101,402,25,17,,,,,,,,
Eagle,101,403,23,17,,,,,,,,
Eagle,101,404,25,17,,,,,,,,
Eagle,101,405,23,17,,,,,,,,
Eagle,101,406,25,17,,,,,,,,
Eagle,101,407,23,17,,,,,,,,
Eagle,101,408,25,17,,,,,,,,
Eagle,101,409,23,17,,,,,,,,
Eagle,101,410,25,17,,,,,,,,
Eagle,101,411,25,17,,,,,,,,
Eagle,101,412,25,17,,,,,,,,
Eagle,101,413,23,17,,,,,,,,
Eagle,101,414,25,17,,,,,,,,
Eagle,101,415,22,17,,,,,,,,
Eagle,101,416,25,17,,,,,,,,
Eagle,101,417,22,17,,,,,,,,
Eagle,101,418,25,17,,,,,,,,
Eagle,101,419,25,18,,,,,,,,
Eagle,101,420,25,18,,,,,,,,
Eagle,101,421,24,18,,,,,,,,
Eagle,101,422,25,18,,,,,,,,
Eagle,101,423,25,18,,,,,,,,
Eagle,101,424,25,18,,,,,,,,
Eagle,101,425,23,18,,,,,,,,
Eagle,101,426,25,18,,,,,,,,
Eagle,101,427,21,18,,,,,,,,
Eagle,101,428,25,18,,,,,,,,
Eagle,101,429,19,18,,,,,,,,
Eagle,101,430,25,18,,,,,,,,
Eagle,101,431,25,18,,,,,,,,
Eagle,101,432,25,18,,,,,,,,
Eagle,101,433,24,18,,,,,,,,
Eagle,101,434,25,18,,,,,,,,
Eagle,101,435,18,18,,,,,,,,
Eagle,101,436,25,18,,,,,,,,
Eagle,101,437,24,18,,,,,,,,
