County,Tabulator ID,Batch,# of Ballot Cards,Location
Huerfano,102,1,1,Box1
Huerfano,102,2,2,Box1
Huerfano,102,3,1,Box1
Huerfano,102,4,2,Box1
Huerfano,102,5,14,Box1
Huerfano,102,6,50,Box1
Huerfano,102,7,11,Box1
Huerfano,102,8,6,Box1
Huerfano,102,9,8,Box1
Huerfano,102,10,1,Box1
Huerfano,102,11,49,Box1
Huerfano,102,12,9,Box1
Huerfano,102,13,31,Box1
Huerfano,102,14,50,Box1
Huerfano,102,15,16,Box1
Huerfano,102,16,3,Box1
Huerfano,102,17,16,Box1
Huerfano,102,18,3,Box1
Huerfano,102,19,49,Box2
Huerfano,102,20,35,Box2
Huerfano,102,21,49,Box2
Huerfano,102,22,30,Box2
Huerfano,102,23,7,Box2
Huerfano,102,24,1,Box2
Huerfano,102,25,35,Box2
Huerfano,102,26,23,Box2
Huerfano,102,27,38,Box2
Huerfano,102,28,33,Box2
Huerfano,102,29,6,Box2
Huerfano,102,30,5,Box2
Huerfano,102,31,26,Box2
Huerfano,102,32,46,Box2
Huerfano,102,33,6,Box2
Huerfano,102,34,50,Box 3
Huerfano,102,35,7,Box 3
Huerfano,102,36,2,Box 3
Huerfano,102,37,12,Box 3
Huerfano,102,38,30,Box 3
Huerfano,102,39,7,Box 3
Huerfano,102,40,50,Box 3
Huerfano,102,41,16,Box 3
Huerfano,102,42,10,Box 3
Huerfano,102,43,19,Box 3
Huerfano,102,44,27,Box 3
Huerfano,102,45,18,Box 3
Huerfano,102,46,4,Box 4
Huerfano,102,47,8,Box 4
Huerfano,102,48,26,Box 4
Huerfano,102,49,50,Box 4
Huerfano,102,50,26,Box 4
Huerfano,102,51,40,Box 4
Huerfano,102,52,49,Box 4
Huerfano,102,53,21,Box 4
Huerfano,102,54,30,Box 4
Huerfano,102,55,50,Box 4
Huerfano,102,56,16,Box 4
Huerfano,102,57,14,Box 4
Huerfano,102,58,1,Box 4
Huerfano,102,59,34,Box 4
Huerfano,102,60,28,Box 4
Huerfano,102,61,30,Box 5
Huerfano,102,62,42,Box 5
Huerfano,102,63,13,Box 6
Huerfano,102,64,23,Box 6
Huerfano,102,65,44,Box 6
Huerfano,102,66,50,Box 6
Huerfano,102,67,29,Box 6
Huerfano,102,68,3,Box 6
Huerfano,102,69,41,Box 6
Huerfano,102,70,9,Box 6
Huerfano,102,71,38,Box 6
Huerfano,102,72,31,Box 6
Huerfano,102,73,36,Box 6
Huerfano,102,74,9,Box 6
Huerfano,102,75,30,Box 6
Huerfano,102,76,33,Box 6
Huerfano,102,77,34,Box 6
Huerfano,102,78,26,Box 6
Huerfano,102,79,49,Box 6
Huerfano,102,80,48,Box 6
Huerfano,102,81,49,Box 7
Huerfano,102,82,50,Box 7
Huerfano,102,83,38,Box 7
Huerfano,102,84,30,Box 7
Huerfano,102,85,7,Box 7
Huerfano,102,86,35,Box 7
Huerfano,102,87,39,Box 7
Huerfano,102,88,49,Box 7
Huerfano,102,89,48,Box 7
Huerfano,102,90,7,Box 7
Huerfano,102,91,46,Box 7
Huerfano,102,92,26,Box 7
Huerfano,102,93,1,Box 7
Huerfano,102,94,49,Box 7
Huerfano,102,95,28,Box 7
Huerfano,102,96,6,Box 7
Huerfano,102,97,41,Box 7
Huerfano,102,98,47,Box 8
Huerfano,102,99,33,Box 8
Huerfano,102,100,39,Box 8
Huerfano,102,101,29,Box 8
Huerfano,102,102,1,Box 8
Huerfano,102,103,3,Box 8
Huerfano,102,104,4,Box 8
Huerfano,102,105,49,Box 8
Huerfano,102,106,17,Box 8
Huerfano,102,107,30,Box 8
Huerfano,102,108,24,Box 8
Huerfano,102,109,3,Box 9
Huerfano,102,110,1,Box 9
Huerfano,102,111,2,Box 9
Huerfano,102,112,3,Box 9
Huerfano,102,113,8,Box 9
Huerfano,102,114,3,Box 9
Huerfano,102,115,6,Box 9
Huerfano,102,116,3,Box 9
Huerfano,102,117,1,Box 9
Huerfano,102,118,4,Box 9
Huerfano,102,119,6,Box 9
Huerfano,102,120,1,Box 9
