County,Tabulator,Batch,# of Ballot Cards,Location
Kiowa,102,1,25,Box 1
Kiowa,102,2,25,Box 1
Kiowa,102,3,25,Box 1
Kiowa,102,4,25,Box 1
Kiowa,102,5,25,Box 1
Kiowa,102,6,25,Box 1
Kiowa,102,7,25,Box 1
Kiowa,102,8,25,Box 1
Kiowa,102,9,25,Box 1
Kiowa,102,10,25,Box 1
Kiowa,102,11,25,Box 1
Kiowa,102,12,25,Box 1
Kiowa,102,13,25,Box 1
Kiowa,102,14,25,Box 1
Kiowa,102,15,25,Box 1
Kiowa,102,16,25,Box 1
Kiowa,102,17,25,Box 1
Kiowa,102,18,25,Box 1
Kiowa,102,19,25,Box 1
Kiowa,102,20,25,Box 1
Kiowa,102,21,25,Box 1
Kiowa,102,22,2,Box 1
