County,Tabulator,Batch,# of Ballot Cards,Location
Logan,103,1,24,1
Logan,103,2,25,1
Logan,103,3,25,1
Logan,103,4,24,1
Logan,103,5,24,1
Logan,103,6,25,1
Logan,103,7,25,1
Logan,103,8,25,1
Logan,103,9,30,1
Logan,103,10,6,1
Logan,103,11,50,1
Logan,103,12,25,1
Logan,103,13,25,1
Logan,103,14,25,1
Logan,103,15,25,1
Logan,103,16,23,1
Logan,103,17,24,1
Logan,103,18,24,1
Logan,103,19,21,1
Logan,103,20,1,1
Logan,103,21,25,2
Logan,103,22,25,2
Logan,103,23,25,2
Logan,103,24,25,2
Logan,103,25,25,2
Logan,103,26,25,2
Logan,103,27,25,2
Logan,103,28,25,2
Logan,103,29,24,2
Logan,103,30,25,2
Logan,103,31,20,2
Logan,103,32,25,2
Logan,103,33,25,2
Logan,103,34,24,2
Logan,103,35,25,2
Logan,103,36,25,2
Logan,103,37,25,2
Logan,103,38,25,2
Logan,103,39,25,2
Logan,103,40,23,2
Logan,103,41,24,2
Logan,103,42,23,2
Logan,103,43,27,2
Logan,103,44,1,2
Logan,103,45,25,3
Logan,103,46,27,3
Logan,103,47,25,3
Logan,103,48,25,3
Logan,103,49,25,3
Logan,103,50,25,3
Logan,103,51,25,3
Logan,103,52,25,3
Logan,103,53,29,3
Logan,103,54,22,3
Logan,103,55,25,3
Logan,103,56,1,3
Logan,103,57,24,4
Logan,103,58,24,4
Logan,103,59,25,4
Logan,103,60,25,4
Logan,103,61,25,4
Logan,103,62,25,4
Logan,103,63,25,4
Logan,103,64,25,4
Logan,103,65,25,4
Logan,103,66,17,4
Logan,103,67,25,4
Logan,103,68,2,4
Logan,103,69,25,4
Logan,103,70,24,4
Logan,103,71,24,4
Logan,103,72,25,4
Logan,103,73,26,4
Logan,103,74,28,4
Logan,103,75,27,4
Logan,103,76,2,4
Logan,103,77,25,5
Logan,103,78,25,5
Logan,103,79,25,5
Logan,103,80,25,5
Logan,103,81,25,5
Logan,103,82,25,5
Logan,103,83,25,5
Logan,103,84,25,5
Logan,103,85,27,5
Logan,103,86,25,5
Logan,103,87,25,5
Logan,103,88,25,5
Logan,103,89,25,5
Logan,103,90,24,5
Logan,103,91,25,5
Logan,103,92,24,5
Logan,103,93,25,5
Logan,103,94,25,5
Logan,103,95,25,5
Logan,103,96,32,5
Logan,103,97,2,5
Logan,103,98,25,6
