County,Tabulator ID,Batch,# of Ballot Cards,Location
Rio Blanco,201,1,25,ADJ Box 1
Rio Blanco,201,2,25,ADJ Box 1
Rio Blanco,201,3,25,ADJ Box 1
Rio Blanco,201,4,25,ADJ Box 1
Rio Blanco,201,5,25,ADJ Box 1
Rio Blanco,201,6,25,ADJ Box 1
Rio Blanco,201,7,25,ADJ Box 1
Rio Blanco,201,8,25,ADJ Box 1
Rio Blanco,201,9,25,ADJ Box 1
Rio Blanco,201,10,25,ADJ Box 1
Rio Blanco,201,11,25,ADJ Box 1
Rio Blanco,201,12,25,ADJ Box 1
Rio Blanco,201,13,25,ADJ Box 1
Rio Blanco,201,14,25,ADJ Box 1
Rio Blanco,201,15,25,ADJ Box 1
Rio Blanco,201,16,25,ADJ Box 1
Rio Blanco,201,17,25,ADJ Box 1
Rio Blanco,201,18,25,ADJ Box 1
Rio Blanco,201,19,25,ADJ Box 1
Rio Blanco,201,20,25,ADJ Box 1
Rio Blanco,201,21,20,ADJ Box 1
Rio Blanco,201,22,23,ADJ Box 1
Rio Blanco,201,23,25,ADJ Box 1
Rio Blanco,201,25,25,ADJ Box 1
Rio Blanco,201,26,25,ADJ Box 1
Rio Blanco,201,27,25,ADJ Box 1
Rio Blanco,201,28,25,ADJ Box 1
Rio Blanco,201,29,25,ADJ Box 1
Rio Blanco,201,30,25,ADJ Box 1
Rio Blanco,201,31,25,ADJ Box 1
Rio Blanco,201,32,25,ADJ Box 1
Rio Blanco,201,33,24,ADJ Box 1
Rio Blanco,201,34,25,ADJ Box 1
Rio Blanco,201,35,25,ADJ Box 1
Rio Blanco,201,36,25,ADJ Box 1
Rio Blanco,201,37,25,ADJ Box 1
Rio Blanco,201,38,25,ADJ Box 1
Rio Blanco,201,39,25,ADJ Box 1
Rio Blanco,201,40,25,ADJ Box 1
Rio Blanco,201,41,25,ADJ Box 1
Rio Blanco,201,42,25,ADJ Box 1
Rio Blanco,201,43,25,ADJ Box 1
Rio Blanco,201,44,25,ADJ Box 1
Rio Blanco,201,45,25,ADJ Box 1
Rio Blanco,201,46,25,ADJ Box 1
Rio Blanco,201,47,25,ADJ Box 1
Rio Blanco,201,48,25,ADJ Box 1
Rio Blanco,201,49,25,ADJ Box 1
Rio Blanco,201,50,25,ADJ Box 1
Rio Blanco,201,51,25,ADJ Box 1
Rio Blanco,201,52,25,ADJ Box 1
Rio Blanco,201,53,18,ADJ Box 1
Rio Blanco,201,54,25,ADJ Box 2
Rio Blanco,201,55,25,ADJ Box 2
Rio Blanco,201,56,25,ADJ Box 2
Rio Blanco,201,57,25,ADJ Box 2
Rio Blanco,201,58,25,ADJ Box 2
Rio Blanco,201,59,25,ADJ Box 2
Rio Blanco,201,60,25,ADJ Box 2
Rio Blanco,201,61,25,ADJ Box 2
Rio Blanco,201,62,25,ADJ Box 2
Rio Blanco,201,63,25,ADJ Box 2
Rio Blanco,201,64,25,ADJ Box 2
Rio Blanco,201,65,25,ADJ Box 2
Rio Blanco,201,66,25,ADJ Box 2
Rio Blanco,201,67,25,ADJ Box 2
Rio Blanco,201,68,25,ADJ Box 2
Rio Blanco,201,69,25,ADJ Box 2
Rio Blanco,201,70,25,ADJ Box 2
Rio Blanco,201,71,25,ADJ Box 2
Rio Blanco,201,72,25,ADJ Box 2
Rio Blanco,201,73,22,ADJ Box 2
Rio Blanco,201,74,25,ADJ Box 2
Rio Blanco,201,75,25,ADJ Box 2
Rio Blanco,201,76,25,ADJ Box 2
Rio Blanco,201,77,8,ADJ Box 2
Rio Blanco,201,78,26,ADJ Box 2
Rio Blanco,201,79,25,ADJ Box 2
Rio Blanco,201,80,25,ADJ Box 2
Rio Blanco,201,81,33,ICX
Rio Blanco,201,82,14,8 day hold/uocava/cures
