min_margin,contest_name,contest_cvr_ids
0,City of Northglenn Council Member - Ward 4 - 4 Year,[]
0,Alamosa School District RE-11J Director District 2,[]
90,Creede School District Board Director Four Year Term,"[26447,26058,26161,26031,26127,26490,26083,26179,26127,26434,26362,26388,26210,26490,26298,26083,26053,26246,26117,26213,25998,26159,26333,26159,26317,26221,26504,26524,26473,26559,26267,26550,26198,26077,26089,26256,26083,26540,26480,26514,26207,26383,25982,26265,26313,26237,26360,26314,26215,26218]"
0,Alamosa School District RE-11J Director District 5,[]
0,City of Las Animas City Council Ward 1 - Precinct 10,[]
0,Alamosa School District RE-11J Director District 7,[]
0,DIRECTOR DISTRICT A,[]
0,DIRECTOR DISTRICT B,[]
0,DIRECTOR DISTRICT D,[]
0,Pritchett School District RE-3 Board of Directors Four Year Term,[]
0,City and County of Broomfield Councilmember Ward 2 (4 Years),[]
0,Weld County School District RE-5J Director District A,[]
0,Weld County School District RE-5J Director District D,[]
0,Weld County School District RE-5J Director District C,[]
0,Weld County School District RE-5J Director District E,[]
562,Montezuma School District Director-District C,"[66164,66947,67592,66770,68179,67467,68916,65502,65867,69381,65886,64607,64936,67379,65686,66095,64089,68262,63833,70476,67803,65467,67088,69709,68295,66935,65519,64234,66526,69123,63650,70123,69656,69310,66217,66294,67101,65338,67216,64824,70847,68374,67143,70498,71709,66339,64121,63751,64371,67821,64169,67428,66739,66511,68169,65728,66710,65767,64773,70044,71114,70651,70901,66097,71778,67800,70603,65097,64314,63852,67581,64724,71215,67508,68848,66770,70708,63518,66438,64847,63709,69286,64798,65493,66285,64880,68914,71358,65100,65084,64846,71264,64549,69590,70207,70462,69129,70648,70223,64764,68610,71050,71314,69113,69566,70096,68833,70022,68657,68527,68673]"
0,City of Cripple Creek Council - Ward 4,[]
0,Salida City Council Ward 1 - Four Year Term,[]
0,Wray School District RD-2 Board of Education Directors - 2 Year Term,[]
0,City of Cripple Creek Council - Ward 5,[]
0,Centennial R-1 School District 5,[]
0,Victor Council Ward 2,[]
0,City and County of Broomfield Councilmember Ward 4 (4 Years),[]
0,DIRECTOR DISTRICT 1,[]
0,City of Fort Morgan Councilmember Ward 2,[]
0,DIRECTOR DISTRICT 3,[]
7288,City of Boulder Ballot Question 302,"[676997,682500,766227,779936,731055,707088,779173,669953,751807,727829,780887,747951,731662,754142,672234,681291,680751,733285,695669,690581,693993,775395,746176,720580,769864,766749,772943,714864,779552,709676,737508,693904,772505,676286,686229,757597,754042,735655,738995,692982,712060,688389,774884,758722,715722,725444,721619,708832,759997,747071,733680,781254,750836,773342,755392,690501,717935,773997,777765,760807,667571,667208,757033,782143,712791,760796,719263,754620,712022,767354,748605,780288,699918,710900,743231,709563,746198,765607,722525,696861,686851,734515,725372,764213,669847,739409,684839,679103,734290,775091,714974,691379,771568,674682,747290,725765,712199,696470,707133,692750,760436,714977,719936,762004,674748,721750,762070,721500,764142,748737,715950,726262,674506,703032,750752,757416,672358,666645,687592,675757,752844]"
0,City of Northglenn Council Member - Ward 1,[]
0,El Paso County School District 49 Board of Directors - District 5 - 4 Year Term,[]
442,Lincoln - Proposition II (Statutory),"[413204,413328,413694,413022,413592,413022,413840,413150,413328,413092,413732,413624,412838,413355,413660,413887,413015,413325,412844,413672,412911,413451,412980,413201,413351,413248,413170]"
0,City of Centennial Council Member District 4,[]
0,City of Lakewood Council Member Ward 5,[]
0,RFCW1 Council Member,[]
0,City of Northglenn Council Member - Ward 3 - 4 Year,[]
0,City of Lakewood Council Member Ward 3,[]
0,City of Lakewood Council Member Ward 4,[]
