Canonical List (Final),,
CountyName,ContestName,ContestChoices
Adams,17th Judicial District Ballot Question 7B,"Yes/For,No/Against"
Broomfield,17th Judicial District Ballot Question 7B,"Yes/For,No/Against"
Adams,Adams 12 Five Star Schools Ballot Issue 5D,"Yes/For,No/Against"
Broomfield,Adams 12 Five Star Schools Ballot Issue 5D,"Yes/For,No/Against"
Adams,Adams 12 Five Star Schools Ballot Issue 5E,"Yes/For,No/Against"
Broomfield,Adams 12 Five Star Schools Ballot Issue 5E,"Yes/For,No/Against"
Adams,Adams County Ballot Issue 1A,"Yes/For,No/Against"
Adams,Adams County Commissioner - District 1,"Shelly McClure,Julie Duran Mullica"
Adams,Adams County Commissioner - District 2,"Kathy Henson,Bernadette Tedesco"
Adams,Adams County Commissioner - District 5,"Jim Wood,Lynn Baca"
Adams,Adams County Court Judge - Dinnel,"Yes,No"
Adams,Adams County Court Judge - Flaum,"Yes,No"
Adams,Adams County Court Judge - Ivey,"Yes,No"
Adams,Adams County Court Judge - Jean,"Yes,No"
Adams,Adams County Court Judge - Kirby,"Yes,No"
Adams,Adams County Court Judge - Nowak,"Yes,No"
Adams,Adams County School District 14 Ballot Issue 4A,"Yes/For,No/Against"
Adams,Adams County School District 14 Ballot Issue 4B,"Yes/For,No/Against"
Adams,Adams-Arapahoe School District 28J Ballot Issue 5A,"Yes/For,No/Against"
Arapahoe,Adams-Arapahoe School District 28J Ballot Issue 5A,"Yes/For,No/Against"
Adams,Adams-Arapahoe School District 28J Ballot Issue 5B,"Yes/For,No/Against"
Arapahoe,Adams-Arapahoe School District 28J Ballot Issue 5B,"Yes/For,No/Against"
Chaffee,Affordable Housing 0.5% Sales Tax Increase,"Yes/For,No/Against"
Alamosa,Alamosa County Commissioner - District 1,"Lori Laske,Richard P. Needham"
Alamosa,Alamosa County Commissioner - District 3,Vern Heersink
Alamosa,Alamosa School District RE-11J Ballot Issue 5A,"Yes/For,No/Against"
Conejos,Alamosa School District RE-11J Ballot Issue 5A,"Yes/For,No/Against"
Adams,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Alamosa,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Arapahoe,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Archuleta,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Baca,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Bent,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Boulder,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Broomfield,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Chaffee,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Cheyenne,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Clear Creek,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Conejos,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Costilla,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Crowley,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Custer,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Delta,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Denver,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Dolores,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Douglas,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
