County,Tabulator ID,Batch,. of Ballots,Location
Douglas,1,GEN-0001,100,105
Douglas,1,GEN-0002,100,9
Douglas,1,GEN-0003,100,105
Douglas,1,GEN-0004,100,55
Douglas,1,GEN-0005,100,34
Douglas,1,GEN-0006,100,107
Douglas,1,GEN-0007,100,14
Douglas,1,GEN-0008,100,39
Douglas,1,GEN-0009,100,102
Douglas,1,GEN-0010,81,64
Douglas,1,GEN-0011,100,102
Douglas,1,GEN-0012,100,62
Douglas,1,GEN-0013,100,55
Douglas,1,GEN-0014,100,37
Douglas,1,GEN-0015,100,40
Douglas,1,GEN-0016,100,59
Douglas,1,GEN-0017,100,100
Douglas,1,GEN-0018,100,11
Douglas,1,GEN-0019,100,13
Douglas,1,GEN-0020,100,105
Douglas,1,GEN-0021,100,102
Douglas,1,GEN-0022,85,50
Douglas,1,GEN-0023,100,109
Douglas,1,GEN-0024,100,19
Douglas,1,GEN-0025,100,107
Douglas,1,GEN-0026,100,9
Douglas,1,GEN-0027,100,107
Douglas,1,GEN-0028,100,19
Douglas,1,GEN-0029,100,57
Douglas,1,GEN-0030,100,105
Douglas,1,GEN-0031,100,13
Douglas,1,GEN-0032,98,9
Douglas,1,GEN-0033,100,11
Douglas,1,GEN-0034,100,50
Douglas,1,GEN-0035,100,109
Douglas,1,GEN-0036,100,14
Douglas,1,GEN-0037,100,9
Douglas,1,GEN-0038,100,100
Douglas,1,GEN-0039,100,13
Douglas,1,GEN-0040,100,52
Douglas,1,GEN-0041,100,59
Douglas,1,GEN-0042,87,105
Douglas,1,GEN-0043,100,50
Douglas,1,GEN-0044,100,32
Douglas,1,GEN-0045,100,50
Douglas,1,GEN-0046,100,11
Douglas,1,GEN-0047,100,48
Douglas,1,GEN-0048,100,104
Douglas,1,GEN-0049,100,32
Douglas,1,GEN-0050,100,57
Douglas,1,GEN-0051,100,55
Douglas,1,GEN-0052,100,37
Douglas,1,GEN-0053,100,19
Douglas,1,GEN-0054,100,104
Douglas,1,GEN-0055,100,37
Douglas,1,GEN-0056,100,34
Douglas,1,GEN-0057,100,69
Douglas,1,GEN-0058,100,37
Douglas,1,GEN-0059,99,27
Douglas,1,GEN-0060,100,53
Douglas,1,GEN-0061,100,102
Douglas,1,GEN-0062,100,55
Douglas,1,GEN-0063,100,13
Douglas,1,GEN-0064,100,53
Douglas,1,GEN-0065,100,102
Douglas,1,GEN-0066,100,69
Douglas,1,GEN-0067,100,62
Douglas,1,GEN-0068,100,36
Douglas,1,GEN-0069,100,69
Douglas,1,GEN-0070,100,70
Douglas,1,GEN-0071,100,13
Douglas,1,GEN-0072,100,36
Douglas,1,GEN-0073,100,64
Douglas,1,GEN-0074,100,16
Douglas,1,GEN-0075,100,34
Douglas,1,GEN-0076,100,36
Douglas,1,GEN-0077,100,16
Douglas,1,GEN-0078,100,50
Douglas,1,GEN-0079,100,37
Douglas,1,GEN-0080,100,13
Douglas,1,GEN-0081,100,9
Douglas,1,GEN-0082,100,9
Douglas,1,GEN-0083,100,57
Douglas,1,GEN-0084,100,52
Douglas,1,GEN-0085,100,65
Douglas,1,GEN-0086,100,48
Douglas,1,GEN-0087,100,34
Douglas,1,GEN-0088,100,65
Douglas,1,GEN-0089,100,14
Douglas,1,GEN-0090,62,19
Douglas,1,GEN-0091,100,40
Douglas,1,GEN-0092,94,62
Douglas,1,GEN-0093,100,55
Douglas,1,GEN-0094,58,50
Douglas,1,GEN-0095,81,32
Douglas,1,GEN-0096,100,107
Douglas,1,GEN-0097,100,62
Douglas,1,GEN-0098,96,59
Douglas,1,GEN-0099,100,48
Douglas,1,GEN-0100,100,102
Douglas,1,GEN-0101,100,36
Douglas,1,GEN-0102,100,17
Douglas,1,GEN-0103,100,102
Douglas,1,GEN-0104,100,69
Douglas,1,GEN-0105,100,34
Douglas,1,GEN-0106,100,105
Douglas,1,GEN-0107,100,110
Douglas,1,GEN-0108,100,59
Douglas,1,GEN-0109,100,59
Douglas,1,GEN-0110,100,67
Douglas,1,GEN-0111,69,57
Douglas,1,GEN-0112,100,14
Douglas,1,GEN-0113,100,52
Douglas,1,GEN-0114,100,48
Douglas,1,GEN-0115,100,67
Douglas,1,GEN-0116,88,34
Douglas,1,GEN-0117,100,107
Douglas,1,GEN-0118,100,11
Douglas,1,GEN-0119,100,109
Douglas,1,GEN-0120,100,9
Douglas,1,GEN-0121,100,25
Douglas,1,GEN-0122,100,16
Douglas,1,GEN-0123,100,109
Douglas,1,GEN-0124,100,17
Douglas,1,GEN-0125,100,113
Douglas,1,GEN-0126,100,65
Douglas,1,GEN-0127,100,102
Douglas,1,GEN-0128,100,34
Douglas,1,GEN-0129,100,53
Douglas,1,GEN-0130,100,113
Douglas,1,GEN-0131,100,67
Douglas,1,GEN-0132,93,109
Douglas,1,GEN-0133,100,24
Douglas,1,GEN-0134,61,16
Douglas,1,GEN-0135,100,16
Douglas,1,GEN-0136,73,154
Douglas,1,GEN-0137,100,73
Douglas,1,GEN-0138,100,104
Douglas,1,GEN-0139,100,69
Douglas,1,GEN-0140,100,55
Douglas,1,GEN-0141,100,16
Douglas,1,GEN-0142,100,11
Douglas,1,GEN-0143,100,11
Douglas,1,GEN-0144,100,64
Douglas,1,GEN-0145,100,50
Douglas,1,GEN-0146,100,50
Douglas,1,GEN-0147,100,67
Douglas,1,GEN-0148,100,16
Douglas,1,GEN-0149,100,100
Douglas,1,GEN-0150,100,107
Douglas,1,GEN-0151,80,105
Douglas,1,GEN-0152,100,105
Douglas,1,GEN-0153,100,52
Douglas,1,GEN-0154,100,57
Douglas,1,GEN-0155,100,36
Douglas,1,GEN-0156,100,69
Douglas,1,GEN-0157,100,102
Douglas,1,GEN-0158,100,22
Douglas,1,GEN-0159,100,22
Douglas,1,GEN-0160,100,110
Douglas,1,GEN-0161,100,13
Douglas,1,GEN-0162,100,17
Douglas,1,GEN-0163,59,140
Douglas,1,GEN-0164,100,50
Douglas,1,GEN-0165,94,42
Douglas,1,GEN-0166,100,9
Douglas,1,GEN-0167,100,34
Douglas,1,GEN-0168,100,67
Douglas,1,GEN-0169,100,36
Douglas,1,GEN-0170,100,102
Douglas,1,GEN-0171,100,110
Douglas,1,GEN-0172,100,110
Douglas,1,GEN-0173,100,105
Douglas,1,GEN-0174,100,100
Douglas,1,GEN-0175,100,48
Douglas,1,GEN-0176,100,19
Douglas,1,GEN-0177,100,32
Douglas,1,GEN-0178,100,48
Douglas,1,GEN-0179,100,48
Douglas,1,GEN-0180,100,52
Douglas,1,GEN-0181,100,32
Douglas,1,GEN-0182,100,69
Douglas,1,GEN-0183,100,62
Douglas,1,GEN-0184,100,9
Douglas,1,GEN-0185,100,42
Douglas,1,GEN-0186,100,55
Douglas,1,GEN-0187,100,107
Douglas,1,GEN-0188,100,11
Douglas,1,GEN-0189,100,40
Douglas,1,GEN-0190,100,39
