County,Tabulator ID,Batch,# of Ballot Cards,Location
Elbert,101,1,50,Bin 1
Elbert,101,2,50,Bin 1
Elbert,101,3,50,Bin 1
Elbert,101,4,50,Bin 1
Elbert,101,5,50,Bin 1
Elbert,101,6,50,Bin 1
Elbert,101,7,50,Bin 1
Elbert,101,8,50,Bin 1
Elbert,101,9,50,Bin 1
Elbert,101,10,50,Bin 1
Elbert,101,11,50,Bin 1
Elbert,101,12,50,Bin 1
Elbert,101,13,50,Bin 1
Elbert,101,14,50,Bin 1
Elbert,101,15,50,Bin 1
Elbert,101,16,50,Bin 1
Elbert,101,17,50,Bin 1
Elbert,101,18,50,Bin 1
Elbert,101,19,50,Bin 1
Elbert,101,20,50,Bin 1
Elbert,101,21,50,Bin 2
Elbert,101,22,50,Bin 2
Elbert,101,23,50,Bin 2
Elbert,101,24,50,Bin 2
Elbert,101,25,50,Bin 2
Elbert,101,26,50,Bin 2
Elbert,101,27,50,Bin 2
Elbert,101,28,50,Bin 2
Elbert,101,29,50,Bin 2
Elbert,101,30,50,Bin 2
Elbert,101,31,50,Bin 2
Elbert,101,32,50,Bin 2
Elbert,101,33,50,Bin 2
Elbert,101,34,50,Bin 2
Elbert,101,35,50,Bin 2
Elbert,101,36,50,Bin 2
Elbert,101,37,50,Bin 2
Elbert,101,38,50,Bin 2
Elbert,101,39,50,Bin 2
Elbert,101,40,50,Bin 2
Elbert,101,41,50,Bin 2
Elbert,101,42,50,Bin 2
Elbert,101,43,50,Bin 3
Elbert,101,44,50,Bin 3
Elbert,101,45,50,Bin 3
Elbert,101,46,50,Bin 3
Elbert,101,47,50,Bin 3
Elbert,101,48,50,Bin 3
Elbert,101,49,50,Bin 3
Elbert,101,50,50,Bin 3
Elbert,101,51,50,Bin 3
Elbert,101,52,50,Bin 3
Elbert,101,53,50,Bin 3
Elbert,101,54,50,Bin 3
Elbert,101,55,50,Bin 3
Elbert,101,56,50,Bin 3
Elbert,101,57,50,Bin 3
Elbert,101,58,50,Bin 3
Elbert,101,59,50,Bin 3
Elbert,101,60,50,Bin 3
Elbert,101,61,50,Bin 3
Elbert,101,62,50,Bin 3
Elbert,101,63,50,Bin 3
Elbert,101,64,50,Bin 3
Elbert,101,65,50,Bin 4
Elbert,101,66,50,Bin 4
Elbert,101,67,50,Bin 4
Elbert,101,68,50,Bin 4
Elbert,101,69,50,Bin 4
Elbert,101,70,50,Bin 4
Elbert,101,71,50,Bin 4
Elbert,101,72,50,Bin 4
Elbert,101,73,50,Bin 4
Elbert,101,74,50,Bin 4
Elbert,101,75,50,Bin 4
Elbert,101,76,50,Bin 4
Elbert,101,77,50,Bin 4
Elbert,101,78,50,Bin 4
Elbert,101,79,50,Bin 4
Elbert,101,80,50,Bin 4
Elbert,101,81,50,Bin 4
Elbert,101,82,50,Bin 4
Elbert,101,83,50,Bin 4
Elbert,101,84,50,Bin 4
Elbert,101,85,50,Bin 4
Elbert,101,86,50,Bin 4
Elbert,101,87,50,Bin 5
Elbert,101,88,50,Bin 5
Elbert,101,89,50,Bin 5
Elbert,101,90,50,Bin 5
Elbert,101,91,50,Bin 5
Elbert,101,92,50,Bin 5
Elbert,101,93,50,Bin 5
Elbert,101,94,50,Bin 5
Elbert,101,95,50,Bin 5
Elbert,101,96,50,Bin 5
Elbert,101,97,50,Bin 5
Elbert,101,98,50,Bin 5
Elbert,101,99,50,Bin 5
Elbert,101,100,50,Bin 5
Elbert,101,101,50,Bin 5
Elbert,101,102,50,Bin 5
Elbert,101,103,50,Bin 5
Elbert,101,104,50,Bin 5
Elbert,101,105,50,Bin 5
Elbert,101,106,50,Bin 5
Elbert,101,107,50,Bin 5
Elbert,101,108,50,Bin 5
Elbert,101,109,50,Bin 6
Elbert,101,110,50,Bin 6
Elbert,101,111,50,Bin 6
Elbert,101,112,50,Bin 6
Elbert,101,113,50,Bin 6
Elbert,101,114,50,Bin 6
Elbert,101,115,50,Bin 6
Elbert,101,116,50,Bin 6
Elbert,101,117,50,Bin 6
Elbert,101,118,50,Bin 6
Elbert,101,119,50,Bin 6
Elbert,101,120,50,Bin 6
Elbert,101,121,50,Bin 6
Elbert,101,122,50,Bin 6
Elbert,101,123,50,Bin 6
Elbert,101,124,50,Bin 6
Elbert,101,125,50,Bin 6
Elbert,101,126,50,Bin 6
Elbert,101,127,50,Bin 6
Elbert,101,128,50,Bin 6
Elbert,101,129,50,Bin 6
Elbert,101,130,50,Bin 6
Elbert,101,131,50,Bin 6
Elbert,101,132,50,Bin 7
Elbert,101,133,50,Bin 7
Elbert,101,134,50,Bin 7
Elbert,101,135,50,Bin 7
Elbert,101,136,50,Bin 7
Elbert,101,137,50,Bin 7
Elbert,101,138,50,Bin 7
Elbert,101,139,50,Bin 7
Elbert,101,140,50,Bin 7
Elbert,101,141,50,Bin 7
Elbert,101,142,50,Bin 7
Elbert,101,143,50,Bin 7
Elbert,101,144,50,Bin 7
Elbert,101,145,50,Bin 7
Elbert,101,146,50,Bin 7
Elbert,101,147,50,Bin 7
Elbert,101,148,50,Bin 7
Elbert,101,149,50,Bin 7
Elbert,101,150,50,Bin 7
Elbert,101,151,50,Bin 7
Elbert,101,152,50,Bin 7
Elbert,101,153,50,Bin 7
Elbert,101,154,50,Bin 8
Elbert,101,155,50,Bin 8
Elbert,101,156,50,Bin 8
Elbert,101,157,50,Bin 8
Elbert,101,158,50,Bin 8
Elbert,101,159,50,Bin 8
Elbert,101,160,50,Bin 8
Elbert,101,161,50,Bin 8
Elbert,101,162,50,Bin 8
Elbert,101,163,50,Bin 8
Elbert,101,164,50,Bin 8
Elbert,101,165,50,Bin 8
Elbert,101,166,50,Bin 8
Elbert,101,167,50,Bin 8
Elbert,101,168,50,Bin 8
Elbert,101,169,50,Bin 8
Elbert,101,170,50,Bin 8
Elbert,101,171,50,Bin 8
Elbert,101,172,50,Bin 8
Elbert,101,173,50,Bin 8
Elbert,101,174,50,Bin 8
Elbert,101,175,50,Bin 8
Elbert,101,176,50,Bin 9
Elbert,101,177,50,Bin 9
Elbert,101,178,50,Bin 9
Elbert,101,179,50,Bin 9
Elbert,101,180,50,Bin 9
Elbert,101,181,50,Bin 9
Elbert,101,182,50,Bin 9
Elbert,101,183,50,Bin 9
Elbert,101,184,50,Bin 9
Elbert,101,185,50,Bin 9
Elbert,101,186,50,Bin 9
Elbert,101,187,50,Bin 9
Elbert,101,188,50,Bin 9
Elbert,101,189,50,Bin 9
Elbert,101,190,50,Bin 9
Elbert,101,191,50,Bin 9
Elbert,101,192,50,Bin 9
Elbert,101,193,50,Bin 9
Elbert,101,194,50,Bin 9
Elbert,101,195,50,Bin 9
Elbert,101,196,50,Bin 9
Elbert,101,197,50,Bin 9
Elbert,101,198,50,Bin 10
Elbert,101,199,50,Bin 10
Elbert,101,200,50,Bin 10
Elbert,101,201,50,Bin 10
Elbert,101,202,50,Bin 10
Elbert,101,203,50,Bin 10
Elbert,101,204,50,Bin 10
Elbert,101,205,50,Bin 10
Elbert,101,206,50,Bin 10
Elbert,101,207,50,Bin 10
Elbert,101,208,50,Bin 10
Elbert,101,209,50,Bin 10
Elbert,101,210,50,Bin 10
Elbert,101,211,50,Bin 10
Elbert,101,212,50,Bin 10
Elbert,101,213,50,Bin 10
Elbert,101,214,50,Bin 10
Elbert,101,215,50,Bin 10
Elbert,101,216,50,Bin 10
Elbert,101,217,50,Bin 10
Elbert,101,218,50,Bin 10
Elbert,101,219,50,Bin 10
Elbert,101,220,50,Bin 10
Elbert,101,221,50,Bin 10
Elbert,101,222,50,Bin 10
Elbert,101,223,50,Bin 10
Elbert,101,224,50,Bin 10
Elbert,101,225,50,Bin 10
Elbert,101,226,50,Bin 11
Elbert,101,227,50,Bin 11
Elbert,101,228,50,Bin 11
Elbert,101,229,50,Bin 11
Elbert,101,230,50,Bin 11
Elbert,101,231,50,Bin 11
Elbert,101,232,50,Bin 11
Elbert,101,233,50,Bin 11
Elbert,101,234,50,Bin 11
Elbert,101,235,50,Bin 11
Elbert,101,236,50,Bin 11
Elbert,101,237,50,Bin 11
Elbert,101,238,50,Bin 11
Elbert,101,239,50,Bin 11
Elbert,101,240,50,Bin 11
Elbert,101,241,50,Bin 11
Elbert,101,242,50,Bin 11
Elbert,101,243,50,Bin 11
Elbert,101,244,50,Bin 11
Elbert,101,245,50,Bin 11
Elbert,101,246,50,Bin 11
Elbert,101,247,50,Bin 11
Elbert,101,248,50,Bin 11
Elbert,101,249,50,Bin 11
Elbert,101,250,50,Bin 11
Elbert,101,251,50,Bin 11
Elbert,101,252,50,Bin 11
Elbert,101,253,50,Bin 12
Elbert,101,254,50,Bin 12
Elbert,101,255,50,Bin 12
Elbert,101,256,50,Bin 12
Elbert,101,257,50,Bin 12
Elbert,101,258,50,Bin 12
Elbert,101,259,50,Bin 12
Elbert,101,260,50,Bin 12
Elbert,101,261,50,Bin 12
Elbert,101,262,50,Bin 12
Elbert,101,263,50,Bin 12
Elbert,101,264,50,Bin 12
Elbert,101,265,50,Bin 12
Elbert,101,266,50,Bin 12
Elbert,101,267,50,Bin 12
Elbert,101,268,50,Bin 12
Elbert,101,269,50,Bin 12
Elbert,101,270,50,Bin 12
Elbert,101,271,50,Bin 12
Elbert,101,272,50,Bin 12
Elbert,101,273,50,Bin 12
Elbert,101,274,50,Bin 12
Elbert,101,275,50,Bin 12
Elbert,101,276,50,Bin 12
Elbert,101,277,50,Bin 12
Elbert,101,278,50,Bin 12
Elbert,101,279,50,Bin 12
Elbert,101,280,50,Bin 12
Elbert,101,281,50,Bin 13
Elbert,101,282,50,Bin 13
Elbert,101,283,50,Bin 13
Elbert,101,284,50,Bin 13
Elbert,101,285,50,Bin 13
Elbert,101,286,50,Bin 13
Elbert,101,287,50,Bin 13
Elbert,101,288,50,Bin 13
Elbert,101,289,50,Bin 13
Elbert,101,290,50,Bin 13
Elbert,101,291,50,Bin 13
Elbert,101,292,50,Bin 13
Elbert,101,293,50,Bin 13
Elbert,101,294,50,Bin 13
Elbert,101,295,50,Bin 13
Elbert,101,296,50,Bin 13
Elbert,101,297,50,Bin 13
Elbert,101,298,50,Bin 13
Elbert,101,299,50,Bin 13
Elbert,101,300,50,Bin 13
Elbert,101,301,50,Bin 13
Elbert,101,302,50,Bin 13
Elbert,101,303,50,Bin 13
Elbert,101,304,50,Bin 13
Elbert,101,305,50,Bin 13
Elbert,101,306,50,Bin 13
Elbert,101,307,50,Bin 13
Elbert,101,308,50,Bin 13
Elbert,101,309,50,Bin 14
Elbert,101,310,50,Bin 14
Elbert,101,311,50,Bin 14
Elbert,101,312,50,Bin 14
Elbert,101,313,50,Bin 14
Elbert,101,314,50,Bin 14
Elbert,101,315,50,Bin 14
Elbert,101,316,50,Bin 14
Elbert,101,317,50,Bin 14
Elbert,101,318,50,Bin 14
Elbert,101,319,50,Bin 14
Elbert,101,320,50,Bin 14
Elbert,101,321,50,Bin 14
Elbert,101,322,50,Bin 14
Elbert,101,323,50,Bin 14
Elbert,101,324,50,Bin 14
Elbert,101,325,50,Bin 14
Elbert,101,326,50,Bin 14
Elbert,101,327,50,Bin 14
Elbert,101,328,50,Bin 14
Elbert,101,329,50,Bin 14
Elbert,101,330,50,Bin 14
Elbert,101,331,50,Bin 14
Elbert,101,332,50,Bin 14
Elbert,101,333,50,Bin 14
Elbert,101,334,50,Bin 14
Elbert,101,335,50,Bin 14
Elbert,101,336,50,Bin 14
Elbert,101,337,50,Bin 15
Elbert,101,338,50,Bin 15
Elbert,101,339,50,Bin 15
Elbert,101,340,50,Bin 15
Elbert,101,341,50,Bin 15
Elbert,101,342,50,Bin 15
Elbert,101,343,50,Bin 15
Elbert,101,344,50,Bin 15
Elbert,101,345,50,Bin 15
Elbert,101,346,50,Bin 15
Elbert,101,347,50,Bin 15
Elbert,101,348,50,Bin 15
Elbert,101,349,50,Bin 15
Elbert,101,350,50,Bin 15
Elbert,101,351,50,Bin 15
Elbert,101,352,50,Bin 15
Elbert,101,353,50,Bin 15
Elbert,101,354,50,Bin 15
Elbert,101,355,50,Bin 15
Elbert,101,356,50,Bin 15
Elbert,101,357,50,Bin 15
Elbert,101,358,50,Bin 15
Elbert,101,359,50,Bin 15
Elbert,101,360,50,Bin 15
Elbert,101,361,50,Bin 15
Elbert,101,362,50,Bin 15
Elbert,101,363,50,Bin 15
Elbert,101,364,50,Bin 15
Elbert,101,365,50,Bin 16
Elbert,101,366,50,Bin 16
Elbert,101,367,50,Bin 16
Elbert,101,368,50,Bin 16
Elbert,101,369,50,Bin 16
Elbert,101,370,50,Bin 16
Elbert,101,371,50,Bin 16
Elbert,101,372,50,Bin 16
Elbert,101,373,50,Bin 16
Elbert,101,374,50,Bin 16
Elbert,101,375,50,Bin 16
Elbert,101,376,50,Bin 16
Elbert,101,377,50,Bin 16
Elbert,101,378,50,Bin 16
Elbert,101,379,50,Bin 16
Elbert,101,380,50,Bin 16
Elbert,101,381,50,Bin 16
Elbert,101,382,50,Bin 16
Elbert,101,383,50,Bin 16
Elbert,101,384,50,Bin 16
Elbert,101,385,50,Bin 16
Elbert,101,386,48,Bin 16
Elbert,101,387,50,Bin 16
Elbert,101,388,22,Bin 16
Elbert,102,1,50,IP Bin 1
Elbert,102,2,50,IP Bin 1
Elbert,102,3,50,IP Bin 1
Elbert,102,4,50,IP Bin 1
Elbert,102,5,50,IP Bin 1
Elbert,102,6,50,IP Bin 1
Elbert,102,7,50,IP Bin 1
Elbert,102,8,50,IP Bin 1
Elbert,102,9,50,IP Bin 1
Elbert,102,10,50,IP Bin 1
Elbert,102,11,50,IP Bin 1
Elbert,102,12,50,IP Bin 1
Elbert,102,13,50,IP Bin 1
Elbert,102,14,50,IP Bin 1
Elbert,102,15,50,IP Bin 1
Elbert,102,16,50,IP Bin 1
Elbert,102,17,50,IP Bin 1
Elbert,102,18,50,IP Bin 1
Elbert,102,19,50,IP Bin 1
Elbert,102,20,50,IP Bin 1
Elbert,102,21,50,IP Bin 1
Elbert,102,22,50,IP Bin 1
Elbert,102,23,50,IP Bin 1
Elbert,102,24,50,IP Bin 1
Elbert,102,25,50,IP Bin 1
Elbert,102,26,32,IP Bin 1
