County,Tabulator ID,Batch,# of Ballot Cards,Location/Box #
Mesa,101,1001,123,101
Mesa,101,1002,72,101
Mesa,101,1003,70,101
Mesa,101,1004,99,101
Mesa,101,1005,161,101
Mesa,101,1006,154,101
Mesa,101,1007,145,101
Mesa,101,1008,61,101
Mesa,101,1009,89,101
Mesa,101,1010,66,101
Mesa,101,1011,24,101
Mesa,101,1012,201,101
Mesa,101,1013,217,101
Mesa,101,1014,195,101
Mesa,101,1015,85,101
Mesa,101,1016,168,101
Mesa,101,1017,138,101
Mesa,101,1018,201,101
Mesa,101,1019,268,102
Mesa,101,1020,39,102
Mesa,101,1021,241,102
Mesa,101,1022,250,102
Mesa,101,1023,215,102
Mesa,101,1024,126,102
Mesa,101,1025,119,102
Mesa,101,1026,179,102
Mesa,101,1027,143,102
Mesa,101,1028,139,102
Mesa,101,1029,107,102
Mesa,101,1030,194,102
Mesa,101,1031,209,102
Mesa,101,1032,158,103
Mesa,101,1033,184,103
Mesa,101,1034,28,103
Mesa,101,1035,162,103
Mesa,101,1036,76,103
Mesa,101,1037,67,103
Mesa,101,1038,187,103
Mesa,101,1039,138,103
Mesa,101,1040,203,103
Mesa,101,1041,304,103
Mesa,101,1042,197,103
Mesa,101,1043,246,103
Mesa,101,1044,230,103
Mesa,101,1045,285,104
Mesa,101,1046,227,104
Mesa,101,1047,239,104
Mesa,101,1048,187,104
Mesa,101,1049,26,104
Mesa,202,2001,100,201
Mesa,202,2002,100,201
Mesa,202,2003,100,201
Mesa,202,2004,99,201
Mesa,202,2005,100,201
Mesa,202,2006,100,201
Mesa,202,2007,100,201
Mesa,202,2008,100,201
Mesa,202,2009,95,201
Mesa,202,2010,98,201
Mesa,202,2011,100,201
Mesa,202,2012,98,201
Mesa,202,2013,99,201
Mesa,202,2014,100,201
Mesa,202,2015,99,201
Mesa,202,2016,100,201
Mesa,202,2017,100,201
Mesa,202,2018,100,201
Mesa,202,2019,99,201
Mesa,202,2020,100,202
Mesa,202,2021,100,202
Mesa,202,2022,99,202
Mesa,202,2023,100,202
Mesa,202,2024,77,202
Mesa,202,2025,100,202
Mesa,202,2026,24,202
Mesa,202,2027,100,202
Mesa,202,2028,100,202
Mesa,202,2029,100,202
Mesa,202,2030,99,202
Mesa,202,2031,100,202
Mesa,202,2032,100,202
Mesa,202,2033,100,202
Mesa,202,2034,30,202
Mesa,202,2035,100,202
Mesa,202,2036,100,202
Mesa,202,2037,99,202
Mesa,202,2038,100,202
Mesa,202,2039,100,202
Mesa,202,2040,100,203
Mesa,202,2041,100,203
Mesa,202,2042,99,203
Mesa,202,2043,100,203
Mesa,202,2044,99,203
Mesa,202,2045,57,203
Mesa,202,2046,98,203
Mesa,202,2047,99,203
Mesa,202,2048,100,203
Mesa,202,2049,99,203
Mesa,202,2050,100,203
Mesa,202,2051,100,203
Mesa,202,2052,100,203
Mesa,202,2053,99,203
Mesa,202,2054,75,203
Mesa,202,2055,100,203
Mesa,202,2056,61,203
Mesa,202,2057,100,203
Mesa,202,2058,100,203
Mesa,202,2059,100,204
Mesa,202,2060,61,204
Mesa,202,2061,79,204
Mesa,202,2062,99,204
Mesa,202,2063,100,204
Mesa,202,2064,98,204
Mesa,202,2065,100,204
Mesa,202,2066,99,204
Mesa,202,2067,97,204
Mesa,202,2068,99,204
Mesa,202,2069,98,204
Mesa,202,2070,15,204
Mesa,202,2071,77,204
Mesa,202,2072,96,204
Mesa,202,2073,99,204
Mesa,202,2074,100,204
Mesa,202,2075,100,204
Mesa,202,2076,99,204
Mesa,202,2077,100,204
Mesa,202,2078,9,204
Mesa,202,2079,100,205
Mesa,202,2080,100,205
Mesa,202,2081,99,205
Mesa,202,2082,31,205
Mesa,202,2083,23,205
Mesa,202,2084,50,205
Mesa,202,2085,99,205
Mesa,202,2086,100,205
Mesa,202,2087,100,205
Mesa,202,2088,100,205
Mesa,202,2089,100,205
Mesa,202,2090,26,205
Mesa,202,2091,100,205
Mesa,202,2092,99,205
Mesa,202,2093,100,205
Mesa,202,2094,100,205
Mesa,202,2095,100,205
Mesa,202,2096,100,205
Mesa,202,2097,100,205
Mesa,202,2098,100,205
Mesa,202,2099,100,205
Mesa,202,2100,100,206
Mesa,202,2101,100,206
Mesa,202,2102,100,206
Mesa,202,2103,34,206
Mesa,202,2104,99,206
Mesa,202,2105,100,206
Mesa,202,2106,99,206
Mesa,202,2107,100,206
Mesa,202,2108,98,206
Mesa,202,2109,100,206
Mesa,202,2110,100,206
Mesa,202,2111,100,206
Mesa,202,2112,99,206
Mesa,202,2113,99,206
Mesa,202,2114,98,206
Mesa,202,2115,100,206
Mesa,202,2116,100,206
Mesa,202,2117,100,206
Mesa,202,2118,100,207
Mesa,202,2119,100,207
Mesa,202,2120,71,207
Mesa,202,2121,100,207
Mesa,202,2122,100,207
Mesa,202,2123,100,207
Mesa,202,2124,100,207
Mesa,202,2125,100,207
Mesa,202,2126,21,207
Mesa,202,2127,99,207
Mesa,202,2128,99,207
Mesa,202,2129,100,207
Mesa,202,2130,100,207
Mesa,202,2131,100,207
Mesa,202,2132,100,207
Mesa,202,2133,99,207
Mesa,202,2134,100,207
Mesa,202,2135,99,207
Mesa,202,2136,100,208
Mesa,202,2137,98,208
Mesa,202,2138,95,208
Mesa,202,2139,100,208
Mesa,202,2140,100,208
Mesa,202,2141,97,208
Mesa,202,2142,100,208
Mesa,202,2143,100,208
Mesa,202,2144,99,208
Mesa,202,2145,99,208
Mesa,202,2146,100,208
Mesa,202,2147,100,208
Mesa,202,2148,99,208
Mesa,202,2149,100,208
Mesa,202,2150,100,208
Mesa,202,2151,99,208
Mesa,202,2152,100,208
Mesa,202,2153,100,208
Mesa,202,2154,65,209
Mesa,202,2155,100,209
Mesa,202,2156,82,209
Mesa,202,2157,100,209
Mesa,202,2158,100,209
Mesa,202,2159,100,209
Mesa,202,2160,100,209
Mesa,202,2161,99,209
Mesa,202,2162,99,209
Mesa,202,2163,100,209
Mesa,202,2164,100,209
Mesa,202,2165,100,209
Mesa,202,2166,100,209
Mesa,202,2167,100,209
Mesa,202,2168,25,209
Mesa,202,2169,100,209
Mesa,202,2170,100,209
Mesa,202,2171,70,209
Mesa,202,2172,99,209
Mesa,202,2173,99,210
Mesa,202,2174,99,210
Mesa,202,2175,99,210
Mesa,202,2176,100,210
Mesa,202,2177,100,210
Mesa,202,2178,99,210
Mesa,202,2179,100,210
Mesa,202,2180,100,210
Mesa,202,2181,1,210
Mesa,202,2182,100,210
Mesa,202,2183,100,210
Mesa,202,2184,99,210
Mesa,202,2185,99,210
Mesa,202,2186,100,210
Mesa,202,2187,100,210
Mesa,202,2188,99,210
Mesa,202,2189,99,210
Mesa,202,2190,98,210
Mesa,202,2191,99,211
Mesa,202,2192,100,211
Mesa,202,2193,100,211
Mesa,202,2194,37,211
Mesa,202,2195,100,211
Mesa,202,2196,100,211
Mesa,202,2197,99,211
Mesa,202,2198,98,211
Mesa,202,2199,99,211
Mesa,202,2200,100,211
Mesa,202,2201,99,211
Mesa,202,2202,99,211
Mesa,202,2203,100,211
Mesa,202,2204,98,211
Mesa,202,2205,99,211
Mesa,202,2206,99,211
Mesa,202,2207,100,211
Mesa,202,2208,99,211
Mesa,202,2209,98,211
Mesa,202,2210,99,212
Mesa,202,2211,100,212
Mesa,202,2212,32,212
Mesa,202,2213,100,212
Mesa,202,2214,100,212
Mesa,202,2215,100,212
Mesa,202,2216,98,212
Mesa,202,2217,100,212
Mesa,202,2218,100,212
Mesa,202,2219,100,212
Mesa,202,2220,100,212
Mesa,202,2221,99,212
Mesa,202,2222,100,212
Mesa,202,2223,100,212
Mesa,202,2224,99,212
Mesa,202,2225,100,212
Mesa,202,2226,80,212
Mesa,202,2227,88,212
Mesa,202,2228,99,213
Mesa,202,2229,100,213
Mesa,202,2230,99,213
Mesa,202,2231,99,213
Mesa,202,2232,99,213
Mesa,202,2233,54,213
Mesa,202,2234,99,213
Mesa,202,2235,100,213
Mesa,202,2236,100,213
Mesa,202,2237,97,213
Mesa,202,2238,100,213
Mesa,202,2239,98,213
Mesa,202,2240,100,213
Mesa,202,2241,100,213
Mesa,202,2242,100,213
Mesa,202,2243,100,213
Mesa,202,2244,100,213
Mesa,202,2245,99,213
Mesa,202,2246,100,213
Mesa,202,2247,162,214
Mesa,202,2248,100,214
Mesa,202,2249,100,214
Mesa,202,2250,100,214
Mesa,202,2251,98,214
Mesa,202,2252,100,214
Mesa,202,2253,100,214
Mesa,202,2254,99,214
Mesa,202,2255,100,214
Mesa,202,2256,100,214
Mesa,202,2257,100,214
Mesa,202,2258,100,214
Mesa,202,2259,100,214
Mesa,202,2260,100,214
Mesa,202,2261,100,214
Mesa,202,2262,100,214
Mesa,202,2263,99,214
Mesa,202,2264,100,215
Mesa,202,2265,98,215
Mesa,202,2266,99,215
Mesa,202,2267,100,215
Mesa,202,2268,100,215
Mesa,202,2269,99,215
Mesa,202,2270,38,215
Mesa,202,2271,61,215
Mesa,202,2272,99,215
Mesa,202,2273,99,215
Mesa,202,2274,35,215
Mesa,202,2275,98,215
Mesa,202,2276,97,215
