County,Tabulator ID,Batch,# of Ballot Cards,Location
Cheyenne,104,1,25,Red Bag
Cheyenne,104,2,25,Red Bag
Cheyenne,104,3,25,Red Bag
Cheyenne,104,4,25,Red Bag
Cheyenne,104,5,25,Red Bag
Cheyenne,104,6,25,Red Bag
Cheyenne,104,7,25,Red Bag
Cheyenne,104,8,25,Red Bag
Cheyenne,104,9,25,Red Bag
Cheyenne,104,10,25,Red Bag
Cheyenne,104,11,25,Red Bag
Cheyenne,104,12,25,Red Bag
Cheyenne,104,13,25,Red Bag
Cheyenne,104,14,25,Red Bag
Cheyenne,104,15,25,Red Bag
Cheyenne,104,16,25,Red Bag
Cheyenne,104,17,25,Red Bag
Cheyenne,104,18,25,Red Bag
Cheyenne,104,19,25,Red Bag
Cheyenne,104,20,25,Red Bag
Cheyenne,104,21,25,Red Bag
Cheyenne,104,22,25,Red Bag
Cheyenne,104,23,25,Red Bag
Cheyenne,104,24,25,Red Bag
Cheyenne,104,25,25,Red Bag
Cheyenne,104,26,25,Red Bag
Cheyenne,104,27,25,Red Bag
Cheyenne,104,28,25,Red Bag
Cheyenne,104,29,25,Red Bag
Cheyenne,104,30,25,Red Bag
Cheyenne,104,31,25,Red Bag
Cheyenne,104,32,25,Red Bag
Cheyenne,104,33,25,Red Bag
Cheyenne,104,34,25,Red Bag
Cheyenne,104,35,25,Red Bag
Cheyenne,104,36,25,Red Bag
Cheyenne,104,37,25,Red Bag
Cheyenne,104,38,25,Red Bag
Cheyenne,104,39,25,Red Bag
Cheyenne,104,40,25,Red Bag
Cheyenne,104,41,25,Red Bag
Cheyenne,104,42,10,Red Bag
Cheyenne,104,43,29,Red Bag
