County,Tabulator ID,Batch,# of Ballot Cards,Location
ClearCreek,102,1,50,1
ClearCreek,102,2,50,1
ClearCreek,102,3,50,1
ClearCreek,102,4,50,1
ClearCreek,102,5,50,1
ClearCreek,102,6,50,1
ClearCreek,102,7,50,1
ClearCreek,102,8,50,1
ClearCreek,102,9,50,1
ClearCreek,102,10,50,1
ClearCreek,102,11,50,1
ClearCreek,102,12,50,1
ClearCreek,102,13,50,1
ClearCreek,102,14,50,1
ClearCreek,102,15,50,1
ClearCreek,102,16,50,1
ClearCreek,102,17,50,1
ClearCreek,102,18,50,1
ClearCreek,102,19,50,1
ClearCreek,102,20,50,1
ClearCreek,102,21,50,1
ClearCreek,102,22,50,1
ClearCreek,102,23,50,1
ClearCreek,102,24,50,1
ClearCreek,102,25,50,1
ClearCreek,102,26,50,1
ClearCreek,102,27,50,1
ClearCreek,102,28,50,1
ClearCreek,102,29,50,2
ClearCreek,102,30,50,2
ClearCreek,102,31,50,2
ClearCreek,102,32,50,2
ClearCreek,102,33,50,2
ClearCreek,102,34,50,2
ClearCreek,102,35,50,2
ClearCreek,102,36,50,2
ClearCreek,102,37,50,2
ClearCreek,102,38,50,2
ClearCreek,102,39,50,2
ClearCreek,102,40,50,2
ClearCreek,102,41,50,2
ClearCreek,102,42,50,2
ClearCreek,102,43,50,2
ClearCreek,102,44,50,2
ClearCreek,102,45,50,2
ClearCreek,102,46,50,2
ClearCreek,102,47,50,2
ClearCreek,102,48,50,2
ClearCreek,102,49,50,2
ClearCreek,102,50,50,2
ClearCreek,102,51,50,2
ClearCreek,102,52,50,2
ClearCreek,102,53,50,2
ClearCreek,102,54,50,2
ClearCreek,102,55,50,2
ClearCreek,102,56,50,2
ClearCreek,102,57,50,3
ClearCreek,102,58,50,3
ClearCreek,102,59,50,3
ClearCreek,102,60,50,3
ClearCreek,102,61,50,3
ClearCreek,102,62,50,3
ClearCreek,102,63,50,3
ClearCreek,102,64,50,3
ClearCreek,102,65,50,3
ClearCreek,102,66,50,3
ClearCreek,102,67,50,3
ClearCreek,102,68,50,3
ClearCreek,102,69,50,3
ClearCreek,102,70,50,3
ClearCreek,102,71,50,3
ClearCreek,102,72,50,3
ClearCreek,102,73,50,3
ClearCreek,102,74,50,3
ClearCreek,102,75,50,3
ClearCreek,102,76,50,3
ClearCreek,102,77,50,3
ClearCreek,102,78,50,3
ClearCreek,102,79,50,3
ClearCreek,102,80,50,3
ClearCreek,102,81,50,3
ClearCreek,102,82,50,3
ClearCreek,102,83,50,3
ClearCreek,102,84,50,3
ClearCreek,102,85,50,4
ClearCreek,102,86,50,4
ClearCreek,102,87,50,4
ClearCreek,102,88,50,4
ClearCreek,102,89,50,4
ClearCreek,102,90,50,4
ClearCreek,102,91,50,4
ClearCreek,102,92,50,4
ClearCreek,102,93,50,4
ClearCreek,102,94,50,4
ClearCreek,102,95,50,4
ClearCreek,102,96,50,4
ClearCreek,102,97,50,4
ClearCreek,102,98,50,4
ClearCreek,102,99,50,4
ClearCreek,102,100,50,4
ClearCreek,102,101,50,4
ClearCreek,102,102,50,4
ClearCreek,102,103,50,4
ClearCreek,102,104,50,4
ClearCreek,102,105,50,4
ClearCreek,102,106,50,4
ClearCreek,102,107,50,4
ClearCreek,102,108,50,4
ClearCreek,102,109,50,4
ClearCreek,102,110,50,4
ClearCreek,102,111,50,4
ClearCreek,102,112,50,4
ClearCreek,102,113,50,5
ClearCreek,102,114,50,5
ClearCreek,102,115,50,5
ClearCreek,102,116,50,5
ClearCreek,102,117,50,5
ClearCreek,102,118,50,5
ClearCreek,102,119,39,5
ClearCreek,102,120,49,5
ClearCreek,102,121,35,5
ClearCreek,102,122,50,5
ClearCreek,102,123,50,5
ClearCreek,102,124,28,5
ClearCreek,102,125,4,5
ClearCreek,102,126,25,5
