County,Tabulator,Batch,# of Ballot,Location
Dolores,102,1,25,Ballot Box 1
Dolores,102,2,25,Ballot Box 1
Dolores,102,3,25,Ballot Box 1
Dolores,102,4,25,Ballot Box 1
Dolores,102,5,25,Ballot Box 1
Dolores,102,6,25,Ballot Box 1
Dolores,102,7,25,Ballot Box 1 
Dolores,102,8,25,Ballot Box 1
Dolores,102,9,25,Ballot Box 1
Dolores,102,10,25,Ballot Box 1
Dolores,102,11,25,Ballot Box 1
Dolores,102,12,25,Ballot Box 1
Dolores,102,13,25,Ballot Box 1
Dolores,102,14,25,Ballot Box 1
Dolores,102,15,25,Ballot Box 1
Dolores,102,16,25,Ballot Box 1
Dolores,102,17,25,Ballot Box 1
Dolores,102,18,25,Ballot Box 1
Dolores,102,19,25,Ballot Box 1
Dolores,102,20,25,Ballot Box 1
Dolores,102,21,25,Ballot Box 1
Dolores,102,22,25,Ballot Box 1
Dolores,102,23,25,Ballot Box 1
Dolores,102,24,25,Ballot Box 1
Dolores,102,25,25,Ballot Box 1
Dolores,102,26,25,Ballot Box 1
Dolores,102,27,25,Ballot Box 1
Dolores,102,28,25,Ballot Box 1
Dolores,102,29,25,Ballot Box 1
Dolores,102,30,25,Ballot Box 1
Dolores,102,31,25,Ballot Box 1
Dolores,102,32,25,Ballot Box 1
Dolores,102,33,25,Ballot Box 1
Dolores,102,34,25,Ballot Box 1
Dolores,102,35,25,Ballot Box 1
Dolores,102,36,25,Ballot Box 1
Dolores,102,37,25,Ballot Box 1
Dolores,102,38,25,Ballot Box 1
Dolores,102,39,25,Ballot Box 1
Dolores,102,40,25,Ballot Box 1
Dolores,102,41,25,Ballot Box 1
Dolores,102,42,25,Ballot Box 1
Dolores,102,43,25,Ballot Box 1
Dolores,102,44,25,Ballot Box 1
Dolores,102,45,25,Ballot Box 1
Dolores,102,46,25,Ballot Box 1
Dolores,102,47,25,Ballot Box 1
Dolores,102,48,25,Ballot Box 1
Dolores,102,49,25,Ballot Box 1
Dolores,102,50,25,Ballot Box 1
Dolores,102,51,25,Ballot Box 1
Dolores,102,52,25,Ballot Box 1
Dolores,102,53,25,Ballot Box 1
Dolores,102,54,25,Ballot Box 1
Dolores,102,55,25,Ballot Box 1
Dolores,102,56,25,Ballot Box 1
Dolores,102,57,12,Ballot Box 1
Dolores,102,58,39,Ballot Box 1
Dolores,102,59,2,Ballot Box 1
